"Microrregião IBGE";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"33001 ITAPERUNA";30;7;8;31;38;81;175;232;264;673;6;1545
"33002 SANTO ANTONIO DE PADUA";16;5;4;12;36;57;119;139;219;498;-;1105
"33003 CAMPOS DOS GOYTACAZES";124;22;26;207;230;281;488;672;848;1794;1;4693
"33004 MACAE";56;7;13;76;107;106;190;213;230;425;2;1425
"33005 TRES RIOS";33;3;8;40;58;80;132;236;253;461;2;1306
"33006 CANTAGALO-CORDEIRO";17;3;3;7;18;23;34;96;102;217;-;520
"33007 NOVA FRIBURGO";41;3;6;40;73;105;200;237;324;711;3;1743
"33008 SANTA MARIA MADALENA";1;2;-;5;6;14;30;30;47;105;-;240
"33009 BACIA DE SAO JOAO";29;6;8;41;47;88;115;162;179;335;-;1010
"33010 LAGOS";97;18;22;163;175;217;448;578;729;1398;20;3865
"33011 VALE DO PARAIBA FLUMINENSE";105;17;30;130;177;233;512;851;896;1793;2;4746
"33012 BARRA DO PIRAI";36;4;8;28;52;55;146;252;268;602;2;1453
"33013 BAIA DA ILHA GRANDE";42;7;8;47;72;90;134;177;194;310;3;1084
"33014 VASSOURAS";26;6;12;31;41;90;159;214;257;539;1;1376
"33015 SERRANA";78;12;25;71;96;192;441;652;769;1724;2;4062
"33016 MACACU-CACERIBU";20;2;5;23;35;49;88;135;145;313;1;816
"33017 ITAGUAI";31;9;8;76;82;101;199;279;349;556;6;1696
"33018 RIO DE JANEIRO";2279;374;525;2770;3360;4537;9233;14931;17569;36341;138;92057
"Total";3061;507;719;3798;4703;6399;12843;20086;23642;48795;189;124742
