"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";14772;14486;13012;11371;9597;7677;6496;5875;5537;4322;2957;2061;2066;100229
"33002 SANTO ANTONIO DE PADUA";9561;9001;8534;7415;6531;5445;4760;4066;3637;3025;2141;1502;1495;67113
"33003 CAMPOS DOS GOYTACAZES";42587;39328;39904;35235;29545;24043;20115;16976;14827;11891;7762;5293;5453;292959
"33004 MACAE";12046;12627;12114;9841;7720;5658;4644;3706;3207;2278;1644;1136;1135;77756
"33005 TRES RIOS";11641;11376;11066;9679;8441;6792;5674;4592;4181;3189;2120;1358;1328;81437
"33006 CANTAGALO-CORDEIRO";5072;4793;4252;3785;3275;2657;2227;1876;1637;1332;962;642;581;33091
"33007 NOVA FRIBURGO";19317;18970;17975;15800;13763;10459;8481;6873;6423;4881;3278;2211;1861;130292
"33008 SANTA MARIA MADALENA";2641;2419;2160;1830;1520;1334;1150;1039;997;770;524;387;352;17123
"33009 BACIA DE SAO JOAO";5045;4588;4418;3847;3216;2461;1968;1722;1409;1186;760;537;514;31671
"33010 LAGOS";24366;23868;22141;18531;15093;11674;9703;8086;6895;4951;3112;2089;2015;152524
"33011 VALE DO PARAIBA FLUMINENSE";48966;49559;50057;44951;37029;27104;21353;17379;15113;11339;7254;4229;3489;337822
"33012 BARRA DO PIRAI";13011;13335;12588;10884;9138;7218;6242;5367;4822;3677;2511;1716;1580;92089
"33013 BAIA DA ILHA GRANDE";10158;10093;9928;8574;6696;4738;3765;2812;2187;1567;1045;689;581;62833
"33014 VASSOURAS";12045;12092;11410;9525;8191;6533;5708;4922;4496;3358;2202;1512;1305;83299
"33015 SERRANA";36273;35084;32646;29274;25542;19990;16819;14184;12569;9538;6362;4219;3625;246125
"33016 MACACU-CACERIBU";8053;7497;6707;5740;5020;3850;3201;2682;2506;1916;1231;829;852;50084
"33017 ITAGUAI";12449;11537;11042;9598;7848;5848;4930;3955;3473;2511;1638;1043;910;76782
"33018 RIO DE JANEIRO";855775;861253;833810;760148;651096;512063;437332;373535;329988;247947;165429;106976;97949;6233301
"Total";1143778;1141906;1103764;996028;849261;665544;564568;479647;423904;319678;212932;138429;127091;8166530
