"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";15058;15775;15887;15307;14016;14466;13937;11725;9714;7395;5517;4070;5325;148192
"33002 SANTO ANTONIO DE PADUA";9186;9326;9645;9358;8794;8979;8826;7382;6169;5055;3813;2819;3649;93001
"33003 CAMPOS DOS GOYTACAZES";49699;50060;50003;45977;40891;41167;38923;33038;26026;19865;14580;10703;12109;433041
"33004 MACAE";24922;27723;28396;24405;19680;18345;16746;13365;9545;6627;4414;3066;3382;200616
"33005 TRES RIOS";12371;12598;12336;11865;11050;11294;10676;9440;7501;5749;4003;2918;3430;115231
"33006 CANTAGALO-CORDEIRO";4818;4844;5056;4784;4538;4603;4292;3672;3112;2437;1771;1276;1651;46854
"33007 NOVA FRIBURGO";17777;18470;18969;18621;17209;17611;16565;14538;12021;9202;6569;4641;5906;178099
"33008 SANTA MARIA MADALENA";2208;2182;2213;2176;2124;2209;2062;1794;1484;1129;883;664;824;21952
"33009 BACIA DE SAO JOAO";14910;16035;17079;15941;13685;12640;11227;9131;6857;4646;3145;2214;2343;129853
"33010 LAGOS";46819;45368;46032;44254;40750;40696;38982;33282;26363;19974;14243;9912;10052;416727
"33011 VALE DO PARAIBA FLUMINENSE";54561;57463;58351;54310;48865;49409;49109;43225;33788;24412;16285;11803;13515;515096
"33012 BARRA DO PIRAI";13549;13844;13827;13234;12190;12587;12623;11136;8991;6887;4923;3616;4545;131952
"33013 BAIA DA ILHA GRANDE";18686;19354;20440;19111;16114;14971;13114;11131;8085;5745;3633;2369;2441;155194
"33014 VASSOURAS";13630;13402;13285;12649;12252;12531;11919;10127;7920;6201;4493;3312;4027;125748
"33015 SERRANA";38666;38158;38111;37402;35298;35418;32775;28626;23713;18903;13423;9880;11601;361974
"33016 MACACU-CACERIBU";9120;9223;9284;9138;8472;7896;7286;6145;4979;3727;2642;1900;2249;82061
"33017 ITAGUAI";20085;20452;20053;19009;17101;16010;14427;12672;9708;6963;4637;3220;3292;167629
"33018 RIO DE JANEIRO";928940;966912;1000317;947793;851652;811466;770990;686485;557545;424258;299900;226106;275705;8748069
"Total";1295005;1341189;1379284;1305334;1174681;1132298;1074479;946914;763521;579175;408874;304489;366046;12071289
