"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";15;19;16;32;41;33;49;46;77;82;103;134;186;833
"33002 SANTO ANTONIO DE PADUA";15;20;15;15;12;40;57;49;59;66;95;92;114;649
"33003 CAMPOS DOS GOYTACAZES";85;94;85;71;122;150;197;215;205;293;311;366;490;2684
"33004 MACAE";23;25;17;23;23;23;39;44;30;65;78;58;115;563
"33005 TRES RIOS";22;29;36;32;38;48;55;66;60;68;75;59;130;718
"33006 CANTAGALO-CORDEIRO";5;10;13;11;17;13;25;21;31;24;44;30;48;292
"33007 NOVA FRIBURGO";37;37;24;39;45;54;70;82;87;99;119;132;183;1008
"33008 SANTA MARIA MADALENA";3;3;4;3;5;6;13;7;15;13;31;20;33;156
"33009 BACIA DE SAO JOAO";7;7;6;10;15;20;12;23;13;20;24;30;36;223
"33010 LAGOS";36;39;42;59;55;53;79;69;55;87;92;124;179;969
"33011 VALE DO PARAIBA FLUMINENSE";117;139;147;150;156;152;199;241;224;221;213;205;255;2419
"33012 BARRA DO PIRAI";34;31;44;42;34;50;78;76;88;97;113;89;129;905
"33013 BAIA DA ILHA GRANDE";10;20;16;14;13;22;33;19;32;27;33;31;56;326
"33014 VASSOURAS";21;22;27;40;35;50;67;68;72;83;110;85;147;827
"33015 SERRANA";54;73;73;87;121;147;170;232;232;261;296;220;336;2302
"33016 MACACU-CACERIBU";13;13;28;24;30;37;28;35;48;51;46;45;75;473
"33017 ITAGUAI";21;18;23;24;31;35;33;53;58;54;41;53;58;502
"33018 RIO DE JANEIRO";1833;1826;1820;2022;2626;3267;4437;4889;5137;5468;5850;5697;8779;53651
"Total";2351;2425;2436;2698;3419;4200;5641;6235;6523;7079;7674;7470;11349;69500
