"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";16;33;18;30;41;42;71;73;98;97;127;120;237;1003
"33002 SANTO ANTONIO DE PADUA";18;20;22;25;33;50;36;51;46;70;94;111;150;726
"33003 CAMPOS DOS GOYTACAZES";91;107;140;117;126;142;212;234;282;294;373;353;662;3133
"33004 MACAE";26;25;24;36;32;47;40;63;60;74;68;79;143;717
"33005 TRES RIOS";35;32;32;44;47;55;63;88;78;77;104;89;145;889
"33006 CANTAGALO-CORDEIRO";7;10;11;11;18;18;18;31;31;37;53;34;75;354
"33007 NOVA FRIBURGO";42;35;57;51;52;66;74;84;121;121;146;141;228;1218
"33008 SANTA MARIA MADALENA";6;3;6;9;6;17;10;18;13;17;16;30;45;196
"33009 BACIA DE SAO JOAO";6;10;7;9;18;11;14;27;20;27;27;23;56;255
"33010 LAGOS";64;69;70;97;71;99;115;101;107;136;138;139;255;1461
"33011 VALE DO PARAIBA FLUMINENSE";164;164;189;204;202;200;223;272;322;311;326;302;400;3279
"33012 BARRA DO PIRAI";24;36;47;37;40;44;71;76;105;119;130;114;184;1027
"33013 BAIA DA ILHA GRANDE";16;20;33;24;29;21;39;32;44;46;40;34;71;449
"33014 VASSOURAS";19;41;36;35;39;48;79;83;97;117;125;124;173;1016
"33015 SERRANA";98;88;104;120;146;163;208;231;307;331;334;334;512;2976
"33016 MACACU-CACERIBU";16;24;27;16;34;27;30;45;54;60;49;63;106;551
"33017 ITAGUAI";43;31;47;43;46;53;58;64;77;59;59;64;111;755
"33018 RIO DE JANEIRO";2808;2811;3101;3219;3307;3918;4881;5968;6864;7069;7125;6987;11863;69921
"Total";3499;3559;3971;4127;4287;5021;6242;7541;8726;9062;9334;9141;15416;89926
