"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";12047;11356;10999;9976;8742;7526;6904;6035;5011;3940;2719;1691;1632;88578
"35002 FERNANDOPOLIS";8581;8041;7670;6720;5718;4962;4321;3676;3155;2362;1636;1128;912;58882
"35003 VOTUPORANGA";9726;9514;9206;8547;7434;6474;5418;4585;3822;3060;2081;1334;1242;72443
"35004 SAO JOSE DO RIO PRETO";50625;50925;47577;41097;34794;28620;24643;21362;18361;13672;9390;6270;5695;353031
"35005 CATANDUVA";16123;15525;14880;13132;11494;9210;7764;6897;6278;5039;3490;2161;2139;114132
"35006 AURIFLAMA";3865;3852;3514;3095;2724;2272;1955;1694;1466;1092;668;462;438;27097
"35007 NHANDEARA";4930;4801;4574;4018;3577;3104;2863;2407;2090;1555;1113;748;701;36481
"35008 NOVO HORIZONTE";5692;5533;5308;4770;4125;3452;2964;2662;2340;1893;1326;873;756;41694
"35009 BARRETOS";10325;10280;9562;8156;6786;5704;4959;4312;3730;2735;1978;1348;1192;71067
"35010 SAO JOAQUIM DA BARRA";15791;15187;13950;11915;10151;8007;6612;5509;4609;3432;2323;1528;1294;100308
"35011 ITUVERAVA";7125;6743;6603;5587;4908;3985;3556;2961;2450;1844;1295;844;802;48703
"35012 FRANCA";28669;27366;24864;21123;17643;13515;11269;9199;7500;5300;3613;2369;2143;174573
"35013 JABOTICABAL";32677;31042;28354;24245;20228;16125;13794;11980;10535;8112;5536;3764;3351;209743
"35014 RIBEIRAO PRETO";66036;63299;61827;56001;47785;37656;30417;25048;21274;16958;11376;7298;7073;452048
"35015 BATATAIS";7451;7254;6949;6144;5237;4162;3571;3125;2823;2180;1465;973;861;52195
"35016 ANDRADINA";15371;14316;13142;11548;10073;8677;7329;6142;5047;3881;2765;1895;1683;101869
"35017 ARACATUBA";19465;18439;18399;16071;13793;11383;9525;8017;6650;5475;3804;2433;2385;135839
"35018 BIRIGUI";18865;17737;16117;14033;11891;9883;8443;7321;6172;4753;3257;2135;1954;122561
"35019 LINS";11519;10924;10202;9003;7669;6326;5577;5136;4586;3550;2490;1669;1505;80156
"35020 BAURU";39922;38780;36833;32273;26342;21013;17638;15739;13922;10585;7286;4864;4242;269439
"35021 JAU";24263;23908;22258;19195;15612;12210;10809;9837;9054;6745;4621;3235;2891;164638
"35022 AVARE";11491;11029;10274;9170;7537;5801;4960;4493;3823;2953;1993;1349;1133;76006
"35023 BOTUCATU";13510;12690;12052;10460;9021;7103;6166;5741;4993;3927;2774;1972;1743;92152
"35024 ARARAQUARA";35536;33930;32712;28768;24323;19271;15847;13389;11980;9457;6542;4091;3918;239764
"35025 SAO CARLOS";20533;20014;18928;16394;13702;10724;9369;8100;7366;5616;3965;2694;2639;140044
"35026 RIO CLARO";15547;15513;14699;12631;10796;8864;7631;6688;6285;4948;3551;2435;2105;111693
"35027 LIMEIRA";40215;39412;36789;31810;25642;19686;16262;13755;12100;8816;5755;3682;3060;256984
"35028 PIRACICABA";37940;34938;35188;31396;27188;21959;17172;14359;12453;10327;7043;4652;4194;258809
"35029 PIRASSUNUNGA";12830;12870;11835;10128;8524;6873;5874;5149;4532;3496;2392;1548;1232;87283
"35030 SAO JOAO DA BOA VISTA";31401;30249;28931;25565;21246;16861;14626;13306;12167;9317;6361;4349;3728;218107
"35031 MOJI MIRIM";25006;24050;23520;21003;17704;13902;11173;9161;8037;6177;4191;2614;2411;168949
"35032 CAMPINAS";173044;171927;161283;141034;114643;86636;69780;56749;47684;35439;23680;15207;13262;1110368
"35033 AMPARO";11973;11476;11153;10078;8725;6800;6159;5471;5063;3996;2944;1956;1739;87533
"35034 DRACENA";9299;8612;8233;7220;6161;5321;4919;4326;3802;2880;1909;1263;1138;65083
"35035 ADAMANTINA";13186;12351;11493;10185;8759;7762;6915;6406;5538;4209;3040;1959;1778;93581
"35036 PRESIDENTE PRUDENTE";47176;44314;39414;33370;27958;23468;20216;17244;14528;11053;7384;4849;4447;295421
"35037 TUPA";9141;8551;7861;6817;5754;4983;4444;3973;3385;2690;1777;1227;1137;61740
"35038 MARILIA";24467;23139;21723;19126;15964;12868;10944;9817;8821;6778;4595;3030;2703;163975
"35039 ASSIS";20518;19173;18033;15805;13424;10885;9351;8073;7159;5601;3990;2532;2350;136894
"35040 OURINHOS";20446;19212;18944;16800;15003;12434;10467;9046;7688;6083;4235;2865;2592;145815
"35041 ITAPEVA";18425;17020;16447;14200;11538;9262;7784;6538;5809;4360;3003;1909;1585;117880
"35042 ITAPETININGA";12034;10799;10841;9946;8507;6687;5423;4423;3931;3193;2234;1515;1296;80829
"35043 TATUI";14768;14105;13192;11438;9718;7919;6694;5986;5185;4089;2879;1823;1525;99321
"35044 CAPAO BONITO";12410;10530;9253;8082;6996;6078;4916;4093;3410;2546;1748;1116;880;72058
"35045 PIEDADE";13496;12323;10881;8940;7488;6186;5268;4488;3787;2831;1802;1110;919;79519
"35046 SOROCABA";82107;80509;75440;64930;52401;40562;32772;27675;23892;17930;12020;7591;6466;524295
"35047 JUNDIAI";40844;40305;38442;33808;27464;20991;17348;14317;12153;9100;6090;3916;3380;268158
"35048 BRAGANCA PAULISTA";30233;28242;26348;24041;20106;16204;13363;11150;10144;7997;5461;3502;3043;199834
"35049 CAMPOS DO JORDAO";5339;4947;4325;3639;2930;2312;2008;1624;1402;1067;712;415;325;31045
"35050 SAO JOSE DOS CAMPOS";96320;95858;90743;80714;64996;47143;35721;27415;22956;17187;11518;7438;6263;604272
"35051 GUARATINGUETA";30209;29094;28114;24295;20657;16119;13267;10978;9276;7366;5118;3391;2874;200758
"35052 BANANAL";2005;1863;1814;1534;1253;1080;944;834;784;598;422;288;279;13698
"35053 PARAIBUNA/PARAITINGA";5900;5470;4666;3843;3404;3019;2705;2409;2142;1651;1060;663;515;37447
"35054 CARAGUATATUBA";14935;13848;12387;10715;8461;6335;5083;4162;3568;2566;1650;1073;928;85711
"35055 REGISTRO";17893;15678;14454;12724;11018;9008;7980;6456;5591;4183;2818;1776;1585;111164
