"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";13253;12382;11024;11362;11055;10392;8923;7705;6605;5566;4173;2995;2595;108030
"35002 FERNANDOPOLIS";9312;8750;7811;7846;7811;7362;6022;5084;4386;3735;2739;1993;1754;74605
"35003 VOTUPORANGA";12266;11583;10138;10461;10096;9308;7797;6719;5357;4463;3257;2416;2166;96027
"35004 SAO JOSE DO RIO PRETO";67023;64220;57247;56784;55167;49252;40659;33482;26402;22254;16857;12658;11130;513135
"35005 CATANDUVA";20014;18224;16613;16619;15380;13781;11874;9466;7583;6740;5275;4117;3540;149226
"35006 AURIFLAMA";4161;3782;3402;3537;3428;3038;2578;2293;1798;1556;1175;844;696;32288
"35007 NHANDEARA";5660;5082;4572;4838;4688;4356;3755;3198;2829;2412;1849;1380;1190;45809
"35008 NOVO HORIZONTE";6849;6294;5674;5755;5554;5143;4566;3727;2983;2525;2019;1592;1345;54026
"35009 BARRETOS";12766;11411;9958;9791;9856;8563;7152;5938;4797;3942;3017;2229;2015;91435
"35010 SAO JOAQUIM DA BARRA";19900;18080;16172;15644;14522;12850;10449;8733;6433;5183;3782;2719;2441;136908
"35011 ITUVERAVA";8931;8331;6934;6784;6626;6042;5011;4157;3337;2799;2056;1438;1344;63790
"35012 FRANCA";34249;32175;29475;28805;27124;23908;19407;15694;11314;9267;6712;4712;4089;246931
"35013 JABOTICABAL";38362;34522;30958;30568;28586;25572;21109;17261;13463;11538;8814;6839;6094;273686
"35014 RIBEIRAO PRETO";94946;86975;75552;72052;69130;61930;50983;40218;30101;24758;18925;14153;12585;652308
"35015 BATATAIS";9635;8845;7472;7390;7259;6743;5778;4708;3533;3093;2410;1816;1672;70354
"35016 ANDRADINA";15676;15747;14659;14083;13386;11555;9976;8588;7022;5696;4133;3091;2786;126398
"35017 ARACATUBA";23090;21725;19832;19666;19110;16634;13794;11176;8842;7590;5556;4079;3876;174970
"35018 BIRIGUI";22625;21166;19825;19127;18102;16156;13478;11146;8907;7248;5569;4045;3649;171043
"35019 LINS";14452;13531;11870;11309;10942;9968;8489;6896;5529;4830;3752;2877;2613;107058
"35020 BAURU";52241;48719;42830;40752;39168;35170;29643;23183;17766;14929;11948;8982;8048;373379
"35021 JAU";31692;29038;25941;25080;24339;21724;17856;13939;10658;9375;7609;5786;5170;228207
"35022 AVARE";16308;15127;13282;12384;11752;10426;8755;6833;5230;4317;3395;2460;2184;112453
"35023 BOTUCATU";18523;17234;15203;14142;13665;12452;10571;8496;6659;5479;4497;3450;3195;133566
"35024 ARARAQUARA";46116;42869;37858;36786;35746;31432;26176;20667;15775;13194;10298;7855;6891;331663
"35025 SAO CARLOS";28067;26359;23856;22265;21641;19376;15867;12547;9441;8104;6323;4914;4364;203124
"35026 RIO CLARO";21964;21027;18430;17328;17054;15108;12208;10086;7848;6533;5275;4283;4010;161154
"35027 LIMEIRA";53823;48669;43663;42775;40297;36361;29167;22623;16710;13544;10363;7805;6552;372352
"35028 PIRACICABA";51739;47635;41971;39734;38493;33853;28808;22996;16993;13980;10870;8543;7522;363137
"35029 PIRASSUNUNGA";16944;15189;13410;13280;13132;11248;9265;7727;5885;4871;3833;2984;2534;120302
"35030 SAO JOAO DA BOA VISTA";37678;34234;30287;30380;29827;27483;23118;18480;14245;12193;9719;7676;6614;281934
"35031 MOJI MIRIM";35534;32062;28926;28384;27034;24076;19876;15753;11855;9331;7106;5282;4538;249757
"35032 CAMPINAS";236721;227759;204508;196698;182999;162648;132346;100254;72904;58230;43554;32160;27960;1678741
"35033 AMPARO";15668;14527;13359;12717;12399;11630;9989;8247;6477;5715;4493;3533;3216;121970
"35034 DRACENA";10407;9312;8427;8455;8138;7568;6417;5417;4574;4064;3178;2356;2092;80405
"35035 ADAMANTINA";14154;13004;11506;11486;11350;10360;8888;7530;6523;5627;4620;3402;3035;111485
"35036 PRESIDENTE PRUDENTE";51396;48263;44336;45109;42408;35890;29823;24611;19968;16525;12643;9165;8092;388229
"35037 TUPA";10031;9288;8268;8369;7931;7322;5987;5171;4304;3773;2899;2207;2032;77582
"35038 MARILIA";29688;28839;25733;24190;23358;21198;17673;14556;11275;9410;7645;5703;5198;224466
"35039 ASSIS";23483;21811;19830;19837;18909;16638;13858;11449;9239;7501;6079;4409;4095;177138
"35040 OURINHOS";26244;23477;21002;20718;20248;17878;15612;12965;10245;8201;6555;4677;4192;192014
"35041 ITAPEVA";23011;20097;17652;16930;16294;13934;11617;9035;7064;5895;4470;3148;2701;151848
"35042 ITAPETININGA";17841;15948;13822;12690;12425;11065;9118;7169;5364;4431;3376;2538;2318;118105
"35043 TATUI";23048;21213;18546;17495;16503;14591;12279;9968;7610;6113;4646;3501;3113;158626
"35044 CAPAO BONITO";13675;11771;10592;9569;8836;7408;6236;5370;4299;3487;2533;1736;1450;86962
"35045 PIEDADE";18196;15865;14466;13466;12766;10899;8628;7521;5810;4648;3435;2276;1837;119813
"35046 SOROCABA";121910;113230;99563;95249;90359;79016;63209;48812;35485;28230;21464;15915;13810;826252
"35047 JUNDIAI";58109;54334;48254;45917;43297;39014;31537;24097;17765;14550;10754;7880;7093;402601
"35048 BRAGANCA PAULISTA";44787;42057;37300;34653;33166;29513;24390;19965;14910;11850;9582;7226;6296;315695
"35049 CAMPOS DO JORDAO";6245;6052;5574;5317;4872;4126;3221;2544;1964;1550;1141;800;695;44101
"35050 SAO JOSE DOS CAMPOS";132997;124308;108456;102671;98566;87494;72985;55482;37871;28495;20297;14990;13532;898144
"35051 GUARATINGUETA";37667;34491;30089;28878;28754;25998;20924;17131;12688;9787;7687;5508;5104;264706
"35052 BANANAL";2358;2157;1906;1895;1834;1557;1239;1114;892;802;611;446;452;17263
