"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";16;10;9;18;28;40;35;39;80;105;112;134;273;899
"35002 FERNANDOPOLIS";10;6;9;20;21;33;21;40;42;59;81;75;208;625
"35003 VOTUPORANGA";16;12;14;19;19;43;41;49;66;85;88;127;271;850
"35004 SAO JOSE DO RIO PRETO";76;87;96;159;198;251;288;335;466;560;627;673;1342;5158
"35005 CATANDUVA";23;35;35;56;59;61;75;128;107;162;196;215;502;1654
"35006 AURIFLAMA";5;4;6;3;5;4;11;12;14;18;26;30;45;183
"35007 NHANDEARA";5;9;3;4;6;8;10;12;16;19;43;33;100;268
"35008 NOVO HORIZONTE";2;4;2;2;11;18;17;23;24;28;40;46;125;342
"35009 BARRETOS";32;29;44;51;100;159;166;197;211;264;243;254;351;2101
"35010 SAO JOAQUIM DA BARRA";18;13;16;22;29;39;56;69;77;93;101;115;245;893
"35011 ITUVERAVA";7;11;13;20;20;21;43;56;47;48;60;80;156;582
"35012 FRANCA";43;44;57;67;77;115;123;151;178;211;259;235;481;2041
"35013 JABOTICABAL";48;36;47;60;66;98;116;114;148;207;254;275;660;2129
"35014 RIBEIRAO PRETO";111;121;167;227;242;338;400;413;479;570;679;705;1430;5882
"35015 BATATAIS";13;8;8;22;17;26;23;23;25;52;60;76;146;499
"35016 ANDRADINA";17;16;27;34;41;43;54;59;87;96;119;121;316;1030
"35017 ARACATUBA";46;29;39;57;89;74;101;111;140;183;198;225;450;1742
"35018 BIRIGUI";18;18;19;33;43;50;61;80;113;112;135;152;396;1230
"35019 LINS";23;16;21;28;32;50;64;62;84;101;134;133;281;1029
"35020 BAURU";70;72;96;100;116;135;185;218;253;320;398;436;883;3282
"35021 JAU";51;42;47;88;107;147;185;177;217;292;296;306;654;2609
"35022 AVARE";18;22;36;30;38;54;61;71;79;106;117;139;238;1009
"35023 BOTUCATU";27;28;44;48;49;91;109;133;136;166;180;213;433;1657
"35024 ARARAQUARA";50;53;61;73;111;175;156;198;240;300;337;361;771;2886
"35025 SAO CARLOS";28;32;36;50;50;87;88;95;123;160;191;195;481;1616
"35026 RIO CLARO";31;46;28;55;56;86;77;99;119;123;156;227;451;1554
"35027 LIMEIRA";58;72;93;120;121;206;189;196;239;276;365;409;701;3045
"35028 PIRACICABA";69;74;78;103;132;173;189;215;231;307;382;431;876;3260
"35029 PIRASSUNUNGA";11;17;28;28;46;40;57;56;81;99;110;145;236;954
"35030 SAO JOAO DA BOA VISTA";39;33;42;64;77;157;147;185;222;294;372;375;753;2760
"35031 MOJI MIRIM";40;55;66;58;97;108;128;162;155;228;245;269;476;2087
"35032 CAMPINAS";350;382;356;444;572;683;835;850;951;1237;1348;1584;3092;12684
"35033 AMPARO";17;10;20;31;39;39;46;75;81;104;141;151;359;1113
"35034 DRACENA";10;19;14;20;25;45;42;46;63;70;110;103;216;783
"35035 ADAMANTINA";10;12;10;24;28;36;40;52;59;100;110;131;327;939
"35036 PRESIDENTE PRUDENTE";61;67;86;103;147;152;194;252;268;392;423;474;905;3524
"35037 TUPA";7;7;9;16;39;38;39;41;55;81;101;101;251;785
"35038 MARILIA";33;35;54;52;83;93;143;146;186;229;276;307;582;2219
"35039 ASSIS";24;36;27;46;67;74;93;95;126;173;199;231;441;1632
"35040 OURINHOS";29;21;34;47;59;86;109;131;140;200;236;243;498;1833
"35041 ITAPEVA";25;27;46;43;56;62;71;92;108;168;183;172;334;1387
"35042 ITAPETININGA";21;21;34;36;40;55;67;64;90;109;155;136;260;1088
