23.Aichi.ken, Death Rates (period 5x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947     0      0.080892     0.090188     0.085665
   1947     1-4    0.014601     0.014964     0.014786
   1947     5-9    0.003025     0.003379     0.003204
   1947    10-14   0.001551     0.001579     0.001565
   1947    15-19   0.003921     0.004351     0.004128
   1947    20-24   0.006996     0.008726     0.007801
   1947    25-29   0.006581     0.007663     0.007048
   1947    30-34   0.006633     0.007775     0.007162
   1947    35-39   0.006425     0.007866     0.007118
   1947    40-44   0.007647     0.009012     0.008337
   1947    45-49   0.008519     0.011885     0.010247
   1947    50-54   0.011907     0.015382     0.013677
   1947    55-59   0.015826     0.023998     0.019892
   1947    60-64   0.024224     0.037112     0.030372
   1947    65-69   0.038608     0.057813     0.047318
   1947    70-74   0.063345     0.085193     0.072658
   1947    75-79   0.099281     0.138313     0.114459
   1947    80-84   0.169663     0.217652     0.186296
   1947    85-89   0.260092     0.306833     0.274985
   1947    90-94   0.376852     0.404899     0.384154
   1947    95-99   0.480113     0.261752     0.414337
   1947   100-104  0.000000     3.934426     0.937500
   1947   105-109  4.095563            .     4.095563
   1947   110+            .     0.000000     0.000000
   1948     0      0.054706     0.065406     0.060172
   1948     1-4    0.007777     0.008142     0.007963
   1948     5-9    0.001726     0.002225     0.001979
   1948    10-14   0.001181     0.001287     0.001233
   1948    15-19   0.003158     0.003262     0.003208
   1948    20-24   0.006325     0.007444     0.006857
   1948    25-29   0.006098     0.006693     0.006352
   1948    30-34   0.005187     0.006541     0.005809
   1948    35-39   0.005991     0.006998     0.006471
   1948    40-44   0.006637     0.008115     0.007378
   1948    45-49   0.007894     0.010367     0.009158
   1948    50-54   0.010687     0.013682     0.012216
   1948    55-59   0.013935     0.020598     0.017252
   1948    60-64   0.020209     0.032260     0.025997
   1948    65-69   0.034427     0.048346     0.040756
   1948    70-74   0.051877     0.071221     0.060126
   1948    75-79   0.084171     0.103665     0.091811
   1948    80-84   0.136553     0.172483     0.148986
   1948    85-89   0.199808     0.248716     0.215013
   1948    90-94   0.302193     0.317941     0.306569
   1948    95-99   0.327630     0.373320     0.337971
   1948   100-104  0.000000     2.745995     0.922367
   1948   105-109  0.000000            .     0.000000
   1948   110+            .     0.000000     0.000000
   1949     0      0.063404     0.070390     0.066958
   1949     1-4    0.009959     0.009867     0.009912
   1949     5-9    0.001973     0.002416     0.002198
   1949    10-14   0.001185     0.001207     0.001196
   1949    15-19   0.002786     0.002709     0.002749
   1949    20-24   0.005143     0.006133     0.005618
   1949    25-29   0.005316     0.005974     0.005599
   1949    30-34   0.004847     0.005686     0.005228
   1949    35-39   0.005477     0.006585     0.006000
   1949    40-44   0.006077     0.007247     0.006659
   1949    45-49   0.006995     0.009415     0.008225
   1949    50-54   0.010438     0.013561     0.012036
   1949    55-59   0.013357     0.019671     0.016513
   1949    60-64   0.021219     0.030290     0.025603
   1949    65-69   0.032302     0.046438     0.038745
   1949    70-74   0.054452     0.070812     0.061441
   1949    75-79   0.081346     0.107475     0.091734
   1949    80-84   0.144889     0.162201     0.150953
   1949    85-89   0.207913     0.230634     0.214878
   1949    90-94   0.276990     0.401586     0.311295
   1949    95-99   0.413417     0.132714     0.351468
   1949   100-104  0.000000     0.000000     0.000000
   1949   105-109  0.000000            .     0.000000
   1949   110+            .     0.000000     0.000000
   1950     0      0.052159     0.059983     0.056165
   1950     1-4    0.008513     0.007810     0.008155
   1950     5-9    0.001966     0.002036     0.002001
   1950    10-14   0.001019     0.001144     0.001082
   1950    15-19   0.002360     0.002760     0.002552
   1950    20-24   0.004542     0.005122     0.004822
   1950    25-29   0.004873     0.005805     0.005282
   1950    30-34   0.004308     0.005439     0.004812
   1950    35-39   0.004779     0.005984     0.005342
   1950    40-44   0.005982     0.006236     0.006108
   1950    45-49   0.007455     0.008689     0.008079
   1950    50-54   0.009750     0.012940     0.011381
   1950    55-59   0.013995     0.020242     0.017130
   1950    60-64   0.021052     0.030396     0.025586
   1950    65-69   0.034367     0.048398     0.040781
   1950    70-74   0.052514     0.076979     0.062969
   1950    75-79   0.085866     0.110928     0.095898
   1950    80-84   0.143747     0.175412     0.154947
   1950    85-89   0.209171     0.270198     0.227792
   1950    90-94   0.371276     0.436808     0.388961
   1950    95-99   0.476023     0.496586     0.480571
   1950   100-104  0.353565     0.000000     0.214669
   1950   105-109  0.000000     0.000000     0.000000
   1950   110+     0.000000     0.000000     0.000000
   1951     0      0.051238     0.058437     0.054920
   1951     1-4    0.007889     0.007956     0.007923
   1951     5-9    0.001761     0.002092     0.001929
   1951    10-14   0.000908     0.001063     0.000985
   1951    15-19   0.001649     0.001870     0.001756
   1951    20-24   0.003168     0.003839     0.003493
   1951    25-29   0.003926     0.004328     0.004108
   1951    30-34   0.003794     0.003797     0.003795
   1951    35-39   0.004317     0.004300     0.004309
   1951    40-44   0.005316     0.005570     0.005440
   1951    45-49   0.006502     0.008622     0.007572
   1951    50-54   0.009406     0.011869     0.010664
   1951    55-59   0.012694     0.017502     0.015111
   1951    60-64   0.019705     0.029133     0.024295
   1951    65-69   0.032984     0.048263     0.039993
   1951    70-74   0.052873     0.075479     0.062554
   1951    75-79   0.084844     0.105660     0.093177
   1951    80-84   0.143009     0.163222     0.150248
   1951    85-89   0.199096     0.233867     0.209659
   1951    90-94   0.302241     0.353249     0.315747
   1951    95-99   0.432804     0.588478     0.464506
   1951   100-104  1.140496     0.332180     0.719741
   1951   105-109  0.972973     3.000000     1.140496
   1951   110+     1.285714     1.500000     1.390244
   1952     0      0.045521     0.053563     0.049618
   1952     1-4    0.005893     0.006044     0.005970
   1952     5-9    0.001541     0.001712     0.001628
   1952    10-14   0.000691     0.000851     0.000771
   1952    15-19   0.001234     0.001499     0.001362
   1952    20-24   0.002471     0.002697     0.002581
   1952    25-29   0.003004     0.003224     0.003107
   1952    30-34   0.003458     0.003385     0.003426
   1952    35-39   0.003632     0.003832     0.003725
   1952    40-44   0.004854     0.005341     0.005089
   1952    45-49   0.005838     0.007580     0.006716
   1952    50-54   0.008267     0.011072     0.009699
   1952    55-59   0.012750     0.016904     0.014845
   1952    60-64   0.019467     0.025611     0.022466
   1952    65-69   0.031433     0.044401     0.037421
   1952    70-74   0.052769     0.074285     0.062033
   1952    75-79   0.081534     0.106556     0.091533
   1952    80-84   0.129006     0.161968     0.140940
   1952    85-89   0.224871     0.233565     0.227569
   1952    90-94   0.276777     0.318938     0.288076
   1952    95-99   0.483307     0.800695     0.536440
   1952   100-104  0.000000     1.167630     0.574680
   1952   105-109  0.000000     0.000000     0.000000
   1952   110+     0.000000            .     0.000000
   1953     0      0.043805     0.051048     0.047508
   1953     1-4    0.004837     0.005167     0.005005
   1953     5-9    0.001461     0.001684     0.001575
   1953    10-14   0.000752     0.000793     0.000772
   1953    15-19   0.001199     0.001448     0.001318
   1953    20-24   0.002283     0.002630     0.002452
   1953    25-29   0.002747     0.002849     0.002796
   1953    30-34   0.002996     0.003248     0.003104
   1953    35-39   0.003255     0.003291     0.003271
   1953    40-44   0.004141     0.004632     0.004375
   1953    45-49   0.005219     0.007348     0.006284
   1953    50-54   0.008542     0.010698     0.009638
   1953    55-59   0.012752     0.016962     0.014883
   1953    60-64   0.020133     0.028894     0.024420
