05.Akita.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.116686     0.124198     0.120515
   1947        1   0.041055     0.041640     0.041352
   1947        2   0.017705     0.016752     0.017222
   1947        3   0.012856     0.010759     0.011794
   1947        4   0.005751     0.006038     0.005897
   1947        5   0.004617     0.006044     0.005340
   1947        6   0.004010     0.003075     0.003538
   1947        7   0.002969     0.002756     0.002861
   1947        8   0.002406     0.003063     0.002740
   1947        9   0.002534     0.002210     0.002369
   1947       10   0.001958     0.002557     0.002262
   1947       11   0.001937     0.002709     0.002330
   1947       12   0.002882     0.001870     0.002364
   1947       13   0.002204     0.001951     0.002074
   1947       14   0.002008     0.003275     0.002659
   1947       15   0.003425     0.002295     0.002853
   1947       16   0.003946     0.003482     0.003716
   1947       17   0.002430     0.004448     0.003416
   1947       18   0.004750     0.006176     0.005444
   1947       19   0.006767     0.005614     0.006205
   1947       20   0.007238     0.008949     0.008074
   1947       21   0.008769     0.009245     0.009000
   1947       22   0.008328     0.008891     0.008599
   1947       23   0.008964     0.009879     0.009392
   1947       24   0.008095     0.008854     0.008433
   1947       25   0.010072     0.009308     0.009736
   1947       26   0.007048     0.009155     0.007987
   1947       27   0.007236     0.010072     0.008528
   1947       28   0.007558     0.009218     0.008331
   1947       29   0.008006     0.009226     0.008582
   1947       30   0.006970     0.010067     0.008444
   1947       31   0.007123     0.008704     0.007879
   1947       32   0.008391     0.007856     0.008134
   1947       33   0.008835     0.009350     0.009082
   1947       34   0.007892     0.007609     0.007758
   1947       35   0.007976     0.008511     0.008233
   1947       36   0.008426     0.007858     0.008149
   1947       37   0.008754     0.010004     0.009369
   1947       38   0.008741     0.008185     0.008465
   1947       39   0.008894     0.009062     0.008978
   1947       40   0.009994     0.009922     0.009957
   1947       41   0.010591     0.009824     0.010202
   1947       42   0.011370     0.012048     0.011709
   1947       43   0.010053     0.009869     0.009960
   1947       44   0.010070     0.012993     0.011544
   1947       45   0.011276     0.011479     0.011380
   1947       46   0.009912     0.013256     0.011625
   1947       47   0.011883     0.016946     0.014479
   1947       48   0.013021     0.014931     0.013999
   1947       49   0.012134     0.018281     0.015279
   1947       50   0.015297     0.020136     0.017751
   1947       51   0.011814     0.021722     0.016807
   1947       52   0.018205     0.017903     0.018052
   1947       53   0.018917     0.028085     0.023588
   1947       54   0.016993     0.022763     0.019928
   1947       55   0.017298     0.027529     0.022468
   1947       56   0.021150     0.028510     0.024838
   1947       57   0.023662     0.035161     0.029407
   1947       58   0.028379     0.037818     0.033084
   1947       59   0.026084     0.045566     0.035661
   1947       60   0.032510     0.051059     0.041471
   1947       61   0.035159     0.049023     0.041829
   1947       62   0.038067     0.061276     0.049046
   1947       63   0.032886     0.059161     0.044973
   1947       64   0.043467     0.068448     0.054671
   1947       65   0.047755     0.071015     0.058071
   1947       66   0.058743     0.072365     0.064801
   1947       67   0.062844     0.089438     0.074656
   1947       68   0.066523     0.083574     0.073987
   1947       69   0.071592     0.109559     0.087380
   1947       70   0.084122     0.117956     0.097933
   1947       71   0.071691     0.130342     0.095619
   1947       72   0.073769     0.130428     0.095924
   1947       73   0.080734     0.124015     0.097224
   1947       74   0.107963     0.137797     0.119406
   1947       75   0.114131     0.118804     0.115924
   1947       76   0.131528     0.180282     0.150181
   1947       77   0.154802     0.176547     0.162754
   1947       78   0.129931     0.202783     0.153988
   1947       79   0.163343     0.203633     0.175443
   1947       80   0.179686     0.245875     0.201069
   1947       81   0.182951     0.297172     0.218896
   1947       82   0.249556     0.267786     0.254828
   1947       83   0.244803     0.188806     0.227275
   1947       84   0.196675     0.289098     0.224093
   1947       85   0.350605     0.527851     0.402634
   1947       86   0.450029     0.303582     0.414349
   1947       87   0.254777     0.436745     0.295868
