02.Aomori.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.118269     0.125447     0.121943
   1947        1   0.046891     0.052311     0.049656
   1947        2   0.021116     0.018159     0.019608
   1947        3   0.011534     0.008855     0.010172
   1947        4   0.006326     0.005874     0.006098
   1947        5   0.005012     0.004321     0.004664
   1947        6   0.004910     0.002901     0.003898
   1947        7   0.003329     0.003890     0.003613
   1947        8   0.001988     0.002861     0.002431
   1947        9   0.002132     0.002317     0.002226
   1947       10   0.001832     0.001969     0.001902
   1947       11   0.001538     0.001430     0.001483
   1947       12   0.001888     0.001722     0.001804
   1947       13   0.001854     0.001705     0.001779
   1947       14   0.002469     0.001687     0.002075
   1947       15   0.004189     0.002586     0.003380
   1947       16   0.003939     0.003599     0.003768
   1947       17   0.004101     0.004967     0.004538
   1947       18   0.005566     0.004990     0.005277
   1947       19   0.006498     0.006270     0.006384
   1947       20   0.006371     0.007171     0.006770
   1947       21   0.008330     0.007680     0.008009
   1947       22   0.008323     0.007822     0.008079
   1947       23   0.007639     0.007424     0.007538
   1947       24   0.007839     0.008140     0.007975
   1947       25   0.007907     0.008637     0.008233
   1947       26   0.007812     0.008547     0.008140
   1947       27   0.008174     0.008815     0.008466
   1947       28   0.007916     0.008139     0.008019
   1947       29   0.007683     0.008057     0.007856
   1947       30   0.006952     0.007835     0.007364
   1947       31   0.008416     0.009035     0.008710
   1947       32   0.007070     0.008293     0.007660
   1947       33   0.008143     0.009027     0.008573
   1947       34   0.009171     0.006884     0.008055
   1947       35   0.007067     0.007333     0.007198
   1947       36   0.007200     0.007076     0.007139
   1947       37   0.007689     0.007873     0.007780
   1947       38   0.009859     0.008804     0.009331
   1947       39   0.007959     0.010050     0.009008
   1947       40   0.007650     0.009089     0.008379
   1947       41   0.005478     0.008915     0.007224
   1947       42   0.008882     0.011635     0.010275
   1947       43   0.007672     0.009890     0.008800
   1947       44   0.009777     0.009130     0.009449
   1947       45   0.008394     0.010110     0.009272
   1947       46   0.010337     0.009685     0.010009
   1947       47   0.010069     0.011228     0.010650
   1947       48   0.009930     0.012934     0.011466
   1947       49   0.009543     0.014522     0.012099
   1947       50   0.010467     0.015301     0.012925
   1947       51   0.010042     0.018549     0.014313
   1947       52   0.014232     0.017310     0.015781
   1947       53   0.014610     0.017627     0.016146
   1947       54   0.014336     0.018825     0.016623
   1947       55   0.011259     0.023153     0.017262
   1947       56   0.014797     0.024816     0.019775
   1947       57   0.014498     0.023408     0.018805
   1947       58   0.015511     0.027170     0.021125
   1947       59   0.014906     0.029045     0.021798
   1947       60   0.025192     0.032512     0.028748
   1947       61   0.024030     0.039799     0.031635
   1947       62   0.026780     0.036396     0.031307
   1947       63   0.029229     0.045208     0.036595
   1947       64   0.035329     0.053360     0.043649
   1947       65   0.038098     0.054893     0.045844
   1947       66   0.036548     0.052774     0.043901
   1947       67   0.039345     0.055165     0.046431
   1947       68   0.042391     0.070897     0.055180
   1947       69   0.053539     0.069330     0.060498
   1947       70   0.058299     0.072850     0.064604
   1947       71   0.062831     0.083766     0.071855
   1947       72   0.069506     0.091723     0.078699
   1947       73   0.078946     0.100153     0.087494
   1947       74   0.068925     0.109606     0.085455
   1947       75   0.103478     0.141512     0.118775
   1947       76   0.091994     0.150005     0.114443
   1947       77   0.086779     0.130628     0.103178
   1947       78   0.115543     0.176752     0.138249
   1947       79   0.143693     0.205116     0.165278
   1947       80   0.171224     0.151786     0.164642
   1947       81   0.169328     0.147529     0.162135
   1947       82   0.167990     0.200584     0.179227
   1947       83   0.132214     0.250864     0.174138
   1947       84   0.183106     0.207097     0.190979
   1947       85   0.149990     0.312944     0.200809
   1947       86   0.176373     0.276418     0.204916
   1947       87   0.282904     0.339487     0.296539
   1947       88   0.314869     0.370981     0.327243
   1947       89   0.250167     0.546519     0.322082
   1947       90   0.250487     0.263505     0.253619
   1947       91   0.172002     0.000000     0.142236
