12.Chiba.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.086882     0.105103     0.096167
   1947        1   0.024309     0.027222     0.025786
   1947        2   0.015810     0.016810     0.016315
   1947        3   0.011791     0.011672     0.011731
   1947        4   0.007438     0.008571     0.008008
   1947        5   0.004808     0.005711     0.005264
   1947        6   0.003867     0.003507     0.003685
   1947        7   0.002777     0.003436     0.003107
   1947        8   0.002735     0.002152     0.002443
   1947        9   0.001713     0.003169     0.002445
   1947       10   0.001414     0.002086     0.001751
   1947       11   0.001417     0.001628     0.001523
   1947       12   0.001648     0.001623     0.001636
   1947       13   0.001586     0.002051     0.001816
   1947       14   0.002279     0.002023     0.002151
   1947       15   0.003913     0.003310     0.003612
   1947       16   0.002871     0.004055     0.003460
   1947       17   0.004421     0.005177     0.004796
   1947       18   0.004248     0.005257     0.004747
   1947       19   0.005333     0.006689     0.006002
   1947       20   0.006002     0.008005     0.006984
   1947       21   0.006310     0.008815     0.007515
   1947       22   0.005912     0.009392     0.007543
   1947       23   0.006787     0.012260     0.009255
   1947       24   0.006667     0.008533     0.007486
   1947       25   0.006301     0.009572     0.007724
   1947       26   0.006024     0.010324     0.007893
   1947       27   0.006610     0.010273     0.008231
   1947       28   0.007040     0.009328     0.008067
   1947       29   0.006937     0.009228     0.007965
   1947       30   0.007444     0.005615     0.006621
   1947       31   0.006923     0.007997     0.007413
   1947       32   0.006175     0.009455     0.007687
   1947       33   0.006783     0.007240     0.006995
   1947       34   0.007095     0.009571     0.008241
   1947       35   0.006368     0.006562     0.006458
   1947       36   0.006036     0.007115     0.006548
   1947       37   0.006472     0.009198     0.007776
   1947       38   0.005872     0.009044     0.007401
   1947       39   0.007200     0.009102     0.008129
   1947       40   0.006472     0.009198     0.007842
   1947       41   0.006827     0.007591     0.007212
   1947       42   0.005385     0.007388     0.006384
   1947       43   0.007383     0.010411     0.008915
   1947       44   0.007829     0.010809     0.009333
   1947       45   0.008755     0.009885     0.009328
   1947       46   0.007463     0.010710     0.009102
   1947       47   0.009366     0.013046     0.011225
   1947       48   0.008652     0.011650     0.010177
   1947       49   0.009322     0.011145     0.010248
   1947       50   0.011589     0.012046     0.011821
   1947       51   0.011585     0.016779     0.014211
   1947       52   0.010053     0.017090     0.013590
   1947       53   0.011901     0.020314     0.016130
   1947       54   0.014043     0.022147     0.018103
   1947       55   0.011411     0.022557     0.016970
   1947       56   0.014865     0.023266     0.019017
   1947       57   0.014152     0.026791     0.020291
   1947       58   0.017668     0.029386     0.023330
   1947       59   0.016339     0.029486     0.022671
   1947       60   0.022307     0.036671     0.029127
   1947       61   0.024653     0.037670     0.030727
   1947       62   0.021453     0.039905     0.029935
   1947       63   0.028693     0.046501     0.036754
   1947       64   0.029952     0.044767     0.036514
   1947       65   0.033114     0.051794     0.041338
   1947       66   0.030367     0.057780     0.042422
   1947       67   0.034650     0.065887     0.048421
