38.Ehime.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.085802     0.098141     0.092122
   1947        1   0.035025     0.034319     0.034664
   1947        2   0.016434     0.015200     0.015806
   1947        3   0.010721     0.011061     0.010894
   1947        4   0.007167     0.007911     0.007544
   1947        5   0.004809     0.004778     0.004794
   1947        6   0.003152     0.003447     0.003301
   1947        7   0.003109     0.003491     0.003301
   1947        8   0.002623     0.002526     0.002574
   1947        9   0.001716     0.002340     0.002031
   1947       10   0.003118     0.002032     0.002571
   1947       11   0.001513     0.001618     0.001566
   1947       12   0.002218     0.001053     0.001637
   1947       13   0.001452     0.001855     0.001652
   1947       14   0.002052     0.002134     0.002093
   1947       15   0.002877     0.002742     0.002810
   1947       16   0.003490     0.001960     0.002741
   1947       17   0.004027     0.003942     0.003986
   1947       18   0.005429     0.004487     0.004978
   1947       19   0.005425     0.006969     0.006161
   1947       20   0.006389     0.006617     0.006498
   1947       21   0.008247     0.006666     0.007498
   1947       22   0.006261     0.009547     0.007799
   1947       23   0.007923     0.008381     0.008133
   1947       24   0.009269     0.008683     0.009006
   1947       25   0.009311     0.008223     0.008830
   1947       26   0.007776     0.008908     0.008276
   1947       27   0.007857     0.008723     0.008245
   1947       28   0.007169     0.007603     0.007365
   1947       29   0.006602     0.008418     0.007421
   1947       30   0.008324     0.008765     0.008524
   1947       31   0.007782     0.007513     0.007659
   1947       32   0.006106     0.007368     0.006683
   1947       33   0.007613     0.008696     0.008111
   1947       34   0.007255     0.011680     0.009304
   1947       35   0.007931     0.008313     0.008108
   1947       36   0.007900     0.007152     0.007552
   1947       37   0.008339     0.008270     0.008307
   1947       38   0.007616     0.007978     0.007790
   1947       39   0.008340     0.007408     0.007891
   1947       40   0.007502     0.008281     0.007889
   1947       41   0.008297     0.006902     0.007600
   1947       42   0.007414     0.009888     0.008636
   1947       43   0.009543     0.012141     0.010848
   1947       44   0.008476     0.009687     0.009082
   1947       45   0.006402     0.011163     0.008794
   1947       46   0.007421     0.010528     0.008992
   1947       47   0.009541     0.009878     0.009714
   1947       48   0.009628     0.011242     0.010450
   1947       49   0.009566     0.012723     0.011160
   1947       50   0.009456     0.014635     0.012092
