18.Fukui.ken, Death Rates (period 5x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947     0      0.103859     0.119270     0.111763
   1947     1-4    0.023051     0.023511     0.023284
   1947     5-9    0.003507     0.003470     0.003488
   1947    10-14   0.001778     0.001497     0.001638
   1947    15-19   0.005384     0.004813     0.005106
   1947    20-24   0.008580     0.009279     0.008905
   1947    25-29   0.008263     0.010199     0.009099
   1947    30-34   0.007779     0.008340     0.008029
   1947    35-39   0.008343     0.008307     0.008326
   1947    40-44   0.007329     0.010326     0.008815
   1947    45-49   0.010379     0.011537     0.010967
   1947    50-54   0.014189     0.016671     0.015438
   1947    55-59   0.015445     0.024809     0.020021
   1947    60-64   0.028774     0.042306     0.035014
   1947    65-69   0.041018     0.057140     0.048158
   1947    70-74   0.058154     0.085313     0.069510
   1947    75-79   0.100146     0.125854     0.109620
   1947    80-84   0.171007     0.191726     0.177848
   1947    85-89   0.265239     0.241549     0.257913
   1947    90-94   0.417553     0.264434     0.374244
   1947    95-99   0.189573     1.111699     0.534230
   1947   100-104  3.370787     0.000000     3.108808
   1947   105-109  0.000000            .     0.000000
   1947   110+            .            .            .
   1948     0      0.095441     0.103814     0.099743
   1948     1-4    0.026131     0.026687     0.026413
   1948     5-9    0.008018     0.006482     0.007234
   1948    10-14   0.005228     0.003300     0.004260
   1948    15-19   0.007095     0.004738     0.005944
   1948    20-24   0.011258     0.009121     0.010238
   1948    25-29   0.011046     0.010370     0.010756
   1948    30-34   0.011192     0.009588     0.010481
   1948    35-39   0.011103     0.010146     0.010659
   1948    40-44   0.011277     0.009727     0.010517
   1948    45-49   0.011787     0.012022     0.011906
   1948    50-54   0.016620     0.016873     0.016747
   1948    55-59   0.022090     0.025261     0.023649
   1948    60-64   0.031456     0.038150     0.034566
   1948    65-69   0.044838     0.052356     0.048168
   1948    70-74   0.065068     0.083584     0.072834
   1948    75-79   0.099483     0.115044     0.105312
   1948    80-84   0.158416     0.186556     0.167702
   1948    85-89   0.249277     0.301474     0.265837
   1948    90-94   0.222493     0.428391     0.277869
   1948    95-99   0.400160     0.177410     0.330913
   1948   100-104  0.000000     0.000000     0.000000
   1948   105-109  0.000000            .     0.000000
   1948   110+            .            .            .
   1949     0      0.073196     0.081808     0.077620
   1949     1-4    0.014433     0.013664     0.014040
   1949     5-9    0.002722     0.002409     0.002562
