40.Fukuoka.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.083894     0.094810     0.089498
   1947        1   0.038382     0.040273     0.039348
   1947        2   0.018818     0.016144     0.017460
   1947        3   0.011338     0.012536     0.011946
   1947        4   0.006742     0.007838     0.007297
   1947        5   0.005353     0.005557     0.005457
   1947        6   0.003910     0.003945     0.003928
   1947        7   0.002979     0.003214     0.003098
   1947        8   0.002039     0.003139     0.002595
   1947        9   0.002577     0.002269     0.002421
   1947       10   0.001968     0.002023     0.001995
   1947       11   0.001756     0.001479     0.001617
   1947       12   0.002008     0.001706     0.001856
   1947       13   0.002065     0.002126     0.002095
   1947       14   0.002258     0.002905     0.002584
   1947       15   0.003432     0.003355     0.003393
   1947       16   0.004874     0.003732     0.004292
   1947       17   0.005339     0.004379     0.004848
   1947       18   0.005671     0.006666     0.006178
   1947       19   0.006846     0.007588     0.007224
   1947       20   0.007764     0.008693     0.008236
   1947       21   0.008555     0.009343     0.008950
   1947       22   0.007811     0.009532     0.008660
   1947       23   0.008598     0.010514     0.009510
   1947       24   0.008604     0.007791     0.008235
   1947       25   0.008253     0.008584     0.008400
   1947       26   0.007751     0.009093     0.008347
   1947       27   0.007486     0.009281     0.008296
   1947       28   0.008012     0.008667     0.008314
   1947       29   0.007543     0.009207     0.008319
   1947       30   0.007817     0.008498     0.008138
   1947       31   0.007327     0.008283     0.007784
   1947       32   0.007584     0.007902     0.007738
   1947       33   0.007882     0.009008     0.008427
   1947       34   0.006460     0.008651     0.007516
   1947       35   0.007243     0.008300     0.007750
   1947       36   0.007531     0.009358     0.008416
   1947       37   0.006851     0.009598     0.008197
   1947       38   0.007268     0.010270     0.008747
   1947       39   0.007437     0.009405     0.008410
   1947       40   0.008821     0.010061     0.009449
   1947       41   0.007905     0.012939     0.010475
   1947       42   0.008826     0.009927     0.009384
   1947       43   0.007755     0.012025     0.009950
   1947       44   0.008719     0.012341     0.010579
   1947       45   0.008551     0.013480     0.011077
   1947       46   0.010544     0.012414     0.011497
   1947       47   0.010219     0.015062     0.012698
   1947       48   0.008444     0.014235     0.011426
   1947       49   0.009032     0.016779     0.013004
   1947       50   0.011777     0.015727     0.013799
   1947       51   0.010879     0.016203     0.013593
   1947       52   0.012108     0.020215     0.016234
   1947       53   0.013437     0.023471     0.018536
