07.Fukushima.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.089237     0.103243     0.096411
   1947        1   0.033806     0.033779     0.033793
   1947        2   0.018811     0.017209     0.018002
   1947        3   0.012212     0.012017     0.012113
   1947        4   0.006932     0.008088     0.007518
   1947        5   0.005610     0.005622     0.005616
   1947        6   0.003813     0.004084     0.003950
   1947        7   0.003256     0.003360     0.003308
   1947        8   0.002681     0.002664     0.002672
   1947        9   0.002302     0.002464     0.002383
   1947       10   0.002538     0.002333     0.002435
   1947       11   0.002229     0.002131     0.002180
   1947       12   0.001988     0.001845     0.001917
   1947       13   0.002032     0.002254     0.002143
   1947       14   0.002966     0.002153     0.002558
   1947       15   0.003807     0.002382     0.003094
   1947       16   0.003976     0.003410     0.003696
   1947       17   0.004763     0.004073     0.004427
   1947       18   0.004457     0.005688     0.005052
   1947       19   0.006808     0.007878     0.007325
   1947       20   0.007150     0.007564     0.007351
   1947       21   0.006771     0.009298     0.007980
   1947       22   0.006091     0.008970     0.007446
   1947       23   0.006906     0.008479     0.007629
   1947       24   0.007826     0.008072     0.007936
   1947       25   0.008615     0.009441     0.008984
   1947       26   0.008654     0.008652     0.008653
   1947       27   0.006546     0.008782     0.007569
   1947       28   0.006013     0.009434     0.007588
   1947       29   0.008166     0.009101     0.008592
   1947       30   0.008342     0.007460     0.007942
   1947       31   0.006341     0.007353     0.006806
   1947       32   0.007456     0.008701     0.008033
   1947       33   0.006526     0.009456     0.007879
   1947       34   0.007261     0.006863     0.007077
   1947       35   0.008186     0.008439     0.008303
   1947       36   0.007865     0.007177     0.007538
   1947       37   0.007850     0.007461     0.007663
   1947       38   0.007406     0.006513     0.006977
   1947       39   0.007483     0.006915     0.007210
   1947       40   0.007511     0.008086     0.007794
   1947       41   0.008319     0.008165     0.008243
   1947       42   0.007203     0.009392     0.008274
   1947       43   0.009699     0.009231     0.009466
   1947       44   0.008485     0.009517     0.008999
   1947       45   0.006961     0.011603     0.009285
   1947       46   0.008308     0.011234     0.009775
   1947       47   0.009601     0.012622     0.011116
   1947       48   0.008989     0.011656     0.010332
   1947       49   0.010559     0.012881     0.011721
   1947       50   0.011865     0.012902     0.012381
   1947       51   0.012258     0.015268     0.013747
   1947       52   0.011685     0.015776     0.013718
   1947       53   0.015975     0.019437     0.017722
   1947       54   0.013295     0.018728     0.016026
   1947       55   0.015925     0.021922     0.018896
   1947       56   0.015602     0.021654     0.018572
   1947       57   0.017033     0.028401     0.022597
   1947       58   0.018332     0.026415     0.022293
