21.Gifu.ken, Death Rates (period 5x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947     0      0.089604     0.100247     0.095050
   1947     1-4    0.017783     0.016482     0.017123
   1947     5-9    0.003080     0.003664     0.003376
   1947    10-14   0.001834     0.001625     0.001728
   1947    15-19   0.005231     0.004156     0.004690
   1947    20-24   0.009134     0.010015     0.009557
   1947    25-29   0.007992     0.007932     0.007966
   1947    30-34   0.007721     0.008312     0.007994
   1947    35-39   0.007432     0.007843     0.007628
   1947    40-44   0.008207     0.009630     0.008921
   1947    45-49   0.009043     0.012396     0.010763
   1947    50-54   0.013349     0.014921     0.014156
   1947    55-59   0.017661     0.022361     0.020037
   1947    60-64   0.027974     0.033906     0.030895
   1947    65-69   0.041807     0.058327     0.049674
   1947    70-74   0.065689     0.088194     0.076017
   1947    75-79   0.100726     0.124107     0.110771
   1947    80-84   0.166380     0.199408     0.179249
   1947    85-89   0.225081     0.268953     0.240065
   1947    90-94   0.409411     0.464501     0.427912
   1947    95-99   0.688179     0.699708     0.691434
   1947   100-104  0.361882     2.590517     1.379016
   1947   105-109  0.000000            .     0.000000
   1947   110+            .     0.000000     0.000000
   1948     0      0.063760     0.077608     0.070811
   1948     1-4    0.012860     0.011885     0.012363
   1948     5-9    0.002502     0.002603     0.002553
   1948    10-14   0.001431     0.001627     0.001531
   1948    15-19   0.004466     0.003422     0.003940
   1948    20-24   0.008159     0.007935     0.008049
   1948    25-29   0.007627     0.008098     0.007834
   1948    30-34   0.005857     0.007550     0.006635
   1948    35-39   0.006470     0.007139     0.006785
   1948    40-44   0.007014     0.007970     0.007490
   1948    45-49   0.008561     0.010693     0.009650
   1948    50-54   0.011492     0.012794     0.012161
   1948    55-59   0.014372     0.017226     0.015815
   1948    60-64   0.021993     0.030089     0.026018
   1948    65-69   0.033717     0.041760     0.037532
   1948    70-74   0.052160     0.063091     0.057182
   1948    75-79   0.074408     0.097805     0.084539
   1948    80-84   0.133989     0.149394     0.140009
   1948    85-89   0.222275     0.180625     0.207942
   1948    90-94   0.333295     0.495517     0.386508
   1948    95-99   0.273598     0.211827     0.255007
   1948   100-104  0.683371     0.000000     0.583658
   1948   105-109  0.000000            .     0.000000
   1948   110+     0.000000     0.000000     0.000000
   1949     0      0.070186     0.076346     0.073321
   1949     1-4    0.012355     0.012520     0.012439
   1949     5-9    0.002767     0.002895     0.002832
   1949    10-14   0.001364     0.001269     0.001316
   1949    15-19   0.003523     0.003299     0.003410
   1949    20-24   0.006415     0.005880     0.006148
   1949    25-29   0.007186     0.006733     0.006985
   1949    30-34   0.005394     0.006259     0.005789
   1949    35-39   0.006091     0.005980     0.006039
   1949    40-44   0.006038     0.007318     0.006669
   1949    45-49   0.007888     0.009092     0.008500
   1949    50-54   0.010149     0.011041     0.010608
   1949    55-59   0.014954     0.017517     0.016254
   1949    60-64   0.022025     0.026387     0.024204
   1949    65-69   0.032687     0.041733     0.036983
