10.Gumma.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.072702     0.084429     0.078701
   1947        1   0.031266     0.034786     0.033065
   1947        2   0.018193     0.019498     0.018856
   1947        3   0.013430     0.013413     0.013421
   1947        4   0.008076     0.009475     0.008783
   1947        5   0.005468     0.005538     0.005503
   1947        6   0.003841     0.004240     0.004043
   1947        7   0.003107     0.004170     0.003645
   1947        8   0.002337     0.002930     0.002637
   1947        9   0.001858     0.001833     0.001845
   1947       10   0.001814     0.001936     0.001876
   1947       11   0.002025     0.001814     0.001918
   1947       12   0.001141     0.001835     0.001487
   1947       13   0.002662     0.001380     0.002026
   1947       14   0.002486     0.001741     0.002117
   1947       15   0.003213     0.002123     0.002681
   1947       16   0.003187     0.003179     0.003183
   1947       17   0.004274     0.003524     0.003917
   1947       18   0.004871     0.004351     0.004625
   1947       19   0.005051     0.005979     0.005493
   1947       20   0.006959     0.006448     0.006713
   1947       21   0.006762     0.006880     0.006819
   1947       22   0.006786     0.008339     0.007526
   1947       23   0.007218     0.009711     0.008366
   1947       24   0.007011     0.007387     0.007174
   1947       25   0.008425     0.007272     0.007951
   1947       26   0.007579     0.009163     0.008236
   1947       27   0.008124     0.006923     0.007604
   1947       28   0.008158     0.007567     0.007894
   1947       29   0.008427     0.006439     0.007533
   1947       30   0.007820     0.006496     0.007223
   1947       31   0.009012     0.007681     0.008407
   1947       32   0.007934     0.008662     0.008266
   1947       33   0.005783     0.007513     0.006582
   1947       34   0.007233     0.006014     0.006665
   1947       35   0.008421     0.006909     0.007711
   1947       36   0.006275     0.006889     0.006567
   1947       37   0.008441     0.008536     0.008487
   1947       38   0.008056     0.007640     0.007853
   1947       39   0.007682     0.008890     0.008279
   1947       40   0.007511     0.008651     0.008085
   1947       41   0.009016     0.008945     0.008981
   1947       42   0.008238     0.008506     0.008370
   1947       43   0.005975     0.009638     0.007820
   1947       44   0.008081     0.009575     0.008837
   1947       45   0.008833     0.009243     0.009040
   1947       46   0.008703     0.010982     0.009856
   1947       47   0.009210     0.011560     0.010404
   1947       48   0.009301     0.012578     0.010965
   1947       49   0.009688     0.014449     0.012099
   1947       50   0.012296     0.016130     0.014240
   1947       51   0.012788     0.015169     0.013988
   1947       52   0.012907     0.016348     0.014634
   1947       53   0.010032     0.017683     0.013862
   1947       54   0.014704     0.021077     0.017880
   1947       55   0.015266     0.021923     0.018601
   1947       56   0.018070     0.023059     0.020570
   1947       57   0.019882     0.024737     0.022266
   1947       58   0.022180     0.025786     0.023960
   1947       59   0.024227     0.031795     0.027943
   1947       60   0.025486     0.036840     0.030926
   1947       61   0.022030     0.034630     0.028000
   1947       62   0.024195     0.046116     0.034375
   1947       63   0.032424     0.044764     0.038083
   1947       64   0.030228     0.043458     0.036328
   1947       65   0.034106     0.057021     0.044585
   1947       66   0.037395     0.052363     0.044125
   1947       67   0.043912     0.061724     0.051796
   1947       68   0.050010     0.078562     0.062438
   1947       69   0.051181     0.084463     0.065556
   1947       70   0.062556     0.085155     0.072261
   1947       71   0.076090     0.094849     0.084057
   1947       72   0.079439     0.090535     0.084161
   1947       73   0.074977     0.110941     0.089980
   1947       74   0.081762     0.105954     0.091493
   1947       75   0.105827     0.134737     0.117352
   1947       76   0.095375     0.128640     0.108497
   1947       77   0.106530     0.144201     0.120832
   1947       78   0.134464     0.162121     0.144721
   1947       79   0.133101     0.154621     0.141068
   1947       80   0.171825     0.204564     0.183382
   1947       81   0.183151     0.227238     0.198600
   1947       82   0.193387     0.239535     0.209041
   1947       83   0.247263     0.284585     0.259837
   1947       84   0.198408     0.224945     0.207239
   1947       85   0.257575     0.281153     0.265623
   1947       86   0.302099     0.319719     0.308128
   1947       87   0.329988     0.445200     0.366054
   1947       88   0.270905     0.371838     0.300325
   1947       89   0.373057     0.367097     0.371189
   1947       90   0.445209     0.376553     0.427518
   1947       91   0.485579     0.536273     0.499730
   1947       92   0.512183     0.461775     0.499616
   1947       93   0.358583     0.359389     0.358812
   1947       94   0.771036     0.312826     0.651838
   1947       95   0.203735     0.362757     0.260926
   1947       96   0.408719     0.000000     0.221648
   1947       97   0.000000     0.000000     0.000000
   1947       98   0.000000     0.000000     0.000000
   1947       99   0.000000     0.000000     0.000000
   1947      100   0.000000            .     0.000000
   1947      101   0.000000            .     0.000000
   1947      102   0.000000            .     0.000000
   1947      103   0.000000            .     0.000000
   1947      104   0.000000            .     0.000000
   1947      105   0.000000            .     0.000000
   1947      106   0.000000            .     0.000000
   1947      107   0.000000            .     0.000000
   1947      108          .            .            .
   1947      109          .            .            .
   1947      110+         .            .            .
   1948        0   0.053456     0.060259     0.056931
   1948        1   0.015293     0.018796     0.017079
   1948        2   0.009329     0.012193     0.010792
   1948        3   0.006942     0.007530     0.007241
   1948        4   0.005486     0.005416     0.005451
   1948        5   0.003957     0.003476     0.003714
   1948        6   0.002364     0.002905     0.002638
   1948        7   0.001722     0.002178     0.001953
   1948        8   0.001666     0.001739     0.001703
   1948        9   0.001260     0.001821     0.001544
   1948       10   0.000620     0.001281     0.000952
   1948       11   0.001100     0.001348     0.001225
   1948       12   0.001858     0.001267     0.001559
   1948       13   0.001428     0.001552     0.001490
   1948       14   0.001540     0.001444     0.001492
   1948       15   0.001719     0.001806     0.001762
   1948       16   0.002444     0.002253     0.002351
   1948       17   0.003012     0.002858     0.002938
   1948       18   0.003025     0.003886     0.003435
   1948       19   0.005276     0.003729     0.004544
   1948       20   0.005478     0.005207     0.005349
   1948       21   0.005622     0.005605     0.005614
   1948       22   0.006871     0.006931     0.006900
   1948       23   0.008020     0.007678     0.007857
   1948       24   0.008272     0.006350     0.007387
   1948       25   0.006178     0.006500     0.006318
   1948       26   0.008566     0.006609     0.007761
   1948       27   0.005789     0.005919     0.005843
   1948       28   0.007826     0.006740     0.007355
   1948       29   0.006672     0.005241     0.006031
   1948       30   0.005685     0.005890     0.005777
   1948       31   0.006145     0.007252     0.006645
   1948       32   0.006831     0.007744     0.007246
   1948       33   0.005961     0.006320     0.006124
   1948       34   0.006009     0.008927     0.007357
   1948       35   0.007476     0.005832     0.006710
   1948       36   0.007265     0.006963     0.007123
   1948       37   0.005892     0.006717     0.006285
   1948       38   0.006668     0.005576     0.006143
   1948       39   0.007124     0.006899     0.007014
   1948       40   0.007165     0.006752     0.006961
   1948       41   0.008076     0.008344     0.008211
   1948       42   0.008303     0.007567     0.007936
   1948       43   0.009308     0.006891     0.008119
   1948       44   0.008062     0.009736     0.008904
   1948       45   0.006762     0.009064     0.007926
   1948       46   0.010681     0.009461     0.010064
   1948       47   0.009183     0.011511     0.010359
   1948       48   0.009143     0.010851     0.010010
   1948       49   0.009228     0.011007     0.010130
   1948       50   0.011156     0.011515     0.011337
   1948       51   0.010013     0.013861     0.011962
   1948       52   0.011069     0.014928     0.013010
   1948       53   0.007540     0.016467     0.012003
   1948       54   0.012851     0.016198     0.014520
   1948       55   0.010231     0.016407     0.013299
   1948       56   0.015299     0.020012     0.017656
   1948       57   0.017373     0.019783     0.018578
   1948       58   0.017272     0.024962     0.021040
   1948       59   0.017115     0.030640     0.023771
   1948       60   0.023716     0.029221     0.026403
   1948       61   0.022102     0.034960     0.028231
   1948       62   0.024423     0.037866     0.030744
   1948       63   0.027002     0.037070     0.031651
   1948       64   0.033893     0.047102     0.039907
   1948       65   0.034565     0.053541     0.043222
   1948       66   0.038239     0.054305     0.045510
   1948       67   0.046462     0.057323     0.051311
   1948       68   0.045334     0.058914     0.051281
   1948       69   0.050599     0.064558     0.056600
   1948       70   0.050945     0.074902     0.061170
   1948       71   0.064777     0.085546     0.073596
   1948       72   0.059364     0.088528     0.071595
   1948       73   0.074152     0.100490     0.085190
   1948       74   0.085973     0.093378     0.089016
   1948       75   0.089871     0.110281     0.097991
   1948       76   0.099907     0.117571     0.106877
   1948       77   0.124386     0.128292     0.125896
   1948       78   0.129709     0.161764     0.141632
   1948       79   0.111732     0.123743     0.116178
   1948       80   0.135229     0.170078     0.147608
   1948       81   0.132279     0.219053     0.161971
   1948       82   0.179502     0.232209     0.197238
   1948       83   0.168514     0.236507     0.190939
   1948       84   0.220460     0.221438     0.220779
   1948       85   0.241126     0.228760     0.237024
   1948       86   0.268343     0.240556     0.259165
   1948       87   0.297580     0.304561     0.299956
   1948       88   0.281963     0.381272     0.311906
   1948       89   0.335456     0.116219     0.269261
   1948       90   0.233564     0.228968     0.232128
   1948       91   0.366350     0.371115     0.367803
   1948       92   0.427465     0.132949     0.343031
   1948       93   0.409165     0.193673     0.345158
   1948       94   0.245952     0.928314     0.440012
   1948       95   0.337648     0.000000     0.251467
   1948       96   0.267261     0.956938     0.514433
   1948       97   0.000000     0.000000     0.000000
   1948       98   0.000000     0.000000     0.000000
   1948       99   0.000000     3.000000     0.918836
   1948      100   0.000000            .     0.000000
   1948      101   0.000000            .     0.000000
   1948      102   4.137931            .     4.137931
   1948      103   0.000000            .     0.000000
   1948      104   0.000000            .     0.000000
   1948      105   0.000000            .     0.000000
   1948      106   0.000000            .     0.000000
   1948      107   0.000000            .     0.000000
   1948      108   0.000000            .     0.000000
   1948      109          .            .            .
   1948      110+         .            .            .
   1949        0   0.054008     0.066503     0.060399
   1949        1   0.017613     0.019317     0.018481
   1949        2   0.014848     0.015468     0.015164
   1949        3   0.008578     0.010597     0.009608
   1949        4   0.007394     0.005989     0.006681
   1949        5   0.003963     0.004528     0.004249
   1949        6   0.002644     0.003333     0.002992
   1949        7   0.002116     0.002020     0.002067
   1949        8   0.001824     0.002179     0.002004
   1949        9   0.001112     0.001467     0.001292
   1949       10   0.000960     0.001410     0.001187
   1949       11   0.001352     0.001058     0.001204
   1949       12   0.001266     0.000970     0.001116
   1949       13   0.001183     0.001377     0.001281
   1949       14   0.001258     0.001264     0.001261
   1949       15   0.001601     0.001504     0.001553
   1949       16   0.001958     0.001505     0.001733
   1949       17   0.002389     0.002756     0.002568
   1949       18   0.003509     0.003596     0.003551
   1949       19   0.003542     0.004452     0.003975
   1949       20   0.003940     0.004962     0.004424
   1949       21   0.005634     0.004563     0.005123
   1949       22   0.005512     0.005184     0.005354
   1949       23   0.004863     0.005827     0.005328
   1949       24   0.005828     0.005580     0.005710
   1949       25   0.006144     0.007474     0.006756
   1949       26   0.005164     0.006855     0.005897
   1949       27   0.005994     0.007122     0.006458
   1949       28   0.005567     0.005111     0.005378
   1949       29   0.005812     0.005015     0.005466
   1949       30   0.006413     0.005618     0.006056
   1949       31   0.006006     0.006867     0.006393
   1949       32   0.005696     0.005175     0.005461
   1949       33   0.006276     0.005066     0.005726
   1949       34   0.005316     0.006581     0.005892
   1949       35   0.007017     0.005223     0.006188
   1949       36   0.005615     0.004822     0.005245
   1949       37   0.006697     0.005160     0.005976
   1949       38   0.005607     0.007678     0.006593
   1949       39   0.006381     0.005019     0.005726
   1949       40   0.006724     0.007164     0.006939
   1949       41   0.006406     0.005969     0.006190
   1949       42   0.007097     0.006101     0.006595
   1949       43   0.006371     0.007336     0.006852
   1949       44   0.006205     0.007198     0.006694
   1949       45   0.007593     0.006870     0.007229
   1949       46   0.006559     0.009373     0.007982
   1949       47   0.009609     0.008908     0.009255
   1949       48   0.008856     0.010009     0.009439
   1949       49   0.008776     0.010659     0.009731
   1949       50   0.009764     0.010970     0.010375
   1949       51   0.010498     0.013895     0.012215
   1949       52   0.011242     0.014520     0.012898
   1949       53   0.013721     0.016642     0.015187
   1949       54   0.012812     0.019165     0.015979
   1949       55   0.013730     0.017730     0.015721
   1949       56   0.015633     0.016298     0.015962
   1949       57   0.015517     0.022373     0.018938
   1949       58   0.015405     0.022459     0.018920
   1949       59   0.018502     0.023155     0.020774
   1949       60   0.019726     0.025582     0.022595
   1949       61   0.019594     0.035627     0.027389
   1949       62   0.027369     0.034711     0.030846
   1949       63   0.025270     0.038084     0.031262
   1949       64   0.031991     0.039078     0.035248
   1949       65   0.035521     0.046549     0.040511
   1949       66   0.033739     0.047223     0.039834
   1949       67   0.036489     0.064225     0.048939
   1949       68   0.034954     0.071008     0.050857
   1949       69   0.041578     0.066573     0.052361
   1949       70   0.048903     0.073451     0.059320
   1949       71   0.058277     0.078153     0.066661
   1949       72   0.068099     0.087392     0.076187
   1949       73   0.065376     0.093605     0.077069
   1949       74   0.067294     0.111433     0.085445
   1949       75   0.084620     0.112245     0.095792
   1949       76   0.086746     0.111902     0.096628
   1949       77   0.115701     0.115164     0.115491
   1949       78   0.118773     0.115642     0.117575
   1949       79   0.126555     0.184721     0.147868
   1949       80   0.126136     0.173241     0.142991
   1949       81   0.153078     0.201712     0.169782
   1949       82   0.175534     0.150271     0.167190
   1949       83   0.167864     0.198296     0.178018
   1949       84   0.193276     0.226206     0.204025
   1949       85   0.223380     0.296862     0.246885
   1949       86   0.165042     0.124113     0.151863
   1949       87   0.324855     0.286062     0.311949
   1949       88   0.232309     0.454838     0.305131
   1949       89   0.350068     0.177936     0.296883
   1949       90   0.286712     0.421607     0.326509
   1949       91   0.243902     0.239776     0.242650
   1949       92   0.160142     0.236827     0.183970
   1949       93   0.432225     0.683177     0.506671
   1949       94   0.119237     0.000000     0.089153
   1949       95   0.326176     0.000000     0.229973
   1949       96   0.000000     0.835655     0.189155
   1949       97   0.650407     0.702576     0.666914
   1949       98   0.691244     0.000000     0.398142
   1949       99   1.145038     0.000000     1.065719
   1949      100   0.000000            .     0.000000
   1949      101   0.000000            .     0.000000
   1949      102   0.000000            .     0.000000
   1949      103   0.000000            .     0.000000
   1949      104   0.000000            .     0.000000
   1949      105   0.000000            .     0.000000
   1949      106   0.000000            .     0.000000
   1949      107   0.000000            .     0.000000
   1949      108   0.000000            .     0.000000
   1949      109   0.000000            .     0.000000
   1949      110+         .            .            .
   1950        0   0.048133     0.060237     0.054321
   1950        1   0.014104     0.014543     0.014328
   1950        2   0.011642     0.014539     0.013118
   1950        3   0.009956     0.010796     0.010383
   1950        4   0.006783     0.005524     0.006140
   1950        5   0.003923     0.004205     0.004066
   1950        6   0.002431     0.002477     0.002454
   1950        7   0.002194     0.001798     0.001994
   1950        8   0.001821     0.001683     0.001751
   1950        9   0.001221     0.001094     0.001156
   1950       10   0.001339     0.001364     0.001352
   1950       11   0.001203     0.001597     0.001402
   1950       12   0.001017     0.001625     0.001323
   1950       13   0.001105     0.000870     0.000986
   1950       14   0.001188     0.001001     0.001094
   1950       15   0.001666     0.001164     0.001416
   1950       16   0.001549     0.001642     0.001595
   1950       17   0.002270     0.002195     0.002233
   1950       18   0.003130     0.002976     0.003055
   1950       19   0.003494     0.003526     0.003509
   1950       20   0.002747     0.003021     0.002877
   1950       21   0.003208     0.004003     0.003584
   1950       22   0.004683     0.003658     0.004193
   1950       23   0.004457     0.004731     0.004589
   1950       24   0.004513     0.005240     0.004864
   1950       25   0.004894     0.005755     0.005304
   1950       26   0.004952     0.005474     0.005192
   1950       27   0.005457     0.004395     0.004997
   1950       28   0.004343     0.004516     0.004414
   1950       29   0.005302     0.004557     0.004993
   1950       30   0.004597     0.004587     0.004593
   1950       31   0.004894     0.004235     0.004598
   1950       32   0.004005     0.004428     0.004195
   1950       33   0.005356     0.004883     0.005143
   1950       34   0.004651     0.005892     0.005215
   1950       35   0.005554     0.006665     0.006060
   1950       36   0.005102     0.005394     0.005237
   1950       37   0.004140     0.004416     0.004269
   1950       38   0.004596     0.005678     0.005103
   1950       39   0.006415     0.005847     0.006144
   1950       40   0.006110     0.006017     0.006065
   1950       41   0.006002     0.006194     0.006096
   1950       42   0.006810     0.005684     0.006253
   1950       43   0.006780     0.006811     0.006796
   1950       44   0.007652     0.006535     0.007095
   1950       45   0.007538     0.007821     0.007677
   1950       46   0.007150     0.009288     0.008225
   1950       47   0.007764     0.009376     0.008579
   1950       48   0.008150     0.007494     0.007819
   1950       49   0.007194     0.010822     0.009026
   1950       50   0.010054     0.009673     0.009861
   1950       51   0.010650     0.009507     0.010071
   1950       52   0.012343     0.013210     0.012781
   1950       53   0.013055     0.012835     0.012944
   1950       54   0.012925     0.016918     0.014926
   1950       55   0.010524     0.012990     0.011751
   1950       56   0.015421     0.016757     0.016086
   1950       57   0.017044     0.022165     0.019576
   1950       58   0.014570     0.023572     0.019044
