10.Gumma.ken, Death Rates (period 5x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947     0      0.072702     0.084429     0.078701
   1947     1-4    0.017249     0.018825     0.018049
   1947     5-9    0.003395     0.003810     0.003605
   1947    10-14   0.002016     0.001748     0.001882
   1947    15-19   0.004091     0.003764     0.003935
   1947    20-24   0.006942     0.007687     0.007291
   1947    25-29   0.008135     0.007470     0.007848
   1947    30-34   0.007558     0.007274     0.007428
   1947    35-39   0.007777     0.007769     0.007773
   1947    40-44   0.007761     0.009071     0.008417
   1947    45-49   0.009126     0.011655     0.010408
   1947    50-54   0.012537     0.017175     0.014868
   1947    55-59   0.019910     0.025362     0.022612
   1947    60-64   0.026852     0.040961     0.033451
   1947    65-69   0.042922     0.065711     0.053042
   1947    70-74   0.074036     0.095811     0.083213
   1947    75-79   0.113230     0.142768     0.124599
   1947    80-84   0.193661     0.231391     0.206674
   1947    85-89   0.294562     0.338211     0.308858
   1947    90-94   0.483731     0.427942     0.468907
   1947    95-99   0.215517     0.169875     0.197802
   1947   100-104  0.000000            .     0.000000
   1947   105-109  0.000000            .     0.000000
   1947   110+            .            .            .
   1948     0      0.053456     0.060259     0.056931
   1948     1-4    0.009500     0.011299     0.010415
   1948     5-9    0.002234     0.002457     0.002346
   1948    10-14   0.001306     0.001376     0.001341
   1948    15-19   0.003062     0.002856     0.002962
   1948    20-24   0.006793     0.006323     0.006569
   1948    25-29   0.006998     0.006211     0.006661
   1948    30-34   0.006125     0.007237     0.006630
   1948    35-39   0.006894     0.006399     0.006658
   1948    40-44   0.008161     0.007847     0.008005
   1948    45-49   0.008979     0.010329     0.009662
   1948    50-54   0.010513     0.014479     0.012507
   1948    55-59   0.015426     0.022328     0.018848
   1948    60-64   0.026094     0.036734     0.031109
   1948    65-69   0.042741     0.057378     0.049258
   1948    70-74   0.065163     0.087172     0.074431
   1948    75-79   0.107936     0.124747     0.114442
   1948    80-84   0.158617     0.209069     0.175830
   1948    85-89   0.272958     0.255832     0.267367
   1948    90-94   0.323002     0.294288     0.314330
   1948    95-99   0.218341     0.493151     0.302674
   1948   100-104  0.978793            .     0.978793
   1948   105-109  0.000000            .     0.000000
   1948   110+            .            .            .
   1949     0      0.054008     0.066503     0.060399
   1949     1-4    0.012743     0.013559     0.013159
   1949     5-9    0.002348     0.002721     0.002537
   1949    10-14   0.001207     0.001212     0.001209
   1949    15-19   0.002581     0.002698     0.002638
   1949    20-24   0.005133     0.005211     0.005170
   1949    25-29   0.005737     0.006386     0.006017
   1949    30-34   0.005940     0.005864     0.005905
   1949    35-39   0.006272     0.005576     0.005944
   1949    40-44   0.006562     0.006740     0.006650
   1949    45-49   0.008254     0.009124     0.008694
   1949    50-54   0.011534     0.014866     0.013213
   1949    55-59   0.015752     0.020323     0.018018
   1949    60-64   0.024427     0.034039     0.029008
   1949    65-69   0.036357     0.058462     0.046208
   1949    70-74   0.060590     0.086501     0.071446
   1949    75-79   0.101555     0.121730     0.109446
   1949    80-84   0.157020     0.186233     0.166999
   1949    85-89   0.240069     0.263894     0.247758
   1949    90-94   0.260771     0.349674     0.287181
   1949    95-99   0.384205     0.316706     0.364769
   1949   100-104  0.000000            .     0.000000
   1949   105-109  0.000000            .     0.000000
   1949   110+            .            .            .
   1950     0      0.048133     0.060237     0.054321
   1950     1-4    0.010940     0.011831     0.011395
   1950     5-9    0.002273     0.002200     0.002236
   1950    10-14   0.001170     0.001285     0.001228
   1950    15-19   0.002407     0.002260     0.002335
   1950    20-24   0.003893     0.004110     0.003997
   1950    25-29   0.004991     0.005019     0.005003
   1950    30-34   0.004699     0.004807     0.004747
   1950    35-39   0.005152     0.005597     0.005359
   1950    40-44   0.006628     0.006231     0.006433
   1950    45-49   0.007565     0.008947     0.008259
   1950    50-54   0.011745     0.012273     0.012011
   1950    55-59   0.014963     0.019781     0.017355
   1950    60-64   0.023078     0.031319     0.027032
   1950    65-69   0.039924     0.053386     0.045942
   1950    70-74   0.065482     0.085035     0.073654
   1950    75-79   0.093243     0.128958     0.107259
   1950    80-84   0.177546     0.192333     0.182633
   1950    85-89   0.270647     0.341630     0.293174
   1950    90-94   0.418989     0.394322     0.411632
   1950    95-99   0.110314     0.762389     0.256666
   1950   100-104  0.000000     0.000000     0.000000
   1950   105-109  0.000000            .     0.000000
   1950   110+     0.000000            .     0.000000
   1951     0      0.046833     0.053060     0.050003
   1951     1-4    0.008833     0.009571     0.009209
   1951     5-9    0.002027     0.001952     0.001989
   1951    10-14   0.000673     0.001066     0.000870
   1951    15-19   0.001733     0.001593     0.001664
   1951    20-24   0.002902     0.003141     0.003016
   1951    25-29   0.003751     0.003548     0.003659
   1951    30-34   0.003888     0.003535     0.003733
   1951    35-39   0.004465     0.004880     0.004657
   1951    40-44   0.004768     0.005329     0.005042
   1951    45-49   0.007261     0.007326     0.007293
   1951    50-54   0.009163     0.012238     0.010717
   1951    55-59   0.014891     0.020990     0.017919
   1951    60-64   0.023970     0.030800     0.027275
   1951    65-69   0.037769     0.056689     0.046273
   1951    70-74   0.063962     0.091795     0.075589
   1951    75-79   0.103581     0.125444     0.112127
   1951    80-84   0.185991     0.203965     0.192202
   1951    85-89   0.277122     0.308006     0.286765
   1951    90-94   0.418222     0.500922     0.442578
   1951    95-99   0.341587     0.184162     0.308574
   1951   100-104  0.631579     0.000000     0.575342
   1951   105-109  0.960000            .     0.960000
   1951   110+     1.000000            .     1.000000
   1952     0      0.045280     0.047344     0.046329
   1952     1-4    0.006978     0.006671     0.006822
   1952     5-9    0.001694     0.002044     0.001872
   1952    10-14   0.000723     0.000863     0.000793
   1952    15-19   0.001266     0.001462     0.001362
   1952    20-24   0.002622     0.002468     0.002548
   1952    25-29   0.002741     0.003213     0.002964
   1952    30-34   0.003350     0.003874     0.003577
   1952    35-39   0.004134     0.004069     0.004104
   1952    40-44   0.004643     0.004390     0.004522
   1952    45-49   0.005951     0.007417     0.006685
   1952    50-54   0.008886     0.012593     0.010758
   1952    55-59   0.014220     0.019073     0.016632
   1952    60-64   0.022266     0.028878     0.025487
   1952    65-69   0.033409     0.051346     0.041518
   1952    70-74   0.057986     0.082975     0.068431
   1952    75-79   0.088500     0.118482     0.100221
   1952    80-84   0.156353     0.196985     0.170528
   1952    85-89   0.242907     0.320764     0.266875
   1952    90-94   0.324507     0.287563     0.313660
   1952    95-99   0.550312     0.480319     0.532351
   1952   100-104  0.000000     0.000000     0.000000
   1952   105-109  0.000000            .     0.000000
   1952   110+     0.000000            .     0.000000
   1953     0      0.040113     0.049177     0.044734
   1953     1-4    0.006415     0.005593     0.005997
   1953     5-9    0.001805     0.001695     0.001749
   1953    10-14   0.000703     0.000710     0.000707
   1953    15-19   0.001160     0.001425     0.001288
   1953    20-24   0.002034     0.002674     0.002341
   1953    25-29   0.002701     0.002642     0.002673
   1953    30-34   0.003042     0.003251     0.003132
   1953    35-39   0.003191     0.003314     0.003247
   1953    40-44   0.004426     0.005143     0.004768
   1953    45-49   0.006293     0.007457     0.006873
   1953    50-54   0.009186     0.010083     0.009639
   1953    55-59   0.013547     0.018267     0.015900
   1953    60-64   0.022856     0.028868     0.025786
   1953    65-69   0.034865     0.052143     0.042772
   1953    70-74   0.061582     0.089836     0.073405
   1953    75-79   0.095864     0.135091     0.111094
   1953    80-84   0.156825     0.203967     0.173270
   1953    85-89   0.266930     0.283870     0.272114
   1953    90-94   0.414447     0.329884     0.389833
   1953    95-99   0.385765     0.124289     0.295255
   1953   100-104  0.406855     0.000000     0.384507
   1953   105-109  0.600000            .     0.600000
   1953   110+     3.000000            .     3.000000
   1954     0      0.042435     0.046774     0.044650
   1954     1-4    0.005019     0.005331     0.005178
   1954     5-9    0.001551     0.001943     0.001751
   1954    10-14   0.000749     0.000761     0.000755
   1954    15-19   0.001173     0.001655     0.001404
   1954    20-24   0.002086     0.002537     0.002301
   1954    25-29   0.002441     0.003012     0.002719
   1954    30-34   0.002724     0.002708     0.002717
   1954    35-39   0.002849     0.003767     0.003264
   1954    40-44   0.004365     0.004423     0.004392
   1954    45-49   0.005873     0.007641     0.006750
   1954    50-54   0.008510     0.012873     0.010712
   1954    55-59   0.012003     0.018903     0.015450
   1954    60-64   0.018410     0.026770     0.022484
   1954    65-69   0.031529     0.046043     0.038266
   1954    70-74   0.053554     0.081304     0.065192
   1954    75-79   0.083343     0.115048     0.095558
   1954    80-84   0.140729     0.171878     0.151557
   1954    85-89   0.243136     0.252737     0.246124
   1954    90-94   0.289704     0.544694     0.357633
   1954    95-99   0.414938     0.704721     0.523115
   1954   100-104  0.775758     0.000000     0.719101
   1954   105-109  0.738462            .     0.738462
   1954   110+            .            .            .
   1955     0      0.034736     0.043239     0.039104
   1955     1-4    0.003864     0.003692     0.003777
