34.Hiroshima.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.075194     0.088737     0.082160
   1947        1   0.029978     0.030653     0.030323
   1947        2   0.014383     0.015553     0.014980
   1947        3   0.010879     0.009969     0.010417
   1947        4   0.006029     0.007232     0.006640
   1947        5   0.004200     0.004966     0.004591
   1947        6   0.003217     0.003355     0.003288
   1947        7   0.003051     0.003422     0.003240
   1947        8   0.002532     0.002638     0.002586
   1947        9   0.001573     0.002198     0.001890
   1947       10   0.001944     0.001637     0.001789
   1947       11   0.001666     0.001817     0.001742
   1947       12   0.002153     0.002057     0.002104
   1947       13   0.001909     0.002047     0.001979
   1947       14   0.002909     0.002260     0.002580
   1947       15   0.003570     0.003225     0.003397
   1947       16   0.004183     0.003839     0.004013
   1947       17   0.004940     0.005163     0.005048
   1947       18   0.006231     0.006415     0.006319
   1947       19   0.008470     0.008242     0.008361
   1947       20   0.008084     0.008820     0.008435
   1947       21   0.009034     0.010722     0.009837
   1947       22   0.009536     0.011327     0.010380
   1947       23   0.010430     0.010307     0.010373
   1947       24   0.010709     0.010433     0.010584
   1947       25   0.009466     0.009953     0.009685
   1947       26   0.009231     0.008465     0.008888
   1947       27   0.009350     0.009466     0.009402
   1947       28   0.008668     0.009566     0.009078
   1947       29   0.008127     0.008161     0.008143
   1947       30   0.009416     0.008742     0.009104
   1947       31   0.008359     0.007610     0.008010
   1947       32   0.007502     0.008379     0.007912
   1947       33   0.007012     0.010610     0.008698
   1947       34   0.007800     0.009500     0.008601
   1947       35   0.008123     0.008639     0.008366
   1947       36   0.007637     0.008696     0.008140
   1947       37   0.007852     0.010236     0.008979
   1947       38   0.007909     0.008904     0.008382
   1947       39   0.009348     0.008992     0.009177
   1947       40   0.009814     0.011053     0.010421
   1947       41   0.006906     0.009919     0.008383
   1947       42   0.009286     0.009702     0.009488
   1947       43   0.008547     0.010387     0.009454
   1947       44   0.007522     0.011164     0.009310
   1947       45   0.008675     0.013189     0.010917
   1947       46   0.010177     0.014981     0.012581
   1947       47   0.010747     0.011520     0.011137
   1947       48   0.009234     0.014875     0.012086
   1947       49   0.010543     0.013633     0.012096
   1947       50   0.008426     0.013559     0.011014
   1947       51   0.012542     0.016563     0.014567
   1947       52   0.010553     0.016524     0.013584
   1947       53   0.012820     0.015886     0.014375
   1947       54   0.014004     0.019198     0.016615
   1947       55   0.013042     0.020724     0.016877
   1947       56   0.014369     0.022638     0.018476
   1947       57   0.014550     0.025534     0.019945
   1947       58   0.018836     0.030415     0.024515
   1947       59   0.019797     0.028170     0.023888
   1947       60   0.020628     0.030497     0.025356
   1947       61   0.022513     0.033653     0.027800
   1947       62   0.027568     0.039163     0.033079
   1947       63   0.030669     0.045493     0.037692
   1947       64   0.027888     0.042972     0.034903
   1947       65   0.035630     0.053158     0.043708
   1947       66   0.033746     0.050241     0.041308
   1947       67   0.033824     0.056215     0.044011
   1947       68   0.044421     0.060075     0.051517
   1947       69   0.046776     0.063248     0.054155
   1947       70   0.045952     0.075153     0.058816
   1947       71   0.051448     0.074734     0.061630
   1947       72   0.058031     0.085390     0.069791
   1947       73   0.067916     0.081406     0.073632
   1947       74   0.070739     0.097662     0.082049
   1947       75   0.082741     0.106489     0.092717
   1947       76   0.080427     0.119253     0.096561
   1947       77   0.087109     0.112568     0.097246
   1947       78   0.100003     0.135086     0.113630
   1947       79   0.115831     0.130604     0.121467
   1947       80   0.137104     0.155382     0.144032
   1947       81   0.121878     0.182239     0.144175
   1947       82   0.155640     0.195257     0.170025
   1947       83   0.158328     0.230492     0.185030
   1947       84   0.181930     0.210680     0.191877
   1947       85   0.204855     0.201284     0.203676
   1947       86   0.225901     0.278610     0.243576
   1947       87   0.195371     0.319868     0.239285
   1947       88   0.241725     0.286327     0.256823
   1947       89   0.311366     0.306795     0.309920
   1947       90   0.289573     0.275546     0.285123
   1947       91   0.226337     0.287199     0.246996
   1947       92   0.389567     0.516488     0.424324
   1947       93   0.371908     0.114155     0.306139
   1947       94   0.333822     0.429430     0.358785
   1947       95   0.458866     0.628492     0.499293
   1947       96   0.564759     0.643777     0.585284
   1947       97   0.491602     0.000000     0.377834
   1947       98   1.050420     0.372208     0.805730
   1947       99   0.000000     0.535714     0.359497
