01.Hokkaido, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.084995     0.093164     0.089167
   1947        1   0.041237     0.041055     0.041144
   1947        2   0.016536     0.016552     0.016544
   1947        3   0.008633     0.008450     0.008540
   1947        4   0.005489     0.006638     0.006073
   1947        5   0.003695     0.004028     0.003863
   1947        6   0.003504     0.003645     0.003576
   1947        7   0.002622     0.002889     0.002757
   1947        8   0.001791     0.002238     0.002017
   1947        9   0.001269     0.002007     0.001642
   1947       10   0.001653     0.001946     0.001801
   1947       11   0.001794     0.001916     0.001856
   1947       12   0.001601     0.001775     0.001689
   1947       13   0.002078     0.002091     0.002085
   1947       14   0.002317     0.002440     0.002379
   1947       15   0.003050     0.002491     0.002765
   1947       16   0.003581     0.003403     0.003490
   1947       17   0.004651     0.003821     0.004224
   1947       18   0.005014     0.005424     0.005224
   1947       19   0.005242     0.005343     0.005294
   1947       20   0.006884     0.006324     0.006596
   1947       21   0.006207     0.007415     0.006823
   1947       22   0.006980     0.007039     0.007010
   1947       23   0.006934     0.006175     0.006565
   1947       24   0.007704     0.007580     0.007647
   1947       25   0.007254     0.008308     0.007740
   1947       26   0.006918     0.007810     0.007330
   1947       27   0.006805     0.007542     0.007152
   1947       28   0.006934     0.008307     0.007591
   1947       29   0.007159     0.007872     0.007502
   1947       30   0.006514     0.007696     0.007091
   1947       31   0.007040     0.008640     0.007834
   1947       32   0.007404     0.008059     0.007732
   1947       33   0.006176     0.008501     0.007343
   1947       34   0.006643     0.008424     0.007531
   1947       35   0.006525     0.007129     0.006827
   1947       36   0.007291     0.007773     0.007536
   1947       37   0.007247     0.008211     0.007742
   1947       38   0.006224     0.007991     0.007136
   1947       39   0.007679     0.008567     0.008137
   1947       40   0.006388     0.009567     0.008069
   1947       41   0.008066     0.009732     0.008954
   1947       42   0.008580     0.010593     0.009636
   1947       43   0.008308     0.009738     0.009067
   1947       44   0.006630     0.010062     0.008441
   1947       45   0.007981     0.010267     0.009188
