28.Hyogo.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.079056     0.093523     0.086474
   1947        1   0.036322     0.036262     0.036291
   1947        2   0.016044     0.015134     0.015582
   1947        3   0.011708     0.011996     0.011854
   1947        4   0.007427     0.006464     0.006940
   1947        5   0.004911     0.005224     0.005069
   1947        6   0.003805     0.003510     0.003655
   1947        7   0.003016     0.003395     0.003209
   1947        8   0.002129     0.002662     0.002400
   1947        9   0.002386     0.002727     0.002558
   1947       10   0.002237     0.001670     0.001950
   1947       11   0.001547     0.001797     0.001673
   1947       12   0.002084     0.001920     0.002003
   1947       13   0.002085     0.001736     0.001914
   1947       14   0.002459     0.002243     0.002353
   1947       15   0.003918     0.002963     0.003448
   1947       16   0.003379     0.003525     0.003451
   1947       17   0.005137     0.004840     0.004990
   1947       18   0.006008     0.005512     0.005760
   1947       19   0.006981     0.007539     0.007262
   1947       20   0.008511     0.008295     0.008402
   1947       21   0.007585     0.009959     0.008762
   1947       22   0.008556     0.008425     0.008492
   1947       23   0.008718     0.008614     0.008669
   1947       24   0.008483     0.009037     0.008730
   1947       25   0.006970     0.010057     0.008306
   1947       26   0.007500     0.009695     0.008449
   1947       27   0.006271     0.009213     0.007565
   1947       28   0.007016     0.007487     0.007226
   1947       29   0.007602     0.008257     0.007896
   1947       30   0.006763     0.008448     0.007530
   1947       31   0.007084     0.009572     0.008239
   1947       32   0.006582     0.009263     0.007842
   1947       33   0.006635     0.008029     0.007298
   1947       34   0.006042     0.009249     0.007580
   1947       35   0.006707     0.008238     0.007443
   1947       36   0.006807     0.008373     0.007563
   1947       37   0.006158     0.008777     0.007419
   1947       38   0.007113     0.009040     0.008048
   1947       39   0.007270     0.009477     0.008356
   1947       40   0.008490     0.009096     0.008797
   1947       41   0.008195     0.011305     0.009775
   1947       42   0.007469     0.010314     0.008899
   1947       43   0.009039     0.010906     0.009991
   1947       44   0.007946     0.011746     0.009879
   1947       45   0.009186     0.010838     0.010031
   1947       46   0.007925     0.011357     0.009678
   1947       47   0.009119     0.014420     0.011839
   1947       48   0.008869     0.013273     0.011144
   1947       49   0.009959     0.015227     0.012661
   1947       50   0.010629     0.016160     0.013474
   1947       51   0.013074     0.016557     0.014865
   1947       52   0.011906     0.019788     0.015963
   1947       53   0.014014     0.020040     0.017105
   1947       54   0.013233     0.021752     0.017535
   1947       55   0.015593     0.022521     0.019077
   1947       56   0.015941     0.026007     0.020977
   1947       57   0.015998     0.024551     0.020217
   1947       58   0.018443     0.031731     0.025029
   1947       59   0.020120     0.031829     0.025932
   1947       60   0.023968     0.036857     0.030287
   1947       61   0.024045     0.037391     0.030485
   1947       62   0.027817     0.039931     0.033533
   1947       63   0.028025     0.042121     0.034578
   1947       64   0.029022     0.048121     0.037824
   1947       65   0.032675     0.049107     0.040226
   1947       66   0.038818     0.057532     0.047353
   1947       67   0.039226     0.065342     0.051035
   1947       68   0.045781     0.071137     0.057153
   1947       69   0.051647     0.074375     0.061481
   1947       70   0.055232     0.081145     0.066178
   1947       71   0.056504     0.087637     0.069643
   1947       72   0.062088     0.099836     0.077746
   1947       73   0.075532     0.101279     0.085926
   1947       74   0.074654     0.113822     0.090015
   1947       75   0.083878     0.132128     0.102528
   1947       76   0.091908     0.116803     0.101364
   1947       77   0.101333     0.160460     0.122845
   1947       78   0.102283     0.170462     0.126255
   1947       79   0.137316     0.172503     0.149541
   1947       80   0.163186     0.166277     0.164220
   1947       81   0.149249     0.201206     0.166211
   1947       82   0.177096     0.226985     0.193122
   1947       83   0.179545     0.260753     0.205320
   1947       84   0.195127     0.256529     0.214547
   1947       85   0.224231     0.271314     0.238087
   1947       86   0.268832     0.320613     0.283116
   1947       87   0.186059     0.405467     0.241024
   1947       88   0.244692     0.309603     0.260689
   1947       89   0.207033     0.344055     0.242089
   1947       90   0.278978     0.296153     0.283263
   1947       91   0.370227     0.362625     0.368197
   1947       92   0.364588     0.229117     0.326067
   1947       93   0.357973     0.698370     0.436276
   1947       94   0.503775     0.478596     0.497736
   1947       95   0.450535     0.334076     0.421171
   1947       96   0.453972     0.000000     0.393013
   1947       97   0.233010     0.000000     0.207612
   1947       98   0.696056     3.636364     1.510067
   1947       99   0.000000     0.000000     0.000000
   1947      100   0.000000     5.217391     3.896104
   1947      101   0.000000            .     0.000000
   1947      102   0.000000            .     0.000000
   1947      103   0.000000            .     0.000000
   1947      104          .            .            .
   1947      105          .            .            .
   1947      106          .            .            .
   1947      107          .            .            .
   1947      108   0.000000            .     0.000000
   1947      109   6.000000            .     6.000000
   1947      110+  0.000000            .     0.000000
   1948        0   0.052571     0.061645     0.057208
   1948        1   0.019131     0.017796     0.018448
   1948        2   0.009007     0.008234     0.008613
   1948        3   0.006177     0.006761     0.006473
   1948        4   0.004786     0.005002     0.004895
   1948        5   0.002578     0.003411     0.003000
   1948        6   0.002993     0.002980     0.002987
   1948        7   0.002236     0.002739     0.002491
   1948        8   0.001544     0.001524     0.001534
   1948        9   0.001554     0.001545     0.001550
   1948       10   0.001759     0.001659     0.001709
   1948       11   0.001493     0.001642     0.001568
   1948       12   0.001214     0.001441     0.001328
   1948       13   0.001361     0.001583     0.001470
   1948       14   0.001543     0.001897     0.001716
   1948       15   0.002608     0.002278     0.002446
   1948       16   0.003433     0.002612     0.003029
   1948       17   0.003573     0.003349     0.003462
   1948       18   0.004656     0.004384     0.004521
   1948       19   0.005531     0.005574     0.005553
   1948       20   0.005628     0.005925     0.005778
   1948       21   0.006530     0.007452     0.006993
   1948       22   0.006772     0.006489     0.006631
   1948       23   0.006225     0.008086     0.007133
   1948       24   0.007009     0.006728     0.006877
   1948       25   0.006836     0.007872     0.007297
   1948       26   0.006409     0.007224     0.006761
   1948       27   0.005855     0.007207     0.006439
   1948       28   0.005816     0.006848     0.006270
   1948       29   0.005348     0.007433     0.006278
   1948       30   0.006222     0.005910     0.006082
   1948       31   0.005500     0.007321     0.006328
   1948       32   0.006124     0.008096     0.007038
   1948       33   0.005752     0.006649     0.006173
   1948       34   0.005327     0.006369     0.005822
   1948       35   0.004456     0.006086     0.005236
   1948       36   0.005323     0.006716     0.005992
   1948       37   0.005647     0.007797     0.006683
   1948       38   0.006378     0.007544     0.006939
   1948       39   0.005961     0.007444     0.006680
   1948       40   0.007119     0.007412     0.007263
   1948       41   0.006873     0.008961     0.007929
   1948       42   0.006232     0.008411     0.007338
   1948       43   0.006700     0.009379     0.008044
   1948       44   0.007262     0.009763     0.008535
   1948       45   0.005637     0.010643     0.008180
   1948       46   0.006553     0.009724     0.008170
   1948       47   0.007793     0.010778     0.009314
   1948       48   0.008122     0.010917     0.009553
   1948       49   0.008316     0.012353     0.010396
   1948       50   0.007467     0.013250     0.010427
   1948       51   0.008039     0.012935     0.010551
   1948       52   0.010566     0.016387     0.013552
   1948       53   0.012695     0.018835     0.015847
   1948       54   0.010599     0.017665     0.014213
   1948       55   0.012608     0.017688     0.015163
   1948       56   0.012345     0.019652     0.016007
   1948       57   0.014088     0.024524     0.019287
   1948       58   0.016072     0.024745     0.020328
   1948       59   0.015483     0.025255     0.020299
   1948       60   0.017624     0.028152     0.022824
   1948       61   0.019154     0.030282     0.024579
   1948       62   0.020554     0.033168     0.026596
   1948       63   0.023551     0.034793     0.028816
   1948       64   0.023993     0.040729     0.031716
   1948       65   0.026466     0.042222     0.033650
   1948       66   0.033505     0.041722     0.037256
   1948       67   0.032344     0.053260     0.041796
   1948       68   0.036279     0.055895     0.045044
   1948       69   0.042591     0.060290     0.050432
   1948       70   0.037614     0.061781     0.047934
   1948       71   0.050535     0.061584     0.055138
   1948       72   0.055462     0.074588     0.063419
   1948       73   0.048968     0.082767     0.062784
   1948       74   0.059384     0.089836     0.071423
   1948       75   0.060145     0.079610     0.067652
   1948       76   0.085487     0.105219     0.092972
   1948       77   0.072665     0.100924     0.083199
   1948       78   0.078676     0.111391     0.090143
   1948       79   0.097778     0.112983     0.103003
   1948       80   0.123409     0.152360     0.133267
   1948       81   0.133630     0.160743     0.142521
   1948       82   0.145288     0.155257     0.148479
   1948       83   0.136135     0.195796     0.154601
   1948       84   0.149093     0.175071     0.157057
   1948       85   0.179074     0.232189     0.195417
   1948       86   0.178310     0.268862     0.203535
   1948       87   0.242459     0.263871     0.248006
   1948       88   0.199906     0.261860     0.214181
   1948       89   0.230369     0.254098     0.235973
   1948       90   0.249578     0.266598     0.253900
   1948       91   0.334566     0.422783     0.355776
   1948       92   0.258430     0.602960     0.345224
   1948       93   0.245386     0.000000     0.185071
   1948       94   0.308257     0.398759     0.330779
   1948       95   0.206398     0.508259     0.270709
   1948       96   0.283889     1.204819     0.459506
   1948       97   0.730223     0.000000     0.647482
   1948       98   0.000000     0.000000     0.000000
   1948       99   1.067616     0.000000     1.013514
   1948      100   0.000000     0.000000     0.000000
   1948      101   0.000000     0.000000     0.000000
   1948      102   0.000000            .     0.000000
   1948      103   0.000000            .     0.000000
   1948      104   0.000000            .     0.000000
   1948      105          .            .            .
   1948      106          .            .            .
   1948      107          .            .            .
   1948      108          .            .            .
   1948      109          .            .            .
   1948      110+  0.000000            .     0.000000
