08.Ibaraki.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.092507     0.106121     0.099466
   1947        1   0.024339     0.025979     0.025176
   1947        2   0.017654     0.017459     0.017555
   1947        3   0.012591     0.013919     0.013263
   1947        4   0.008531     0.009317     0.008931
   1947        5   0.006136     0.005086     0.005601
   1947        6   0.003532     0.004135     0.003837
   1947        7   0.003222     0.003485     0.003354
   1947        8   0.002747     0.001702     0.002221
   1947        9   0.002628     0.002576     0.002602
   1947       10   0.001406     0.002130     0.001772
   1947       11   0.001859     0.001745     0.001802
   1947       12   0.001676     0.001923     0.001800
   1947       13   0.002265     0.002048     0.002156
   1947       14   0.002671     0.001654     0.002160
   1947       15   0.003122     0.002974     0.003048
   1947       16   0.003833     0.002997     0.003417
   1947       17   0.003936     0.003778     0.003858
   1947       18   0.004375     0.004849     0.004607
   1947       19   0.005284     0.005445     0.005362
   1947       20   0.005207     0.006069     0.005625
   1947       21   0.005485     0.006587     0.006018
   1947       22   0.006674     0.005813     0.006265
   1947       23   0.007038     0.008312     0.007622
   1947       24   0.006742     0.007919     0.007252
   1947       25   0.008155     0.007162     0.007742
   1947       26   0.006621     0.007902     0.007153
   1947       27   0.006444     0.008615     0.007373
   1947       28   0.006672     0.006977     0.006807
   1947       29   0.006181     0.006737     0.006431
   1947       30   0.006895     0.006825     0.006863
   1947       31   0.006445     0.007125     0.006755
   1947       32   0.006099     0.005961     0.006035
   1947       33   0.005689     0.007319     0.006447
   1947       34   0.006202     0.008728     0.007392
   1947       35   0.006177     0.007853     0.006975
   1947       36   0.005776     0.008151     0.006923
   1947       37   0.006321     0.007440     0.006864
   1947       38   0.007931     0.008105     0.008016
   1947       39   0.007453     0.008367     0.007902
   1947       40   0.005698     0.006698     0.006204
   1947       41   0.006091     0.007443     0.006778
   1947       42   0.006761     0.008118     0.007443
   1947       43   0.008994     0.008063     0.008520
   1947       44   0.005467     0.008919     0.007208
   1947       45   0.008872     0.010406     0.009655
   1947       46   0.007433     0.009542     0.008512
   1947       47   0.009148     0.010228     0.009696
   1947       48   0.007424     0.011098     0.009279
