17.Ishikawa.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.104892     0.120717     0.112998
   1947        1   0.038554     0.041120     0.039862
   1947        2   0.017690     0.017742     0.017716
   1947        3   0.011462     0.011245     0.011352
   1947        4   0.007752     0.007606     0.007678
   1947        5   0.004426     0.005533     0.004990
   1947        6   0.003058     0.004494     0.003790
   1947        7   0.004821     0.005406     0.005118
   1947        8   0.002129     0.001508     0.001816
   1947        9   0.001876     0.002187     0.002032
   1947       10   0.001532     0.002131     0.001833
   1947       11   0.001634     0.002139     0.001886
   1947       12   0.002140     0.002378     0.002258
   1947       13   0.002372     0.001648     0.002014
   1947       14   0.002210     0.002049     0.002131
   1947       15   0.004152     0.002905     0.003544
   1947       16   0.004705     0.004828     0.004764
   1947       17   0.005506     0.004063     0.004818
   1947       18   0.005883     0.005655     0.005775
   1947       19   0.004697     0.006750     0.005672
   1947       20   0.006987     0.007873     0.007411
   1947       21   0.008840     0.009211     0.009017
   1947       22   0.008806     0.008140     0.008494
   1947       23   0.009201     0.007784     0.008547
   1947       24   0.008232     0.009349     0.008730
   1947       25   0.009129     0.009724     0.009390
   1947       26   0.008364     0.009756     0.008989
   1947       27   0.006762     0.009779     0.008151
   1947       28   0.009444     0.007790     0.008685
   1947       29   0.007199     0.011284     0.009054
   1947       30   0.008163     0.009936     0.008971
   1947       31   0.006246     0.009375     0.007679
   1947       32   0.007448     0.009640     0.008454
   1947       33   0.008610     0.008916     0.008750
   1947       34   0.006647     0.008011     0.007273
   1947       35   0.006424     0.009700     0.007930
   1947       36   0.006577     0.009346     0.007866
   1947       37   0.007376     0.008973     0.008121
   1947       38   0.005855     0.008999     0.007337
   1947       39   0.008002     0.010269     0.009082
   1947       40   0.009954     0.009455     0.009711
   1947       41   0.010070     0.010745     0.010400
   1947       42   0.008142     0.009546     0.008821
   1947       43   0.009474     0.010785     0.010120
   1947       44   0.008833     0.010537     0.009679
   1947       45   0.007938     0.011427     0.009680
   1947       46   0.009645     0.011998     0.010811
   1947       47   0.010751     0.013492     0.012110
   1947       48   0.011377     0.013699     0.012533
   1947       49   0.011007     0.014612     0.012792
   1947       50   0.011195     0.018696     0.014896
   1947       51   0.013915     0.023558     0.018688
   1947       52   0.013921     0.017856     0.015859
   1947       53   0.008912     0.019881     0.014256
   1947       54   0.011555     0.020561     0.015909
   1947       55   0.011833     0.021706     0.016591
   1947       56   0.014443     0.023263     0.018710
   1947       57   0.018566     0.027814     0.023003
   1947       58   0.019455     0.029555     0.024262
   1947       59   0.018245     0.031558     0.024516
   1947       60   0.020028     0.035941     0.027374
   1947       61   0.022127     0.040451     0.030467
   1947       62   0.024396     0.045681     0.033925
   1947       63   0.025421     0.042756     0.033007
   1947       64   0.034650     0.051378     0.041864
   1947       65   0.032378     0.045935     0.038303
   1947       66   0.036090     0.067646     0.049907
   1947       67   0.033992     0.070721     0.049844
   1947       68   0.054562     0.071170     0.061627
   1947       69   0.047661     0.062139     0.053769
   1947       70   0.054698     0.074918     0.063116
   1947       71   0.049819     0.075685     0.060258
   1947       72   0.064834     0.098143     0.077620
   1947       73   0.066791     0.088135     0.074773
   1947       74   0.076240     0.093965     0.082908
   1947       75   0.082341     0.108239     0.091928
   1947       76   0.080929     0.118717     0.094659
   1947       77   0.102413     0.116548     0.107268
   1947       78   0.128927     0.124360     0.127421
   1947       79   0.137204     0.175732     0.150266
   1947       80   0.157089     0.198342     0.170685
   1947       81   0.143357     0.174680     0.152880
   1947       82   0.161099     0.176171     0.165369
   1947       83   0.211654     0.227909     0.216078
   1947       84   0.204866     0.181043     0.198741
