03.Iwate.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.111015     0.122459     0.116863
   1947        1   0.036971     0.038503     0.037748
   1947        2   0.019314     0.018508     0.018907
   1947        3   0.011189     0.012078     0.011639
   1947        4   0.005940     0.006789     0.006370
   1947        5   0.005867     0.004189     0.005018
   1947        6   0.003185     0.003807     0.003500
   1947        7   0.002373     0.003768     0.003081
   1947        8   0.002061     0.002313     0.002189
   1947        9   0.003420     0.002297     0.002848
   1947       10   0.001591     0.002135     0.001869
   1947       11   0.001863     0.001540     0.001698
   1947       12   0.002945     0.002412     0.002674
   1947       13   0.002807     0.001864     0.002329
   1947       14   0.003213     0.002323     0.002761
   1947       15   0.002623     0.002974     0.002801
   1947       16   0.003896     0.003298     0.003597
   1947       17   0.004927     0.003648     0.004293
   1947       18   0.006012     0.005001     0.005513
   1947       19   0.006884     0.006065     0.006482
   1947       20   0.007111     0.007630     0.007365
   1947       21   0.008357     0.007969     0.008169
   1947       22   0.009355     0.008614     0.008997
   1947       23   0.008140     0.009940     0.008988
   1947       24   0.008260     0.011516     0.009713
   1947       25   0.008842     0.008385     0.008646
   1947       26   0.007471     0.008670     0.007984
   1947       27   0.008174     0.007603     0.007922
   1947       28   0.008334     0.007447     0.007933
   1947       29   0.007400     0.008482     0.007896
   1947       30   0.007916     0.008749     0.008303
   1947       31   0.007132     0.008474     0.007761
   1947       32   0.006945     0.007160     0.007047
   1947       33   0.006260     0.007717     0.006959
   1947       34   0.008718     0.007083     0.007927
   1947       35   0.008391     0.008964     0.008668
   1947       36   0.008052     0.007487     0.007778
   1947       37   0.006595     0.007615     0.007092
   1947       38   0.007559     0.007068     0.007317
   1947       39   0.007233     0.009187     0.008196
   1947       40   0.007354     0.006620     0.006985
   1947       41   0.008581     0.007324     0.007943
   1947       42   0.007718     0.008684     0.008202
   1947       43   0.007029     0.009170     0.008114
   1947       44   0.008122     0.009319     0.008729
   1947       45   0.008726     0.010978     0.009869
   1947       46   0.008825     0.012370     0.010622
   1947       47   0.010558     0.010559     0.010559
   1947       48   0.010514     0.011932     0.011232
   1947       49   0.012930     0.011846     0.012386
   1947       50   0.014021     0.012675     0.013339
   1947       51   0.013795     0.015793     0.014809
   1947       52   0.018121     0.016285     0.017194
   1947       53   0.014395     0.019510     0.016979
   1947       54   0.013908     0.022540     0.018256
   1947       55   0.019924     0.020679     0.020303
   1947       56   0.018396     0.021267     0.019828
   1947       57   0.016509     0.030438     0.023367
   1947       58   0.022044     0.034368     0.028142
   1947       59   0.023701     0.031608     0.027539
   1947       60   0.024362     0.037036     0.030307
   1947       61   0.023988     0.033127     0.028224
   1947       62   0.036449     0.034080     0.035334
   1947       63   0.032403     0.044593     0.038103
   1947       64   0.036936     0.044325     0.040366
   1947       65   0.039098     0.057488     0.047695
   1947       66   0.040662     0.058073     0.048673
   1947       67   0.050463     0.060434     0.055017
   1947       68   0.048551     0.073218     0.059757
   1947       69   0.046615     0.064838     0.054800
   1947       70   0.067009     0.071026     0.068750
   1947       71   0.064634     0.095014     0.077753
   1947       72   0.080993     0.091263     0.085377
   1947       73   0.085455     0.100903     0.092040
   1947       74   0.102721     0.119955     0.110034
   1947       75   0.098224     0.129938     0.111423
   1947       76   0.090657     0.095073     0.092456
   1947       77   0.104006     0.124464     0.112185
   1947       78   0.131663     0.162350     0.143885
   1947       79   0.119133     0.202619     0.151788
   1947       80   0.132500     0.172646     0.147798
   1947       81   0.171037     0.197847     0.181323
   1947       82   0.185211     0.219062     0.197844
   1947       83   0.260861     0.265159     0.262415
   1947       84   0.151642     0.254974     0.186823
   1947       85   0.199326     0.200818     0.199840
   1947       86   0.190212     0.312249     0.231699
   1947       87   0.301831     0.327134     0.309816
   1947       88   0.322446     0.298724     0.315385
   1947       89   0.365894     0.261731     0.332805
   1947       90   0.538427     0.373599     0.486622
   1947       91   0.236900     0.324851     0.262770
   1947       92   0.391361     0.489130     0.425371
   1947       93   0.273317     0.573614     0.370228
   1947       94   0.399645     0.000000     0.270962
   1947       95   0.184900     0.000000     0.135257
   1947       96   1.592719     0.000000     1.559020
   1947       97   1.201201     1.200000     1.200801
   1947       98   1.376147     6.000000     2.238806
   1947       99   0.000000            .     0.000000
   1947      100   0.000000            .     0.000000
   1947      101   0.000000            .     0.000000
   1947      102   0.000000            .     0.000000
   1947      103   0.000000            .     0.000000
   1947      104          .            .            .
   1947      105          .            .            .
   1947      106          .            .            .
   1947      107          .            .            .
   1947      108          .            .            .
   1947      109          .            .            .
   1947      110+         .            .            .
   1948        0   0.091842     0.103027     0.097555
   1948        1   0.035642     0.035944     0.035796
   1948        2   0.016638     0.017368     0.017008
   1948        3   0.009345     0.010935     0.010147
   1948        4   0.006269     0.007293     0.006787
   1948        5   0.005028     0.003834     0.004423
   1948        6   0.003963     0.003560     0.003759
   1948        7   0.003576     0.002572     0.003067
   1948        8   0.002587     0.003211     0.002904
   1948        9   0.002282     0.002190     0.002235
   1948       10   0.002468     0.002308     0.002386
   1948       11   0.002561     0.001775     0.002160
   1948       12   0.001551     0.001670     0.001612
   1948       13   0.002569     0.002167     0.002365
   1948       14   0.002275     0.001738     0.002003
   1948       15   0.003649     0.002534     0.003083
   1948       16   0.003142     0.002155     0.002642
   1948       17   0.004446     0.004274     0.004360
   1948       18   0.003918     0.005203     0.004555
   1948       19   0.007992     0.006852     0.007429
   1948       20   0.007677     0.007347     0.007515
   1948       21   0.009539     0.007286     0.008433
   1948       22   0.008960     0.008136     0.008559
   1948       23   0.009473     0.006647     0.008107
   1948       24   0.009803     0.009844     0.009822
   1948       25   0.010462     0.008000     0.009363
   1948       26   0.006563     0.007683     0.007043
   1948       27   0.009819     0.011642     0.010600
   1948       28   0.008170     0.007686     0.007957
   1948       29   0.008554     0.006952     0.007830
   1948       30   0.008772     0.007191     0.008049
   1948       31   0.008471     0.006726     0.007661
   1948       32   0.009111     0.006954     0.008100
