37.Kagawa.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.093028     0.114460     0.104040
   1947        1   0.024090     0.024409     0.024252
   1947        2   0.012947     0.012557     0.012751
   1947        3   0.009345     0.008642     0.008990
   1947        4   0.006037     0.005764     0.005899
   1947        5   0.003918     0.005308     0.004629
   1947        6   0.002080     0.003683     0.002902
   1947        7   0.002131     0.003194     0.002671
   1947        8   0.001458     0.002328     0.001895
   1947        9   0.002029     0.001813     0.001921
   1947       10   0.001237     0.002187     0.001713
   1947       11   0.001936     0.001729     0.001832
   1947       12   0.002034     0.001512     0.001771
   1947       13   0.001971     0.001645     0.001808
   1947       14   0.002693     0.001689     0.002190
   1947       15   0.004086     0.001469     0.002795
   1947       16   0.002935     0.002078     0.002520
   1947       17   0.004814     0.003381     0.004125
   1947       18   0.005257     0.006052     0.005639
   1947       19   0.006036     0.007444     0.006710
   1947       20   0.006489     0.008126     0.007271
   1947       21   0.009310     0.009302     0.009306
   1947       22   0.008622     0.007870     0.008273
   1947       23   0.008346     0.009365     0.008810
   1947       24   0.008171     0.007972     0.008083
   1947       25   0.008125     0.009454     0.008698
   1947       26   0.008606     0.008253     0.008454
   1947       27   0.008626     0.010705     0.009536
   1947       28   0.007506     0.008754     0.008061
   1947       29   0.008002     0.009924     0.008850
   1947       30   0.009094     0.006469     0.007948
   1947       31   0.006193     0.008339     0.007147
   1947       32   0.007660     0.008109     0.007861
   1947       33   0.008452     0.009951     0.009127
   1947       34   0.005885     0.008067     0.006871
   1947       35   0.008119     0.008798     0.008427
   1947       36   0.008222     0.010306     0.009187
   1947       37   0.008387     0.010904     0.009565
   1947       38   0.007566     0.009964     0.008690
   1947       39   0.007757     0.007930     0.007838
   1947       40   0.007621     0.010721     0.009119
   1947       41   0.008101     0.009542     0.008807
   1947       42   0.008085     0.009521     0.008788
   1947       43   0.011682     0.009600     0.010648
   1947       44   0.005750     0.012532     0.009116
   1947       45   0.010977     0.010448     0.010711
   1947       46   0.007151     0.014106     0.010625
   1947       47   0.008377     0.013470     0.010904
   1947       48   0.012266     0.014543     0.013408
   1947       49   0.013956     0.017929     0.015949
   1947       50   0.013470     0.013373     0.013421
   1947       51   0.009468     0.013147     0.011308
   1947       52   0.014172     0.018016     0.016101
   1947       53   0.011774     0.022044     0.017009
   1947       54   0.013034     0.016793     0.014923
   1947       55   0.016965     0.021331     0.019113
   1947       56   0.013809     0.021720     0.017686
   1947       57   0.012556     0.030510     0.021393
   1947       58   0.018631     0.027239     0.022898
   1947       59   0.019944     0.025436     0.022680
   1947       60   0.020150     0.036673     0.028349
   1947       61   0.021555     0.036287     0.028755
   1947       62   0.026349     0.036502     0.031268
   1947       63   0.020349     0.041550     0.030507
   1947       64   0.029915     0.044238     0.036705
   1947       65   0.023270     0.039938     0.031207
   1947       66   0.039740     0.053805     0.046430
   1947       67   0.038419     0.060944     0.048986
   1947       68   0.033926     0.071054     0.050963
   1947       69   0.039604     0.065757     0.051354
   1947       70   0.054421     0.062687     0.058118
   1947       71   0.058988     0.057178     0.058175
   1947       72   0.058195     0.095867     0.074844
   1947       73   0.077562     0.096658     0.085844
   1947       74   0.075962     0.088974     0.081586
   1947       75   0.073384     0.123091     0.094285
   1947       76   0.088068     0.100830     0.093229
   1947       77   0.087858     0.138562     0.107926
   1947       78   0.090191     0.119340     0.101595
   1947       79   0.131364     0.183866     0.151624
   1947       80   0.154833     0.172014     0.161195
   1947       81   0.146137     0.209810     0.169812
   1947       82   0.169440     0.186866     0.175901
   1947       83   0.200871     0.222798     0.209101
