46.Kagoshima.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.084968     0.092415     0.088768
   1947        1   0.037633     0.043125     0.040422
   1947        2   0.020270     0.021986     0.021137
   1947        3   0.014179     0.013899     0.014038
   1947        4   0.008753     0.008577     0.008664
   1947        5   0.006252     0.006438     0.006346
   1947        6   0.004745     0.003878     0.004307
   1947        7   0.003592     0.004090     0.003843
   1947        8   0.002575     0.003051     0.002815
   1947        9   0.002267     0.002303     0.002285
   1947       10   0.001875     0.001922     0.001899
   1947       11   0.001817     0.001598     0.001705
   1947       12   0.002808     0.002090     0.002432
   1947       13   0.002194     0.001645     0.001899
   1947       14   0.002192     0.002393     0.002301
   1947       15   0.004829     0.002557     0.003622
   1947       16   0.003608     0.002537     0.003054
   1947       17   0.004706     0.004840     0.004773
   1947       18   0.004719     0.005761     0.005220
   1947       19   0.006757     0.007131     0.006933
   1947       20   0.007241     0.009012     0.008064
   1947       21   0.006839     0.011992     0.009194
   1947       22   0.007700     0.010369     0.008891
   1947       23   0.007172     0.010389     0.008570
   1947       24   0.008730     0.012956     0.010517
   1947       25   0.007844     0.011316     0.009303
   1947       26   0.007249     0.012153     0.009330
   1947       27   0.008637     0.009726     0.009106
   1947       28   0.008009     0.008774     0.008341
   1947       29   0.008429     0.011155     0.009621
   1947       30   0.007589     0.009350     0.008359
   1947       31   0.007692     0.009761     0.008603
   1947       32   0.007458     0.008962     0.008132
   1947       33   0.007148     0.010473     0.008640
   1947       34   0.008221     0.007547     0.007917
   1947       35   0.008479     0.012434     0.010275
   1947       36   0.007636     0.009445     0.008461
   1947       37   0.008883     0.011285     0.009970
   1947       38   0.006968     0.011799     0.009154
   1947       39   0.007839     0.011430     0.009485
   1947       40   0.008203     0.011189     0.009622
   1947       41   0.006739     0.011668     0.009098
   1947       42   0.008331     0.009740     0.008998
   1947       43   0.009461     0.009679     0.009565
   1947       44   0.008286     0.011382     0.009782
   1947       45   0.007522     0.013091     0.010250
   1947       46   0.009516     0.010711     0.010101
   1947       47   0.010496     0.014151     0.012281
   1947       48   0.009588     0.013782     0.011626
   1947       49   0.012525     0.016137     0.014273
   1947       50   0.013367     0.016299     0.014782
   1947       51   0.012839     0.015802     0.014269
   1947       52   0.015007     0.018975     0.016942
   1947       53   0.015375     0.021623     0.018426
   1947       54   0.011600     0.020085     0.015699
   1947       55   0.014802     0.021005     0.017806
   1947       56   0.016829     0.024512     0.020543
   1947       57   0.016411     0.027685     0.021790
   1947       58   0.017518     0.030146     0.023527
   1947       59   0.020340     0.035404     0.027374
   1947       60   0.023212     0.034514     0.028300
   1947       61   0.022531     0.035185     0.028074
   1947       62   0.028254     0.040536     0.033588
   1947       63   0.027781     0.044223     0.035089
   1947       64   0.030766     0.039383     0.034645
   1947       65   0.028128     0.048940     0.037575
   1947       66   0.035565     0.049200     0.041667
   1947       67   0.034955     0.059248     0.045541
   1947       68   0.039033     0.066018     0.050431
   1947       69   0.042776     0.073282     0.055296
   1947       70   0.055019     0.075809     0.063585
   1947       71   0.058539     0.079590     0.067316
   1947       72   0.055545     0.084676     0.067718
   1947       73   0.061595     0.084664     0.071162
   1947       74   0.065210     0.102187     0.080173
   1947       75   0.088316     0.117352     0.099858
   1947       76   0.084264     0.134720     0.103932
   1947       77   0.093868     0.141051     0.111346
   1947       78   0.098581     0.157711     0.120495
   1947       79   0.122428     0.147365     0.131776
   1947       80   0.126575     0.164423     0.140107
   1947       81   0.154183     0.206429     0.172794
   1947       82   0.161694     0.212606     0.179188
   1947       83   0.183854     0.195601     0.187730
   1947       84   0.143308     0.266073     0.183764
   1947       85   0.210120     0.287813     0.234141
   1947       86   0.189497     0.300755     0.223034
   1947       87   0.220323     0.224251     0.221461
   1947       88   0.253912     0.287549     0.263896
   1947       89   0.198536     0.246544     0.213756
   1947       90   0.357227     0.341563     0.352652
   1947       91   0.329783     0.388045     0.346660
   1947       92   0.565730     0.661791     0.590533
   1947       93   0.367054     0.252738     0.331785
   1947       94   0.184022     0.408664     0.253675
   1947       95   0.241255     0.318049     0.267046
   1947       96   0.665927     0.306592     0.557103
   1947       97   0.318810     0.000000     0.198347
   1947       98   1.174935     1.007557     1.101726
   1947       99   0.367197     1.239669     0.566572
   1947      100   0.000000     0.000000     0.000000
   1947      101   0.731707     3.000000     1.176471
   1947      102   0.000000            .     0.000000
   1947      103   0.000000            .     0.000000
   1947      104   5.357143     0.000000     2.830189
   1947      105   0.000000     6.000000     4.316547
   1947      106   0.000000     0.000000     0.000000
   1947      107   0.000000     0.000000     0.000000
   1947      108          .            .            .
   1947      109          .            .            .
   1947      110+  0.738916     1.500000     0.990099
   1948        0   0.058804     0.066299     0.062627
   1948        1   0.020536     0.022346     0.021458
   1948        2   0.013458     0.010960     0.012190
   1948        3   0.008093     0.006670     0.007374
   1948        4   0.004071     0.005047     0.004562
   1948        5   0.003676     0.004156     0.003918
   1948        6   0.002714     0.002777     0.002746
   1948        7   0.002732     0.003375     0.003056
   1948        8   0.002057     0.002075     0.002066
   1948        9   0.001995     0.001434     0.001712
   1948       10   0.001621     0.002082     0.001854
