14.Kanagawa.ken, Death Rates (period 5x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947     0      0.062779     0.072747     0.067888
   1947     1-4    0.013609     0.014190     0.013904
   1947     5-9    0.002687     0.002985     0.002838
   1947    10-14   0.001564     0.001489     0.001526
   1947    15-19   0.003964     0.004292     0.004138
   1947    20-24   0.006735     0.007838     0.007283
   1947    25-29   0.005873     0.007174     0.006468
   1947    30-34   0.005877     0.006955     0.006408
   1947    35-39   0.005536     0.007131     0.006333
   1947    40-44   0.006837     0.008914     0.007915
   1947    45-49   0.007290     0.012016     0.009753
   1947    50-54   0.011370     0.016201     0.013869
   1947    55-59   0.015785     0.023844     0.019838
   1947    60-64   0.023328     0.039096     0.030709
   1947    65-69   0.036663     0.058492     0.046197
   1947    70-74   0.057595     0.079962     0.066797
   1947    75-79   0.090333     0.125054     0.103526
   1947    80-84   0.148454     0.186575     0.161183
   1947    85-89   0.210233     0.268557     0.226709
   1947    90-94   0.321673     0.361672     0.333665
   1947    95-99   0.291474     1.090909     0.537785
   1947   100-104  1.829268     0.000000     1.801802
   1947   105-109  0.000000     1.500000     1.477833
   1947   110+            .            .            .
   1948     0      0.038901     0.046577     0.042828
   1948     1-4    0.006696     0.006746     0.006721
   1948     5-9    0.001875     0.002342     0.002112
   1948    10-14   0.001507     0.001540     0.001523
   1948    15-19   0.003266     0.003790     0.003542
   1948    20-24   0.006520     0.007459     0.007000
   1948    25-29   0.005704     0.006711     0.006163
   1948    30-34   0.005207     0.006248     0.005713
   1948    35-39   0.005199     0.006347     0.005771
   1948    40-44   0.006212     0.008302     0.007288
   1948    45-49   0.006980     0.010354     0.008735
   1948    50-54   0.011703     0.014150     0.012967
   1948    55-59   0.013884     0.022665     0.018320
   1948    60-64   0.021538     0.031729     0.026384
   1948    65-69   0.033015     0.050145     0.040505
   1948    70-74   0.053074     0.072986     0.061229
   1948    75-79   0.079645     0.107442     0.090284
   1948    80-84   0.124351     0.155231     0.134825
   1948    85-89   0.201290     0.226498     0.208338
   1948    90-94   0.402224     0.305819     0.373746
   1948    95-99   0.376479     0.597758     0.435041
   1948   100-104  0.000000     0.000000     0.000000
   1948   105-109  0.000000            .     0.000000
   1948   110+            .            .            .
   1949     0      0.041184     0.046772     0.044035
   1949     1-4    0.008006     0.008522     0.008269
   1949     5-9    0.001820     0.001996     0.001909
   1949    10-14   0.001234     0.001165     0.001199
   1949    15-19   0.002716     0.002879     0.002801
   1949    20-24   0.005526     0.006794     0.006187
   1949    25-29   0.004988     0.006620     0.005736
   1949    30-34   0.004509     0.005922     0.005186
   1949    35-39   0.004689     0.006227     0.005456
   1949    40-44   0.006339     0.007433     0.006897
   1949    45-49   0.006817     0.009439     0.008177
   1949    50-54   0.009987     0.013396     0.011750
   1949    55-59   0.013980     0.021402     0.017750
   1949    60-64   0.020753     0.032765     0.026531
   1949    65-69   0.033393     0.049562     0.040481
   1949    70-74   0.051970     0.075543     0.061619
   1949    75-79   0.079831     0.100957     0.087967
   1949    80-84   0.133998     0.162828     0.143820
   1949    85-89   0.229951     0.211453     0.224506
   1949    90-94   0.298304     0.433308     0.334754
   1949    95-99   0.733753     0.650900     0.709971
   1949   100-104  0.000000     0.000000     0.000000
   1949   105-109  0.000000            .     0.000000
   1949   110+            .            .            .
   1950     0      0.036015     0.041810     0.038983
   1950     1-4    0.006686     0.006379     0.006529
   1950     5-9    0.001686     0.002038     0.001864
   1950    10-14   0.001217     0.001215     0.001216
   1950    15-19   0.002320     0.002424     0.002374
   1950    20-24   0.004536     0.004656     0.004600
   1950    25-29   0.004035     0.005827     0.004873
   1950    30-34   0.004106     0.005107     0.004577
   1950    35-39   0.004572     0.006071     0.005317
   1950    40-44   0.005361     0.006511     0.005944
   1950    45-49   0.006942     0.009781     0.008410
   1950    50-54   0.009451     0.014318     0.011965
   1950    55-59   0.014069     0.021089     0.017656
   1950    60-64   0.022459     0.032669     0.027397
   1950    65-69   0.035044     0.053398     0.043124
   1950    70-74   0.053328     0.081301     0.064792
   1950    75-79   0.088804     0.113901     0.098507
   1950    80-84   0.140435     0.176600     0.152730
   1950    85-89   0.210521     0.287311     0.233581
   1950    90-94   0.292323     0.356597     0.307232
   1950    95-99   0.844156     0.560957     0.740335
