39.Kochi.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.089757     0.097457     0.093723
   1947        1   0.024855     0.024868     0.024862
   1947        2   0.015324     0.015722     0.015527
   1947        3   0.011249     0.012217     0.011743
   1947        4   0.007770     0.006950     0.007352
   1947        5   0.004040     0.004814     0.004433
   1947        6   0.003965     0.004351     0.004161
   1947        7   0.002917     0.003468     0.003200
   1947        8   0.002472     0.002107     0.002285
   1947        9   0.002431     0.002107     0.002266
   1947       10   0.002565     0.002716     0.002641
   1947       11   0.001055     0.003048     0.002071
   1947       12   0.001950     0.001948     0.001949
   1947       13   0.001777     0.001870     0.001826
   1947       14   0.001735     0.002178     0.001965
   1947       15   0.003890     0.003013     0.003442
   1947       16   0.003285     0.002660     0.002973
   1947       17   0.003887     0.004663     0.004269
   1947       18   0.004758     0.005550     0.005143
   1947       19   0.007105     0.006955     0.007033
   1947       20   0.006046     0.007709     0.006842
   1947       21   0.006838     0.006618     0.006734
   1947       22   0.006254     0.007345     0.006767
   1947       23   0.005888     0.008404     0.007054
   1947       24   0.006063     0.009473     0.007583
   1947       25   0.006746     0.009362     0.007882
   1947       26   0.009120     0.008867     0.009011
   1947       27   0.007391     0.008999     0.008099
   1947       28   0.007112     0.008751     0.007847
   1947       29   0.006231     0.011627     0.008636
   1947       30   0.007158     0.008557     0.007779
   1947       31   0.006967     0.009336     0.008022
   1947       32   0.007171     0.009079     0.008024
   1947       33   0.006713     0.009482     0.007976
   1947       34   0.007386     0.007589     0.007479
   1947       35   0.007190     0.010397     0.008661
   1947       36   0.007078     0.008983     0.007965
   1947       37   0.007057     0.009590     0.008254
   1947       38   0.007124     0.007376     0.007244
   1947       39   0.008246     0.009891     0.009040
   1947       40   0.007769     0.008229     0.007998
   1947       41   0.004374     0.009005     0.006715
   1947       42   0.010748     0.008831     0.009793
   1947       43   0.007833     0.011326     0.009586
   1947       44   0.006143     0.008999     0.007563
   1947       45   0.006727     0.012760     0.009726
   1947       46   0.006552     0.009943     0.008238
   1947       47   0.008176     0.013422     0.010783
   1947       48   0.009106     0.012412     0.010741
   1947       49   0.007099     0.012149     0.009591
   1947       50   0.011232     0.012703     0.011965
   1947       51   0.006377     0.014699     0.010541
   1947       52   0.011052     0.015332     0.013216
   1947       53   0.010012     0.015705     0.012882
   1947       54   0.011905     0.017886     0.014870
   1947       55   0.015408     0.017379     0.016388
   1947       56   0.011260     0.020184     0.015643
   1947       57   0.013932     0.022275     0.017917
   1947       58   0.016767     0.024146     0.020337
   1947       59   0.016830     0.022216     0.019460
   1947       60   0.019462     0.032321     0.025597
   1947       61   0.024373     0.026162     0.025231
   1947       62   0.019688     0.037214     0.028114
   1947       63   0.024848     0.037509     0.030748
   1947       64   0.030738     0.042811     0.036212
   1947       65   0.026659     0.037590     0.031657
   1947       66   0.034798     0.037967     0.036274
   1947       67   0.030742     0.050376     0.039821
   1947       68   0.035328     0.052824     0.043331
   1947       69   0.036120     0.051384     0.043056
   1947       70   0.048233     0.071358     0.058627
   1947       71   0.050464     0.070514     0.059408
   1947       72   0.051659     0.070146     0.059947
   1947       73   0.055417     0.091552     0.071580
   1947       74   0.064197     0.087066     0.074254
   1947       75   0.081714     0.104978     0.091766
   1947       76   0.084433     0.116743     0.098214
   1947       77   0.101774     0.112055     0.106136
   1947       78   0.095022     0.106240     0.099715
   1947       79   0.137360     0.190906     0.160105
   1947       80   0.130409     0.145026     0.136479
   1947       81   0.126763     0.168594     0.143597
   1947       82   0.168067     0.201878     0.181462
   1947       83   0.209306     0.247153     0.224720
   1947       84   0.180849     0.188800     0.184066
   1947       85   0.211779     0.295239     0.244230
   1947       86   0.260065     0.256935     0.258857
   1947       87   0.246042     0.341002     0.282584
   1947       88   0.161905     0.431685     0.262418
   1947       89   0.282941     0.246026     0.268902
   1947       90   0.197378     0.326130     0.245943
   1947       91   0.357688     0.446835     0.384201
   1947       92   0.407386     0.516037     0.443973
   1947       93   0.194830     0.578070     0.305324
   1947       94   0.312012     0.252773     0.289405
   1947       95   0.315789     0.912474     0.560037
   1947       96   0.000000     0.520382     0.115185
   1947       97   0.449775     1.385681     0.911508
   1947       98   0.000000     1.801802     0.917431
   1947       99   0.894188     0.000000     0.852273
   1947      100   0.000000            .     0.000000
   1947      101   0.000000            .     0.000000
   1947      102   0.000000            .     0.000000
   1947      103   0.000000            .     0.000000
   1947      104   0.000000            .     0.000000
   1947      105   0.000000            .     0.000000
   1947      106   0.000000            .     0.000000
   1947      107   0.000000            .     0.000000
   1947      108          .            .            .
   1947      109          .            .            .
   1947      110+  0.000000            .     0.000000
   1948        0   0.059025     0.071986     0.065655
   1948        1   0.017203     0.018740     0.017994
   1948        2   0.008786     0.008503     0.008641
   1948        3   0.008262     0.008944     0.008609
   1948        4   0.005249     0.006157     0.005712
   1948        5   0.001924     0.002359     0.002146
   1948        6   0.003117     0.003018     0.003067
   1948        7   0.001719     0.001662     0.001690
   1948        8   0.002559     0.002315     0.002434
   1948        9   0.001303     0.001862     0.001589
   1948       10   0.000852     0.002111     0.001493
   1948       11   0.001050     0.001360     0.001207
   1948       12   0.001409     0.000904     0.001151
   1948       13   0.000732     0.002064     0.001418
   1948       14   0.002287     0.001404     0.001827
   1948       15   0.001862     0.001492     0.001670
   1948       16   0.002390     0.002172     0.002279
   1948       17   0.002533     0.003812     0.003172
   1948       18   0.003272     0.004292     0.003773
   1948       19   0.004530     0.004119     0.004330
   1948       20   0.004462     0.007268     0.005814
   1948       21   0.005432     0.005787     0.005602
   1948       22   0.005578     0.007524     0.006498
   1948       23   0.006292     0.007094     0.006669
   1948       24   0.005096     0.008147     0.006508
   1948       25   0.005389     0.008849     0.006928
   1948       26   0.006349     0.005583     0.006017
   1948       27   0.007110     0.007187     0.007143
   1948       28   0.006962     0.007832     0.007345
   1948       29   0.006441     0.008831     0.007511
   1948       30   0.005920     0.006295     0.006087
   1948       31   0.007034     0.006027     0.006587
   1948       32   0.005963     0.007662     0.006719
   1948       33   0.005454     0.005657     0.005544
   1948       34   0.007293     0.005729     0.006580
   1948       35   0.004896     0.005740     0.005285
   1948       36   0.005424     0.007690     0.006463
   1948       37   0.006184     0.007332     0.006718
   1948       38   0.004992     0.008154     0.006485
   1948       39   0.005427     0.006790     0.006078
   1948       40   0.006125     0.008056     0.007056
   1948       41   0.007369     0.010755     0.009059
   1948       42   0.006727     0.007947     0.007343
   1948       43   0.005749     0.008021     0.006881
   1948       44   0.005851     0.007615     0.006735
   1948       45   0.006184     0.009299     0.007731
   1948       46   0.006559     0.009454     0.007995
   1948       47   0.006817     0.010271     0.008531
   1948       48   0.011588     0.011989     0.011787
   1948       49   0.005466     0.011210     0.008302
   1948       50   0.007153     0.014082     0.010564
   1948       51   0.007855     0.011226     0.009530
   1948       52   0.013371     0.014405     0.013887
   1948       53   0.010386     0.013247     0.011830
