43.Kumamoto.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.079286     0.090304     0.084906
   1947        1   0.033112     0.033475     0.033297
   1947        2   0.018459     0.017939     0.018196
   1947        3   0.012398     0.011751     0.012072
   1947        4   0.007840     0.007650     0.007744
   1947        5   0.005249     0.005564     0.005408
   1947        6   0.004602     0.003945     0.004268
   1947        7   0.002554     0.002474     0.002513
   1947        8   0.002680     0.002618     0.002649
   1947        9   0.001909     0.002709     0.002313
   1947       10   0.002015     0.002414     0.002216
   1947       11   0.001711     0.001521     0.001615
   1947       12   0.001837     0.000994     0.001410
   1947       13   0.002043     0.002155     0.002100
   1947       14   0.001715     0.001477     0.001595
   1947       15   0.003013     0.002724     0.002868
   1947       16   0.002872     0.004179     0.003520
   1947       17   0.003812     0.005115     0.004447
   1947       18   0.005726     0.006423     0.006060
   1947       19   0.004995     0.008136     0.006494
   1947       20   0.006741     0.008819     0.007731
   1947       21   0.007191     0.009005     0.008033
   1947       22   0.007383     0.010389     0.008745
   1947       23   0.008625     0.009843     0.009167
   1947       24   0.008908     0.008888     0.008899
   1947       25   0.009131     0.009218     0.009168
   1947       26   0.008237     0.009162     0.008633
   1947       27   0.009846     0.009248     0.009587
   1947       28   0.008112     0.010124     0.008991
   1947       29   0.008017     0.007560     0.007816
   1947       30   0.006890     0.010120     0.008331
   1947       31   0.007480     0.008787     0.008073
   1947       32   0.007657     0.010981     0.009167
   1947       33   0.008892     0.009713     0.009265
   1947       34   0.006071     0.008316     0.007094
   1947       35   0.006794     0.009722     0.008121
   1947       36   0.007161     0.009257     0.008121
   1947       37   0.007575     0.009501     0.008469
   1947       38   0.006719     0.009677     0.008104
   1947       39   0.008110     0.009697     0.008855
   1947       40   0.007211     0.010587     0.008848
   1947       41   0.008148     0.011464     0.009779
   1947       42   0.008570     0.012152     0.010309
   1947       43   0.008564     0.009639     0.009090
   1947       44   0.007236     0.010351     0.008768
   1947       45   0.006888     0.011732     0.009283
   1947       46   0.007447     0.014066     0.010688
   1947       47   0.008563     0.012420     0.010463
   1947       48   0.010189     0.013828     0.011990
   1947       49   0.011290     0.014616     0.012930
   1947       50   0.011616     0.014112     0.012854
   1947       51   0.012951     0.016781     0.014845
   1947       52   0.011379     0.014972     0.013174
   1947       53   0.013344     0.022014     0.017692
   1947       54   0.012231     0.015734     0.013972
   1947       55   0.013884     0.018350     0.016084
   1947       56   0.015451     0.020770     0.018065
   1947       57   0.018176     0.028595     0.023314
   1947       58   0.017345     0.031101     0.024101
   1947       59   0.019933     0.024142     0.021962
   1947       60   0.025495     0.034251     0.029644
   1947       61   0.022796     0.034600     0.028316
   1947       62   0.027914     0.036105     0.031692
   1947       63   0.025538     0.042298     0.033126
   1947       64   0.030004     0.047048     0.037658
   1947       65   0.031816     0.050311     0.040186
   1947       66   0.033906     0.057496     0.044506
   1947       67   0.036310     0.063152     0.048186
   1947       68   0.040894     0.059744     0.049167
   1947       69   0.039416     0.061944     0.049068
   1947       70   0.058850     0.083913     0.069501
   1947       71   0.061420     0.081173     0.069777
   1947       72   0.061343     0.084086     0.070857
   1947       73   0.065763     0.105907     0.082174
   1947       74   0.075500     0.095932     0.083749
   1947       75   0.079001     0.123274     0.097130
   1947       76   0.089261     0.111876     0.098298
   1947       77   0.087651     0.139310     0.107881
   1947       78   0.099281     0.130355     0.111159
   1947       79   0.110959     0.152405     0.126959
   1947       80   0.142617     0.166763     0.151903
   1947       81   0.145331     0.197064     0.164670
   1947       82   0.161317     0.180870     0.168464
   1947       83   0.186180     0.237691     0.205185
   1947       84   0.195754     0.192852     0.194700
   1947       85   0.215945     0.261967     0.232140
   1947       86   0.265093     0.241366     0.256816
   1947       87   0.253782     0.326948     0.279769
   1947       88   0.293820     0.249612     0.278201
   1947       89   0.324304     0.311004     0.320004
   1947       90   0.340038     0.384757     0.352905
   1947       91   0.370762     0.654323     0.446207
   1947       92   0.313483     0.348238     0.322686
   1947       93   0.410923     0.688739     0.493973
   1947       94   0.435515     0.517576     0.459773
   1947       95   0.786327     1.328325     0.920552
   1947       96   0.620091     0.000000     0.480615
   1947       97   0.391134     0.000000     0.271985
   1947       98   0.000000     0.000000     0.000000
   1947       99   0.000000     0.000000     0.000000
   1947      100   0.555042     1.395349     0.794176
   1947      101   0.000000     0.000000     0.000000
   1947      102   3.821656     2.790698     3.066440
   1947      103   0.000000            .     0.000000
   1947      104   0.000000            .     0.000000
   1947      105   0.000000            .     0.000000
   1947      106   0.000000            .     0.000000
   1947      107   0.000000            .     0.000000
   1947      108          .            .            .
   1947      109   0.000000            .     0.000000
   1947      110+  0.000000     0.000000     0.000000
   1948        0   0.053930     0.059858     0.056957
   1948        1   0.018477     0.019912     0.019208
   1948        2   0.009733     0.010798     0.010274
   1948        3   0.008195     0.009025     0.008615
   1948        4   0.005942     0.005783     0.005862
   1948        5   0.003606     0.003353     0.003478
   1948        6   0.002423     0.002586     0.002506
   1948        7   0.001647     0.002181     0.001919
   1948        8   0.000972     0.001635     0.001309
   1948        9   0.001717     0.001626     0.001671
   1948       10   0.001358     0.001824     0.001593
   1948       11   0.000738     0.001063     0.000902
   1948       12   0.001360     0.001718     0.001541
   1948       13   0.001891     0.001343     0.001614
   1948       14   0.001940     0.000975     0.001453
   1948       15   0.002238     0.001734     0.001983
   1948       16   0.002102     0.002301     0.002202
   1948       17   0.003217     0.004020     0.003615
   1948       18   0.003652     0.004647     0.004136
   1948       19   0.004282     0.005690     0.004956
   1948       20   0.005258     0.006288     0.005749
   1948       21   0.005924     0.006932     0.006403
   1948       22   0.005441     0.007145     0.006232
   1948       23   0.005362     0.006561     0.005905
   1948       24   0.008155     0.010254     0.009089
   1948       25   0.006559     0.008335     0.007327
   1948       26   0.007168     0.009104     0.007996
   1948       27   0.005578     0.009242     0.007144
   1948       28   0.006447     0.008907     0.007508
   1948       29   0.005615     0.007352     0.006373
   1948       30   0.005961     0.006865     0.006358
   1948       31   0.006001     0.008200     0.006981
   1948       32   0.005780     0.005268     0.005548
   1948       33   0.006744     0.006746     0.006745
   1948       34   0.005935     0.006593     0.006234
   1948       35   0.005744     0.007406     0.006501
   1948       36   0.005466     0.007708     0.006481
   1948       37   0.007202     0.007643     0.007404
   1948       38   0.006004     0.007818     0.006845
   1948       39   0.006663     0.008783     0.007654
   1948       40   0.008070     0.008586     0.008312
   1948       41   0.007472     0.008409     0.007926
   1948       42   0.005928     0.007204     0.006555
   1948       43   0.006612     0.009760     0.008139
   1948       44   0.008391     0.010790     0.009564
   1948       45   0.007403     0.011741     0.009533
   1948       46   0.008320     0.012950     0.010602
   1948       47   0.009852     0.009926     0.009888
   1948       48   0.008758     0.010544     0.009637
   1948       49   0.008828     0.012143     0.010465
   1948       50   0.009617     0.014444     0.011994
   1948       51   0.011100     0.014974     0.013017
   1948       52   0.012562     0.014104     0.013324
   1948       53   0.010395     0.017026     0.013699
   1948       54   0.013228     0.018392     0.015811
   1948       55   0.011502     0.016430     0.013945
   1948       56   0.011916     0.020443     0.016101
   1948       57   0.013906     0.020880     0.017322
   1948       58   0.012353     0.021502     0.016840
   1948       59   0.018125     0.026182     0.022066
   1948       60   0.018865     0.027199     0.022869
   1948       61   0.022088     0.026453     0.024146
   1948       62   0.018763     0.031762     0.024815
   1948       63   0.023190     0.036558     0.029308
   1948       64   0.026579     0.042655     0.033793
   1948       65   0.025900     0.039926     0.032142
   1948       66   0.028717     0.043522     0.035353
   1948       67   0.030374     0.045517     0.037094
   1948       68   0.030935     0.048666     0.038704
   1948       69   0.037061     0.064764     0.049080
   1948       70   0.041586     0.052257     0.046097
   1948       71   0.040071     0.059540     0.048250
   1948       72   0.051689     0.070080     0.059395
   1948       73   0.055557     0.071374     0.062077
   1948       74   0.063213     0.090181     0.074091
   1948       75   0.070086     0.082641     0.075073
   1948       76   0.068657     0.097356     0.080208
   1948       77   0.082790     0.105488     0.091705
   1948       78   0.082380     0.117020     0.095630
   1948       79   0.104660     0.116402     0.109060
   1948       80   0.104239     0.115326     0.108460
   1948       81   0.119861     0.159263     0.134667
   1948       82   0.128049     0.140902     0.132755
   1948       83   0.137262     0.176795     0.151517
   1948       84   0.163746     0.184841     0.171383
   1948       85   0.137492     0.160316     0.145621
   1948       86   0.179450     0.248651     0.203198
   1948       87   0.186327     0.231361     0.201493
   1948       88   0.136043     0.191673     0.155686
   1948       89   0.260742     0.413992     0.314023
   1948       90   0.243011     0.250959     0.245401
   1948       91   0.223683     0.388784     0.268454
   1948       92   0.151357     0.366569     0.195503
   1948       93   0.211063     0.431593     0.262688
   1948       94   0.250609     0.117050     0.215484
   1948       95   0.340619     0.000000     0.247934
   1948       96   0.280833     0.820793     0.418483
   1948       97   0.472813     0.993377     0.572884
   1948       98   0.830258     0.000000     0.512528
   1948       99   1.131008     0.000000     0.556586
   1948      100   0.000000     0.000000     0.000000
   1948      101   0.681044     0.000000     0.495458
   1948      102   1.287554     0.000000     0.753769
   1948      103   0.000000     0.000000     0.000000
   1948      104   0.000000            .     0.000000
   1948      105   0.000000            .     0.000000
   1948      106   0.000000            .     0.000000
   1948      107   0.000000            .     0.000000
   1948      108   0.000000            .     0.000000
   1948      109          .            .            .
   1948      110+  2.830189     0.000000     2.205882
   1949        0   0.052542     0.062081     0.057410
   1949        1   0.014203     0.015547     0.014888
   1949        2   0.010404     0.011105     0.010761
   1949        3   0.007075     0.006700     0.006885
   1949        4   0.005202     0.004772     0.004984
   1949        5   0.004215     0.003716     0.003963
   1949        6   0.002474     0.003082     0.002781
   1949        7   0.001961     0.002820     0.002396
   1949        8   0.002167     0.002276     0.002222
   1949        9   0.001741     0.002084     0.001915
   1949       10   0.001181     0.001470     0.001327
   1949       11   0.002013     0.001383     0.001695
   1949       12   0.001477     0.001645     0.001562
   1949       13   0.001412     0.001278     0.001344
   1949       14   0.001637     0.001494     0.001565
   1949       15   0.001418     0.001388     0.001403
   1949       16   0.001720     0.002094     0.001909
   1949       17   0.002485     0.002415     0.002450
   1949       18   0.003169     0.003341     0.003255
   1949       19   0.003374     0.004300     0.003824
   1949       20   0.004239     0.006425     0.005284
   1949       21   0.005404     0.006529     0.005940
   1949       22   0.004726     0.007862     0.006216
   1949       23   0.005718     0.008417     0.006969
   1949       24   0.005005     0.007005     0.005910
   1949       25   0.006592     0.007141     0.006836
   1949       26   0.005209     0.006665     0.005838
   1949       27   0.005023     0.006148     0.005504
   1949       28   0.005460     0.007031     0.006131
   1949       29   0.005614     0.006364     0.005937
   1949       30   0.004616     0.006957     0.005637
   1949       31   0.006921     0.007019     0.006964
   1949       32   0.005611     0.008363     0.006836
   1949       33   0.005284     0.008595     0.006786
   1949       34   0.008460     0.008071     0.008284
   1949       35   0.006326     0.007173     0.006711
   1949       36   0.006409     0.008002     0.007134
   1949       37   0.006325     0.007323     0.006776
   1949       38   0.006293     0.008377     0.007246
   1949       39   0.005463     0.006658     0.006017
   1949       40   0.007862     0.009402     0.008582
   1949       41   0.007741     0.008982     0.008323
   1949       42   0.007954     0.008015     0.007983
   1949       43   0.006193     0.008334     0.007244
   1949       44   0.006428     0.009247     0.007793
   1949       45   0.006736     0.009817     0.008240
   1949       46   0.006437     0.010229     0.008295
   1949       47   0.008737     0.010811     0.009758
   1949       48   0.007572     0.011273     0.009380
   1949       49   0.010552     0.013327     0.011916
   1949       50   0.009151     0.011920     0.010517
   1949       51   0.008865     0.015403     0.012074
   1949       52   0.009927     0.012545     0.011220
   1949       53   0.012288     0.015009     0.013630
   1949       54   0.010934     0.014892     0.012901
   1949       55   0.013388     0.019134     0.016256
   1949       56   0.011920     0.019466     0.015646
   1949       57   0.015939     0.020201     0.018024
   1949       58   0.014921     0.021703     0.018229
   1949       59   0.016122     0.023152     0.019559
   1949       60   0.019132     0.022287     0.020670
   1949       61   0.017725     0.030979     0.024072
   1949       62   0.018081     0.036373     0.026659
   1949       63   0.021860     0.028622     0.024983
   1949       64   0.026122     0.037422     0.031262
   1949       65   0.027898     0.034432     0.030811
   1949       66   0.026604     0.041439     0.033168
   1949       67   0.029095     0.041114     0.034433
   1949       68   0.030598     0.050552     0.039370
   1949       69   0.044325     0.055423     0.049142
   1949       70   0.043588     0.057115     0.049407
   1949       71   0.041566     0.062769     0.050448
   1949       72   0.047979     0.076802     0.059927
   1949       73   0.052258     0.079493     0.063498
   1949       74   0.064888     0.085601     0.073343
   1949       75   0.067930     0.101760     0.081350
   1949       76   0.083683     0.086760     0.084889
   1949       77   0.084426     0.108439     0.093983
   1949       78   0.106825     0.108258     0.107383
   1949       79   0.092745     0.110034     0.099279
   1949       80   0.097942     0.117972     0.105462
   1949       81   0.114662     0.164221     0.133283
   1949       82   0.155620     0.134121     0.147695
   1949       83   0.148421     0.161377     0.153141
   1949       84   0.160596     0.189870     0.171006
   1949       85   0.178084     0.224914     0.194590
   1949       86   0.215099     0.289938     0.240854
   1949       87   0.253513     0.265696     0.257565
   1949       88   0.266189     0.351628     0.294122
   1949       89   0.221759     0.309613     0.251257
   1949       90   0.202961     0.251874     0.218597
   1949       91   0.297916     0.300136     0.298572
   1949       92   0.360794     0.414651     0.374202
   1949       93   0.235174     0.095481     0.207567
   1949       94   0.403542     0.108089     0.333433
   1949       95   0.558717     0.916964     0.662203
   1949       96   0.448934     0.000000     0.325203
   1949       97   0.208841     0.000000     0.165062
   1949       98   0.417246     0.000000     0.308960
   1949       99   0.691244     1.048951     0.894632
   1949      100   0.000000     2.033898     0.519031
   1949      101   0.000000     0.000000     0.000000
   1949      102   0.000000     0.000000     0.000000
   1949      103   0.000000     4.615385     1.209677
   1949      104   0.000000     0.000000     0.000000
   1949      105   0.000000            .     0.000000
   1949      106   0.000000            .     0.000000
   1949      107   0.000000            .     0.000000
   1949      108   0.000000            .     0.000000
   1949      109   0.000000            .     0.000000
   1949      110+  0.000000     0.000000     0.000000
   1950        0   0.049539     0.058688     0.054216
   1950        1   0.014598     0.015082     0.014845
   1950        2   0.010155     0.009389     0.009764
   1950        3   0.007661     0.008105     0.007887
   1950        4   0.006359     0.004610     0.005470
   1950        5   0.003327     0.003352     0.003340
   1950        6   0.002234     0.003034     0.002638
   1950        7   0.001719     0.001688     0.001703
   1950        8   0.001546     0.001873     0.001712
   1950        9   0.001561     0.001188     0.001371
   1950       10   0.001233     0.000995     0.001112
   1950       11   0.001186     0.000843     0.001013
   1950       12   0.001465     0.001389     0.001427
   1950       13   0.001037     0.001315     0.001178
   1950       14   0.001723     0.001288     0.001502
   1950       15   0.001594     0.001713     0.001655
   1950       16   0.002322     0.001246     0.001779
   1950       17   0.001679     0.002230     0.001957
   1950       18   0.002665     0.002602     0.002633
   1950       19   0.002977     0.002934     0.002955
   1950       20   0.002819     0.003724     0.003259
   1950       21   0.003576     0.004626     0.004078
   1950       22   0.004670     0.004420     0.004551
   1950       23   0.005146     0.005167     0.005156
   1950       24   0.004219     0.006326     0.005195
   1950       25   0.005377     0.005763     0.005552
   1950       26   0.005915     0.006929     0.006366
   1950       27   0.005676     0.005292     0.005511
   1950       28   0.005288     0.006511     0.005810
   1950       29   0.004861     0.005669     0.005206
   1950       30   0.004379     0.006213     0.005169
   1950       31   0.005079     0.005832     0.005408
   1950       32   0.004595     0.004368     0.004495
   1950       33   0.005143     0.006017     0.005532
   1950       34   0.006408     0.006214     0.006320
   1950       35   0.006135     0.006899     0.006482
