26.Kyoto.fu, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.076825     0.088455     0.082775
   1947        1   0.036127     0.037659     0.036907
   1947        2   0.015946     0.016792     0.016375
   1947        3   0.012760     0.011228     0.011980
   1947        4   0.005739     0.007407     0.006588
   1947        5   0.004965     0.005441     0.005206
   1947        6   0.003229     0.002750     0.002987
   1947        7   0.002084     0.003501     0.002804
   1947        8   0.002706     0.001991     0.002343
   1947        9   0.001808     0.002235     0.002024
   1947       10   0.001918     0.002215     0.002068
   1947       11   0.001968     0.002089     0.002029
   1947       12   0.002207     0.001493     0.001846
   1947       13   0.001922     0.002312     0.002117
   1947       14   0.001888     0.001776     0.001831
   1947       15   0.002727     0.002403     0.002563
   1947       16   0.003875     0.002933     0.003391
   1947       17   0.004965     0.002897     0.003895
   1947       18   0.006427     0.005340     0.005869
   1947       19   0.007710     0.007276     0.007489
   1947       20   0.009852     0.007995     0.008909
   1947       21   0.007794     0.009699     0.008745
   1947       22   0.008391     0.010177     0.009252
   1947       23   0.008695     0.012225     0.010300
   1947       24   0.009893     0.012551     0.011015
   1947       25   0.007524     0.012264     0.009444
   1947       26   0.006830     0.011817     0.008833
   1947       27   0.009000     0.010745     0.009724
   1947       28   0.007228     0.009550     0.008228
   1947       29   0.007752     0.010636     0.009010
   1947       30   0.009115     0.010678     0.009805
   1947       31   0.008400     0.010208     0.009208
   1947       32   0.007659     0.010906     0.009123
   1947       33   0.008828     0.010320     0.009510
   1947       34   0.007119     0.010295     0.008567
   1947       35   0.007434     0.010685     0.008900
   1947       36   0.006247     0.010989     0.008435
   1947       37   0.009037     0.010160     0.009568
   1947       38   0.006173     0.011211     0.008604
   1947       39   0.006832     0.011456     0.009086
   1947       40   0.006779     0.012249     0.009503
   1947       41   0.007812     0.010298     0.009056
   1947       42   0.009329     0.010334     0.009826
   1947       43   0.008369     0.012830     0.010615
   1947       44   0.008284     0.012516     0.010410
   1947       45   0.008170     0.013762     0.010975
   1947       46   0.008844     0.012260     0.010561
   1947       47   0.008215     0.016168     0.012225
   1947       48   0.008475     0.015690     0.012134
   1947       49   0.012695     0.015530     0.014139
   1947       50   0.012538     0.014982     0.013788
   1947       51   0.011557     0.017328     0.014492
   1947       52   0.013392     0.019225     0.016339
   1947       53   0.015557     0.019336     0.017459
   1947       54   0.012927     0.024033     0.018474
   1947       55   0.014521     0.023929     0.019203
   1947       56   0.017071     0.024147     0.020563
   1947       57   0.016994     0.031784     0.024145
   1947       58   0.023457     0.033813     0.028447
   1947       59   0.021939     0.031645     0.026594
   1947       60   0.021488     0.039781     0.030134
   1947       61   0.024204     0.041508     0.032259
   1947       62   0.028646     0.041747     0.034649
   1947       63   0.027514     0.051178     0.038230
   1947       64   0.032318     0.050486     0.040423
   1947       65   0.035970     0.052490     0.043159
   1947       66   0.045150     0.063511     0.053092
   1947       67   0.040518     0.059782     0.048799
