24.Mie.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.103122     0.120086     0.111838
   1947        1   0.035655     0.035041     0.035340
   1947        2   0.015661     0.015435     0.015546
   1947        3   0.010844     0.011377     0.011114
   1947        4   0.007127     0.008722     0.007936
   1947        5   0.005206     0.005540     0.005375
   1947        6   0.003663     0.003819     0.003742
   1947        7   0.002148     0.003060     0.002609
   1947        8   0.002609     0.002276     0.002441
   1947        9   0.002700     0.002181     0.002437
   1947       10   0.001811     0.002138     0.001976
   1947       11   0.001487     0.001995     0.001740
   1947       12   0.001928     0.000840     0.001395
   1947       13   0.002235     0.001602     0.001926
   1947       14   0.002694     0.002467     0.002583
   1947       15   0.002657     0.003649     0.003144
   1947       16   0.003791     0.003176     0.003487
   1947       17   0.004716     0.004128     0.004426
   1947       18   0.007039     0.006533     0.006791
   1947       19   0.007326     0.007796     0.007555
   1947       20   0.007909     0.007447     0.007684
   1947       21   0.007647     0.010096     0.008833
   1947       22   0.008585     0.009734     0.009127
   1947       23   0.006898     0.009753     0.008138
   1947       24   0.009275     0.010837     0.009895
   1947       25   0.008726     0.011985     0.009985
   1947       26   0.008794     0.010610     0.009512
   1947       27   0.009141     0.009653     0.009354
   1947       28   0.009132     0.008594     0.008898
   1947       29   0.007173     0.009602     0.008237
   1947       30   0.006618     0.007039     0.006804
   1947       31   0.007115     0.006845     0.006995
   1947       32   0.007573     0.009218     0.008304
   1947       33   0.006011     0.008972     0.007341
   1947       34   0.007676     0.007666     0.007672
   1947       35   0.008050     0.008868     0.008420
   1947       36   0.006850     0.007684     0.007236
   1947       37   0.006339     0.009145     0.007654
   1947       38   0.006903     0.008320     0.007573
   1947       39   0.008290     0.008142     0.008220
   1947       40   0.007653     0.010979     0.009276
   1947       41   0.007281     0.008172     0.007721
   1947       42   0.006618     0.008496     0.007541
   1947       43   0.009115     0.008520     0.008819
   1947       44   0.008086     0.011661     0.009855
   1947       45   0.008419     0.011209     0.009810
   1947       46   0.007806     0.010046     0.008923
   1947       47   0.009215     0.010646     0.009931
   1947       48   0.010782     0.012552     0.011673
   1947       49   0.011622     0.014349     0.012989
   1947       50   0.012507     0.013732     0.013122
   1947       51   0.013682     0.018519     0.016112
   1947       52   0.012023     0.019537     0.015791
   1947       53   0.012888     0.018153     0.015528
   1947       54   0.011793     0.018411     0.015095
   1947       55   0.010855     0.019191     0.014966
   1947       56   0.015951     0.023343     0.019582
   1947       57   0.014776     0.022859     0.018738
   1947       58   0.020799     0.027258     0.023982
   1947       59   0.017274     0.030007     0.023480
   1947       60   0.021853     0.033198     0.027283
   1947       61   0.022549     0.031900     0.027019
   1947       62   0.028596     0.042664     0.035250
   1947       63   0.028515     0.041114     0.034362
   1947       64   0.031329     0.047803     0.038894
   1947       65   0.038036     0.054213     0.045455
   1947       66   0.039962     0.056351     0.047467
   1947       67   0.040526     0.061257     0.049906
   1947       68   0.045870     0.057761     0.051264
   1947       69   0.052426     0.068222     0.059622
   1947       70   0.054025     0.078365     0.064876
   1947       71   0.065460     0.089697     0.075918
   1947       72   0.063270     0.107029     0.081794
   1947       73   0.072530     0.096244     0.082598
   1947       74   0.086963     0.099585     0.092234
   1947       75   0.086346     0.132332     0.104837
   1947       76   0.105142     0.116551     0.109702
   1947       77   0.100269     0.178114     0.130786
   1947       78   0.118816     0.145706     0.129212
   1947       79   0.116804     0.146747     0.128075
   1947       80   0.155746     0.177776     0.164087
   1947       81   0.156303     0.239038     0.186780
   1947       82   0.186428     0.247173     0.207702
   1947       83   0.231679     0.267249     0.243829
   1947       84   0.185754     0.248904     0.205888
   1947       85   0.203905     0.211196     0.206148
   1947       86   0.194312     0.236089     0.207795
   1947       87   0.334323     0.321083     0.329843
   1947       88   0.336705     0.343737     0.339199
   1947       89   0.307698     0.333074     0.316099
   1947       90   0.360694     0.322286     0.348480
   1947       91   0.504394     0.280978     0.439656
   1947       92   0.475122     0.543971     0.493493
   1947       93   0.386515     0.262123     0.345523
   1947       94   0.529490     0.223547     0.442898
   1947       95   0.251309     1.530612     0.431732
   1947       96   1.362398     0.000000     1.067236
   1947       97   0.939457     6.000000     1.417769
   1947       98   0.715990     0.000000     0.345224
   1947       99   1.054482     2.400000     1.683817
   1947      100   2.390438     0.000000     1.088929
   1947      101   0.000000     0.000000     0.000000
   1947      102   0.000000            .     0.000000
   1947      103   0.000000            .     0.000000
   1947      104          .            .            .
   1947      105   0.000000            .     0.000000
   1947      106   0.000000            .     0.000000
   1947      107          .            .            .
   1947      108          .            .            .
   1947      109          .            .            .
