04.Miyagi.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.086405     0.102527     0.094627
   1947        1   0.034102     0.036240     0.035188
   1947        2   0.016463     0.018527     0.017514
   1947        3   0.011126     0.010159     0.010633
   1947        4   0.006857     0.007909     0.007391
   1947        5   0.004675     0.004971     0.004825
   1947        6   0.002898     0.004308     0.003614
   1947        7   0.003163     0.003285     0.003225
   1947        8   0.002369     0.002301     0.002335
   1947        9   0.002235     0.002063     0.002147
   1947       10   0.001017     0.001782     0.001405
   1947       11   0.001810     0.001568     0.001688
   1947       12   0.000955     0.001845     0.001408
   1947       13   0.001772     0.001789     0.001781
   1947       14   0.003084     0.002012     0.002531
   1947       15   0.003017     0.002164     0.002573
   1947       16   0.003725     0.002622     0.003140
   1947       17   0.004052     0.003147     0.003567
   1947       18   0.004115     0.003383     0.003727
   1947       19   0.004919     0.005422     0.005183
   1947       20   0.005933     0.006679     0.006320
   1947       21   0.005274     0.005889     0.005586
   1947       22   0.006282     0.007769     0.007010
   1947       23   0.007239     0.008408     0.007794
   1947       24   0.007188     0.009729     0.008373
   1947       25   0.007023     0.008026     0.007488
   1947       26   0.007978     0.008981     0.008442
   1947       27   0.007489     0.008678     0.008043
   1947       28   0.006078     0.006996     0.006508
   1947       29   0.007624     0.008326     0.007953
   1947       30   0.005626     0.007812     0.006648
   1947       31   0.006511     0.007773     0.007100
   1947       32   0.005547     0.007994     0.006692
   1947       33   0.006423     0.007699     0.007018
   1947       34   0.005196     0.006088     0.005611
   1947       35   0.004826     0.007957     0.006300
   1947       36   0.007215     0.010418     0.008747
   1947       37   0.006920     0.008733     0.007799
   1947       38   0.005895     0.007973     0.006914
   1947       39   0.007217     0.008517     0.007858
   1947       40   0.009843     0.008579     0.009204
   1947       41   0.007043     0.009833     0.008454
   1947       42   0.008190     0.008361     0.008275
   1947       43   0.008154     0.011733     0.009954
   1947       44   0.007713     0.011531     0.009631
   1947       45   0.008888     0.010242     0.009570
   1947       46   0.010643     0.009506     0.010071
   1947       47   0.008921     0.010488     0.009715
   1947       48   0.010752     0.010828     0.010791
   1947       49   0.009839     0.012287     0.011080
   1947       50   0.011286     0.012889     0.012101
   1947       51   0.009896     0.014147     0.012047
