45.Miyazaki.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.088119     0.090069     0.089112
   1947        1   0.034707     0.035879     0.035307
   1947        2   0.021319     0.021565     0.021444
   1947        3   0.013307     0.014279     0.013801
   1947        4   0.009532     0.010138     0.009840
   1947        5   0.005793     0.007831     0.006824
   1947        6   0.004663     0.005097     0.004882
   1947        7   0.003149     0.003585     0.003369
   1947        8   0.002776     0.004069     0.003430
   1947        9   0.002437     0.002864     0.002653
   1947       10   0.001990     0.002108     0.002050
   1947       11   0.002130     0.002466     0.002301
   1947       12   0.001438     0.001953     0.001701
   1947       13   0.002132     0.001932     0.002029
   1947       14   0.001766     0.002168     0.001973
   1947       15   0.003300     0.002644     0.002966
   1947       16   0.003425     0.003350     0.003387
   1947       17   0.003837     0.004721     0.004278
   1947       18   0.003228     0.005671     0.004428
   1947       19   0.004201     0.006840     0.005487
   1947       20   0.006348     0.008327     0.007309
   1947       21   0.006790     0.007325     0.007045
   1947       22   0.004916     0.008596     0.006635
   1947       23   0.007798     0.009725     0.008676
   1947       24   0.007717     0.008688     0.008143
   1947       25   0.005740     0.009619     0.007412
   1947       26   0.007492     0.007836     0.007641
   1947       27   0.008747     0.010395     0.009475
   1947       28   0.007030     0.006287     0.006699
   1947       29   0.006364     0.007235     0.006756
   1947       30   0.008258     0.009668     0.008901
   1947       31   0.006226     0.007750     0.006922
   1947       32   0.007262     0.010880     0.008911
   1947       33   0.007560     0.010298     0.008815
   1947       34   0.008318     0.009430     0.008829
   1947       35   0.007731     0.008608     0.008137
   1947       36   0.007797     0.010705     0.009158
   1947       37   0.007546     0.008589     0.008034
   1947       38   0.010641     0.008911     0.009824
   1947       39   0.008524     0.008235     0.008385
   1947       40   0.008202     0.010377     0.009286
   1947       41   0.009077     0.009803     0.009442
   1947       42   0.009274     0.010574     0.009920
   1947       43   0.008376     0.008853     0.008616
   1947       44   0.008928     0.009579     0.009256
   1947       45   0.008903     0.010472     0.009697
   1947       46   0.008731     0.012920     0.010848
   1947       47   0.005504     0.014687     0.010199
   1947       48   0.012586     0.012356     0.012468
   1947       49   0.011029     0.013764     0.012414
   1947       50   0.009298     0.015675     0.012522
   1947       51   0.012216     0.018053     0.015175
   1947       52   0.009965     0.017682     0.013899
   1947       53   0.014181     0.017137     0.015695
   1947       54   0.016218     0.012445     0.014296
   1947       55   0.014483     0.022204     0.018363
   1947       56   0.017910     0.023405     0.020650
   1947       57   0.016649     0.027954     0.022300
   1947       58   0.018996     0.025613     0.022354
   1947       59   0.022228     0.030752     0.026542
   1947       60   0.023619     0.031985     0.027718
   1947       61   0.026180     0.029370     0.027736
   1947       62   0.029291     0.028050     0.028684
   1947       63   0.024123     0.034500     0.029107
   1947       64   0.027085     0.037193     0.031878
