20.Nagano.ken, Death Rates (period 5x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947     0      0.069728     0.083312     0.076681
   1947     1-4    0.012864     0.013493     0.013183
   1947     5-9    0.002503     0.002872     0.002690
   1947    10-14   0.001915     0.001708     0.001808
   1947    15-19   0.003912     0.004329     0.004117
   1947    20-24   0.006290     0.007920     0.007048
   1947    25-29   0.007164     0.008329     0.007676
   1947    30-34   0.007442     0.007780     0.007595
   1947    35-39   0.007046     0.007998     0.007490
   1947    40-44   0.007719     0.008667     0.008178
   1947    45-49   0.008713     0.010174     0.009433
   1947    50-54   0.012409     0.016745     0.014556
   1947    55-59   0.017237     0.025301     0.021178
   1947    60-64   0.028392     0.041526     0.034533
   1947    65-69   0.045029     0.063922     0.053500
   1947    70-74   0.067992     0.099481     0.081330
   1947    75-79   0.111503     0.153772     0.128170
   1947    80-84   0.175806     0.211782     0.187977
   1947    85-89   0.263847     0.341046     0.286817
   1947    90-94   0.374642     0.375234     0.374801
   1947    95-99   0.364853     0.940071     0.458336
   1947   100-104  0.000000     0.000000     0.000000
   1947   105-109  0.000000     0.000000     0.000000
   1947   110+     0.000000     4.000000     3.846154
   1948     0      0.049038     0.061300     0.055292
   1948     1-4    0.008023     0.009204     0.008624
   1948     5-9    0.002011     0.002221     0.002117
   1948    10-14   0.001005     0.001456     0.001238
   1948    15-19   0.003185     0.003145     0.003165
   1948    20-24   0.006346     0.006590     0.006461
   1948    25-29   0.006556     0.007901     0.007148
   1948    30-34   0.006509     0.007638     0.007017
   1948    35-39   0.005588     0.005896     0.005731
   1948    40-44   0.006865     0.007462     0.007151
   1948    45-49   0.008025     0.008940     0.008475
   1948    50-54   0.012064     0.015081     0.013553
   1948    55-59   0.016316     0.020349     0.018290
   1948    60-64   0.024113     0.034144     0.028840
   1948    65-69   0.040660     0.053496     0.046391
   1948    70-74   0.063662     0.082924     0.071835
   1948    75-79   0.095342     0.119791     0.104924
   1948    80-84   0.159693     0.192221     0.170922
   1948    85-89   0.213568     0.316135     0.242342
   1948    90-94   0.273290     0.291588     0.278431
   1948    95-99   0.459653     0.715706     0.495077
   1948   100-104  0.000000     0.750000     0.281822
   1948   105-109  0.000000            .     0.000000
   1948   110+     0.000000            .     0.000000
   1949     0      0.052634     0.057839     0.055290
   1949     1-4    0.008628     0.008743     0.008687
   1949     5-9    0.001533     0.002061     0.001801
   1949    10-14   0.001038     0.001119     0.001079
   1949    15-19   0.002580     0.002427     0.002502
   1949    20-24   0.004634     0.005471     0.005030
   1949    25-29   0.005706     0.006471     0.006046
   1949    30-34   0.005553     0.005190     0.005391
   1949    35-39   0.005282     0.005966     0.005597
   1949    40-44   0.006473     0.006250     0.006367
   1949    45-49   0.007451     0.008618     0.008023
   1949    50-54   0.010524     0.012574     0.011534
   1949    55-59   0.014709     0.019706     0.017161
   1949    60-64   0.024816     0.031950     0.028203
   1949    65-69   0.038306     0.055104     0.045803
   1949    70-74   0.061281     0.081752     0.069979
   1949    75-79   0.093168     0.116127     0.102242
   1949    80-84   0.150151     0.188571     0.163604
   1949    85-89   0.238574     0.265070     0.246049
   1949    90-94   0.359707     0.342100     0.354742
   1949    95-99   0.501732     0.346721     0.475177
   1949   100-104  0.902935     3.000000     1.177240
   1949   105-109  0.000000            .     0.000000
   1949   110+     0.000000            .     0.000000
   1950     0      0.045480     0.050802     0.048213
   1950     1-4    0.007375     0.006596     0.006978
   1950     5-9    0.001782     0.001736     0.001759
   1950    10-14   0.000976     0.001073     0.001025
   1950    15-19   0.001986     0.002186     0.002090
   1950    20-24   0.003774     0.004283     0.004016
   1950    25-29   0.004200     0.005168     0.004636
   1950    30-34   0.004137     0.004891     0.004471
   1950    35-39   0.005026     0.005188     0.005100
   1950    40-44   0.005712     0.005866     0.005785
   1950    45-49   0.006349     0.008140     0.007222
   1950    50-54   0.008976     0.012384     0.010652
   1950    55-59   0.014808     0.019281     0.017005
   1950    60-64   0.022977     0.031949     0.027260
   1950    65-69   0.040697     0.055113     0.047157
   1950    70-74   0.063166     0.079725     0.070199
   1950    75-79   0.094337     0.120436     0.104719
   1950    80-84   0.158891     0.198604     0.172912
   1950    85-89   0.210934     0.277928     0.229838
   1950    90-94   0.387072     0.370411     0.382394
   1950    95-99   0.380667     0.410490     0.386687
   1950   100-104  0.000000            .     0.000000
   1950   105-109  0.000000            .     0.000000
   1950   110+     0.000000            .     0.000000
   1951     0      0.041977     0.046453     0.044264
   1951     1-4    0.004981     0.005536     0.005265
   1951     5-9    0.001258     0.001407     0.001334
   1951    10-14   0.000727     0.000812     0.000770
   1951    15-19   0.001442     0.001613     0.001530
   1951    20-24   0.002708     0.003396     0.003040
   1951    25-29   0.003264     0.003900     0.003556
   1951    30-34   0.003905     0.003903     0.003904
   1951    35-39   0.003726     0.003959     0.003832
   1951    40-44   0.004638     0.005532     0.005058
   1951    45-49   0.006790     0.007054     0.006919
   1951    50-54   0.008335     0.010904     0.009596
