42.Nagasaki.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.085994     0.096786     0.091518
   1947        1   0.036172     0.037159     0.036676
   1947        2   0.021129     0.019872     0.020491
   1947        3   0.012859     0.012675     0.012766
   1947        4   0.008505     0.008624     0.008565
   1947        5   0.006213     0.005510     0.005859
   1947        6   0.003934     0.004676     0.004309
   1947        7   0.003850     0.003302     0.003572
   1947        8   0.002114     0.003226     0.002678
   1947        9   0.002483     0.002703     0.002595
   1947       10   0.001775     0.002453     0.002119
   1947       11   0.001516     0.002142     0.001835
   1947       12   0.002120     0.001930     0.002023
   1947       13   0.001853     0.002078     0.001967
   1947       14   0.004017     0.001862     0.002915
   1947       15   0.003710     0.002712     0.003199
   1947       16   0.004415     0.003225     0.003800
   1947       17   0.004800     0.004814     0.004807
   1947       18   0.005353     0.006219     0.005795
   1947       19   0.005583     0.008939     0.007287
   1947       20   0.006571     0.008578     0.007588
   1947       21   0.007599     0.009440     0.008522
   1947       22   0.007191     0.008572     0.007874
   1947       23   0.006894     0.011357     0.009034
   1947       24   0.008153     0.011085     0.009495
   1947       25   0.009468     0.010629     0.009988
   1947       26   0.007202     0.010498     0.008668
   1947       27   0.006679     0.008697     0.007581
   1947       28   0.008314     0.010114     0.009137
   1947       29   0.007506     0.009840     0.008592
   1947       30   0.006856     0.008386     0.007575
   1947       31   0.007329     0.007359     0.007344
   1947       32   0.007376     0.009107     0.008200
   1947       33   0.008100     0.007572     0.007848
   1947       34   0.006447     0.009796     0.008048
   1947       35   0.005927     0.009647     0.007701
   1947       36   0.008790     0.009658     0.009209
   1947       37   0.008590     0.010307     0.009426
   1947       38   0.008982     0.009619     0.009293
   1947       39   0.009346     0.009968     0.009651
   1947       40   0.009948     0.010379     0.010166
   1947       41   0.008952     0.010497     0.009740
   1947       42   0.006936     0.010861     0.008905
   1947       43   0.009858     0.011797     0.010844
   1947       44   0.008569     0.010914     0.009767
   1947       45   0.007573     0.009858     0.008745
   1947       46   0.010033     0.013323     0.011724
   1947       47   0.009817     0.015580     0.012766
   1947       48   0.009072     0.013191     0.011159
   1947       49   0.011311     0.013785     0.012560
   1947       50   0.011447     0.014368     0.012928
   1947       51   0.013324     0.018425     0.015896
   1947       52   0.012871     0.015011     0.013955
   1947       53   0.014498     0.017364     0.015949
   1947       54   0.012957     0.023893     0.018350
   1947       55   0.017128     0.025172     0.021033
   1947       56   0.016443     0.026313     0.021240
   1947       57   0.016063     0.026885     0.021355
   1947       58   0.022043     0.028347     0.025137
   1947       59   0.018280     0.031388     0.024571
   1947       60   0.021818     0.035888     0.028411
   1947       61   0.019441     0.036904     0.027588
   1947       62   0.027237     0.037935     0.032214
   1947       63   0.032243     0.043221     0.037268
   1947       64   0.036204     0.050627     0.042672
   1947       65   0.035015     0.061239     0.046806
   1947       66   0.039466     0.055922     0.046753
   1947       67   0.035134     0.060010     0.045938
   1947       68   0.045410     0.067521     0.054976
   1947       69   0.052716     0.067715     0.059071
   1947       70   0.049418     0.082956     0.063365
   1947       71   0.059523     0.088506     0.071377
   1947       72   0.053153     0.081794     0.064679
