29.Nara.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.110052     0.130817     0.120751
   1947        1   0.032281     0.036751     0.034590
   1947        2   0.017195     0.014989     0.016067
   1947        3   0.011338     0.011414     0.011377
   1947        4   0.006309     0.005975     0.006139
   1947        5   0.004113     0.005535     0.004830
   1947        6   0.003665     0.003529     0.003597
   1947        7   0.003889     0.005188     0.004541
   1947        8   0.002315     0.003286     0.002804
   1947        9   0.002487     0.003081     0.002787
   1947       10   0.001337     0.001920     0.001631
   1947       11   0.002065     0.002184     0.002125
   1947       12   0.001844     0.002128     0.001985
   1947       13   0.001362     0.002683     0.002012
   1947       14   0.002040     0.001840     0.001941
   1947       15   0.002653     0.002698     0.002676
   1947       16   0.003653     0.002308     0.002986
   1947       17   0.006521     0.005738     0.006134
   1947       18   0.005935     0.008774     0.007338
   1947       19   0.008268     0.006179     0.007241
   1947       20   0.008334     0.008613     0.008470
   1947       21   0.008742     0.007633     0.008210
   1947       22   0.008350     0.008789     0.008558
   1947       23   0.010787     0.010821     0.010803
   1947       24   0.007986     0.009819     0.008808
   1947       25   0.010228     0.009105     0.009736
   1947       26   0.007397     0.008248     0.007756
   1947       27   0.010491     0.009551     0.010094
   1947       28   0.011013     0.009170     0.010206
   1947       29   0.010204     0.010121     0.010168
   1947       30   0.006123     0.007820     0.006843
   1947       31   0.007821     0.010712     0.009074
   1947       32   0.006605     0.009233     0.007753
   1947       33   0.008546     0.011448     0.009816
   1947       34   0.008945     0.007432     0.008279
   1947       35   0.008038     0.010741     0.009239
   1947       36   0.008713     0.012203     0.010304
   1947       37   0.007875     0.008025     0.007945
   1947       38   0.009779     0.007913     0.008913
   1947       39   0.006829     0.009882     0.008253
   1947       40   0.010307     0.010779     0.010538
   1947       41   0.009841     0.011677     0.010755
   1947       42   0.007009     0.012481     0.009702
   1947       43   0.009094     0.013339     0.011212
   1947       44   0.008679     0.014213     0.011433
   1947       45   0.009300     0.013854     0.011595
   1947       46   0.011351     0.013565     0.012471
   1947       47   0.011328     0.017626     0.014493
   1947       48   0.010504     0.017001     0.013766
   1947       49   0.013353     0.018774     0.016075
   1947       50   0.011934     0.017742     0.014863
   1947       51   0.015789     0.017501     0.016654
   1947       52   0.012779     0.019753     0.016311
   1947       53   0.013276     0.020000     0.016701
   1947       54   0.016218     0.026538     0.021448
   1947       55   0.014166     0.026367     0.020243
   1947       56   0.015416     0.026431     0.020751
   1947       57   0.020279     0.028744     0.024337
   1947       58   0.019880     0.035247     0.027419
   1947       59   0.021384     0.038601     0.029860
   1947       60   0.024305     0.044145     0.033903
   1947       61   0.024792     0.042009     0.033078
   1947       62   0.027673     0.044546     0.035588
   1947       63   0.027626     0.058915     0.041976
   1947       64   0.031103     0.069204     0.048547
   1947       65   0.035091     0.063434     0.047830
   1947       66   0.046058     0.064463     0.054241
   1947       67   0.041656     0.075772     0.056911
   1947       68   0.050071     0.064522     0.056494
   1947       69   0.043538     0.078149     0.058517
   1947       70   0.058781     0.080176     0.067880
   1947       71   0.078489     0.100498     0.087761
   1947       72   0.074921     0.102527     0.086135
   1947       73   0.088366     0.099153     0.092638
   1947       74   0.077899     0.102341     0.087708
   1947       75   0.083343     0.121730     0.098699
   1947       76   0.106101     0.128619     0.114620
   1947       77   0.115613     0.133486     0.122345
   1947       78   0.125662     0.143033     0.132106
   1947       79   0.131333     0.232998     0.165787
   1947       80   0.154989     0.245103     0.184425
   1947       81   0.168875     0.181247     0.172897
   1947       82   0.191770     0.218281     0.200683
   1947       83   0.220107     0.316202     0.250782
   1947       84   0.183165     0.235179     0.197743
   1947       85   0.253751     0.260530     0.255413
   1947       86   0.165432     0.149432     0.161366
   1947       87   0.334790     0.349892     0.338582
   1947       88   0.293080     0.366067     0.309324
   1947       89   0.390261     0.733159     0.458501
   1947       90   0.375351     0.253149     0.347337
   1947       91   0.152194     0.620370     0.218285
   1947       92   0.393765     0.000000     0.363878
   1947       93   0.642933     0.917431     0.730143
   1947       94   0.000000     0.000000     0.000000
   1947       95   0.000000     0.000000     0.000000
   1947       96   0.000000            .     0.000000
   1947       97   0.000000            .     0.000000
   1947       98   0.000000     0.000000     0.000000
   1947       99   0.000000     0.000000     0.000000
   1947      100   0.000000            .     0.000000
   1947      101   0.000000            .     0.000000
   1947      102   0.000000            .     0.000000
   1947      103   0.000000            .     0.000000
   1947      104          .            .            .
   1947      105          .            .            .
   1947      106          .            .            .
   1947      107          .            .            .
   1947      108          .            .            .
   1947      109          .            .            .
   1947      110+  2.790698            .     2.790698
   1948        0   0.070173     0.075989     0.073137
   1948        1   0.022585     0.021974     0.022272
   1948        2   0.005585     0.008093     0.006880
   1948        3   0.005474     0.005521     0.005498
   1948        4   0.004608     0.003576     0.004082
   1948        5   0.001859     0.003355     0.002620
   1948        6   0.001999     0.002427     0.002215
   1948        7   0.001183     0.001414     0.001299
   1948        8   0.001743     0.002665     0.002205
   1948        9   0.001591     0.001287     0.001438
   1948       10   0.000654     0.001670     0.001167
   1948       11   0.001215     0.001200     0.001208
   1948       12   0.001214     0.001579     0.001396
   1948       13   0.001228     0.001253     0.001241
   1948       14   0.001237     0.002300     0.001760
   1948       15   0.001439     0.002333     0.001881
   1948       16   0.002171     0.002823     0.002494
   1948       17   0.003280     0.003084     0.003183
   1948       18   0.003924     0.004956     0.004434
   1948       19   0.004234     0.004341     0.004287
   1948       20   0.007357     0.005074     0.006235
   1948       21   0.009362     0.006899     0.008161
   1948       22   0.009817     0.006578     0.008263
   1948       23   0.009197     0.007808     0.008539
   1948       24   0.010222     0.006838     0.008653
   1948       25   0.007887     0.008069     0.007969
   1948       26   0.005228     0.006930     0.005974
   1948       27   0.005533     0.011392     0.008004
   1948       28   0.006292     0.008610     0.007271
   1948       29   0.007807     0.006865     0.007394
   1948       30   0.007892     0.008625     0.008207
   1948       31   0.006899     0.005585     0.006342
   1948       32   0.007485     0.007594     0.007532
   1948       33   0.005345     0.006676     0.005926
   1948       34   0.007131     0.010359     0.008543
   1948       35   0.006238     0.008429     0.007201
   1948       36   0.009377     0.008993     0.009206
   1948       37   0.005711     0.009565     0.007467
   1948       38   0.006372     0.009877     0.007994
   1948       39   0.008262     0.007965     0.008124
   1948       40   0.010930     0.008797     0.009934
   1948       41   0.008071     0.011361     0.009678
   1948       42   0.005194     0.011294     0.008223
   1948       43   0.006071     0.009819     0.007912
   1948       44   0.010640     0.011247     0.010942
   1948       45   0.007802     0.009334     0.008563
   1948       46   0.010081     0.013282     0.011692
   1948       47   0.008142     0.009994     0.009077
