15.Niigata.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.084243     0.097805     0.091158
   1947        1   0.033398     0.033881     0.033643
   1947        2   0.015300     0.015630     0.015467
   1947        3   0.011146     0.010989     0.011066
   1947        4   0.006356     0.006469     0.006413
   1947        5   0.004408     0.004871     0.004642
   1947        6   0.003449     0.004044     0.003751
   1947        7   0.003338     0.002995     0.003164
   1947        8   0.002679     0.002313     0.002493
   1947        9   0.001579     0.002252     0.001918
   1947       10   0.002011     0.001832     0.001921
   1947       11   0.001959     0.002300     0.002132
   1947       12   0.002318     0.001381     0.001835
   1947       13   0.002206     0.001997     0.002098
   1947       14   0.002527     0.002276     0.002398
   1947       15   0.003953     0.003155     0.003547
   1947       16   0.004883     0.003537     0.004210
   1947       17   0.005767     0.005039     0.005408
   1947       18   0.005834     0.006411     0.006115
   1947       19   0.006803     0.007339     0.007064
   1947       20   0.007294     0.008464     0.007865
   1947       21   0.007759     0.007553     0.007660
   1947       22   0.008131     0.007313     0.007747
   1947       23   0.009059     0.010026     0.009492
   1947       24   0.008373     0.009596     0.008902
   1947       25   0.009023     0.008552     0.008820
   1947       26   0.007498     0.008776     0.008056
   1947       27   0.006887     0.008990     0.007829
   1947       28   0.008837     0.008886     0.008859
   1947       29   0.008773     0.007889     0.008373
   1947       30   0.007460     0.007292     0.007383
   1947       31   0.007778     0.008632     0.008168
   1947       32   0.008006     0.007739     0.007883
   1947       33   0.006881     0.008508     0.007637
   1947       34   0.007336     0.008017     0.007654
   1947       35   0.007137     0.005920     0.006570
   1947       36   0.008538     0.009551     0.009010
   1947       37   0.007101     0.009864     0.008398
   1947       38   0.006898     0.008913     0.007857
   1947       39   0.008349     0.007625     0.008001
   1947       40   0.006710     0.010344     0.008485
   1947       41   0.010252     0.009483     0.009874
   1947       42   0.008502     0.010160     0.009314
   1947       43   0.007440     0.009240     0.008335
   1947       44   0.008741     0.011834     0.010272
   1947       45   0.009475     0.010652     0.010057
   1947       46   0.008578     0.010771     0.009663
   1947       47   0.011080     0.013079     0.012070
   1947       48   0.009123     0.015369     0.012219
   1947       49   0.010826     0.014140     0.012469
   1947       50   0.011173     0.016258     0.013700
   1947       51   0.012039     0.018589     0.015276
   1947       52   0.014528     0.020504     0.017461
   1947       53   0.015278     0.022799     0.018948
   1947       54   0.015048     0.025011     0.019916
   1947       55   0.016794     0.024150     0.020394
   1947       56   0.014367     0.025771     0.019898
   1947       57   0.018619     0.030529     0.024327
   1947       58   0.021820     0.031916     0.026628
