44.Oita.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.100544     0.112969     0.106884
   1947        1   0.035837     0.037546     0.036707
   1947        2   0.019607     0.023165     0.021409
   1947        3   0.014873     0.013500     0.014179
   1947        4   0.007177     0.008826     0.008011
   1947        5   0.006702     0.006053     0.006372
   1947        6   0.004371     0.004841     0.004610
   1947        7   0.003293     0.003280     0.003286
   1947        8   0.003167     0.002598     0.002878
   1947        9   0.002694     0.002840     0.002768
   1947       10   0.002019     0.002053     0.002036
   1947       11   0.002513     0.001822     0.002165
   1947       12   0.002300     0.002670     0.002485
   1947       13   0.002637     0.003038     0.002837
   1947       14   0.003069     0.002348     0.002711
   1947       15   0.003373     0.003620     0.003494
   1947       16   0.004934     0.003928     0.004454
   1947       17   0.004939     0.005103     0.005016
   1947       18   0.007769     0.006910     0.007367
   1947       19   0.008646     0.008057     0.008371
   1947       20   0.008190     0.009822     0.008950
   1947       21   0.009262     0.010366     0.009770
   1947       22   0.009274     0.013764     0.011305
   1947       23   0.009638     0.010467     0.010002
   1947       24   0.011112     0.008861     0.010153
   1947       25   0.009047     0.010362     0.009606
   1947       26   0.010551     0.011981     0.011163
   1947       27   0.010738     0.011859     0.011229
   1947       28   0.009784     0.008584     0.009250
   1947       29   0.008184     0.013157     0.010387
   1947       30   0.007742     0.009645     0.008590
   1947       31   0.008056     0.010297     0.009066
   1947       32   0.007710     0.008900     0.008249
   1947       33   0.007732     0.009318     0.008446
   1947       34   0.008453     0.009381     0.008868
   1947       35   0.009889     0.010058     0.009965
   1947       36   0.007476     0.008750     0.008058
   1947       37   0.010543     0.012097     0.011267
   1947       38   0.009324     0.010206     0.009738
   1947       39   0.008182     0.009577     0.008842
   1947       40   0.010142     0.012320     0.011202
   1947       41   0.009938     0.010417     0.010172
   1947       42   0.009788     0.008611     0.009220
   1947       43   0.009134     0.011607     0.010343
   1947       44   0.008881     0.013109     0.010948
   1947       45   0.009594     0.014220     0.011889
   1947       46   0.012731     0.013274     0.013003
   1947       47   0.011005     0.013611     0.012312
   1947       48   0.010057     0.012765     0.011427
   1947       49   0.014795     0.016947     0.015881
   1947       50   0.009159     0.018556     0.013877
   1947       51   0.012240     0.020734     0.016501
   1947       52   0.014988     0.022388     0.018714
   1947       53   0.014897     0.017895     0.016410
   1947       54   0.014908     0.022944     0.018942
   1947       55   0.016416     0.023796     0.020076
   1947       56   0.016436     0.029405     0.022826
   1947       57   0.018755     0.023444     0.021083
   1947       58   0.018242     0.030132     0.024188
   1947       59   0.023144     0.032361     0.027705
   1947       60   0.020635     0.039609     0.029894
   1947       61   0.023638     0.042962     0.032984
   1947       62   0.027515     0.049117     0.037784
   1947       63   0.028947     0.047139     0.037466
   1947       64   0.026311     0.044007     0.034623
   1947       65   0.038970     0.054691     0.046319
   1947       66   0.041308     0.051051     0.045834
   1947       67   0.042498     0.059889     0.050512
   1947       68   0.051012     0.072892     0.060877
   1947       69   0.049424     0.074583     0.060537
   1947       70   0.051409     0.085551     0.066344
   1947       71   0.068275     0.070422     0.069220
   1947       72   0.068067     0.089384     0.077414
   1947       73   0.081005     0.103387     0.090668
   1947       74   0.078682     0.101283     0.088182
   1947       75   0.095502     0.115532     0.103915
   1947       76   0.095888     0.116737     0.104811
   1947       77   0.092008     0.138708     0.111588
   1947       78   0.120523     0.157093     0.135249
   1947       79   0.145220     0.169689     0.154895
   1947       80   0.163945     0.155112     0.160520
   1947       81   0.191910     0.187575     0.190265
   1947       82   0.191579     0.197240     0.193679
   1947       83   0.197897     0.202932     0.199741
   1947       84   0.208676     0.293565     0.240163
   1947       85   0.243269     0.213215     0.231875
   1947       86   0.302070     0.304108     0.302835
   1947       87   0.277128     0.334878     0.297067
   1947       88   0.272179     0.435384     0.325774
   1947       89   0.319606     0.560625     0.403120
   1947       90   0.288366     0.418917     0.333941
   1947       91   0.477829     0.601965     0.516960
   1947       92   0.574159     0.624158     0.587627
   1947       93   0.460779     0.731930     0.532516
   1947       94   0.622299     0.486224     0.581607
   1947       95   0.210674     0.411946     0.312446
   1947       96   1.001112     0.586510     0.780437
   1947       97   0.000000     1.243523     0.346721
   1947       98   0.712589     1.395349     0.851466
   1947       99   0.000000     0.000000     0.000000
   1947      100   0.000000     0.000000     0.000000
   1947      101   0.000000     0.000000     0.000000
   1947      102   0.000000     0.000000     0.000000
   1947      103   0.000000            .     0.000000
   1947      104          .            .            .
   1947      105   3.000000            .     3.000000
   1947      106          .            .            .
   1947      107          .            .            .
   1947      108          .            .            .
   1947      109          .            .            .
   1947      110+  0.000000     0.000000     0.000000
   1948        0   0.063974     0.073242     0.068699
   1948        1   0.018346     0.018466     0.018407
   1948        2   0.011813     0.011414     0.011610
   1948        3   0.008931     0.010021     0.009483
