33.Okayama.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.091881     0.103081     0.097618
   1947        1   0.029734     0.032650     0.031221
   1947        2   0.017838     0.017327     0.017579
   1947        3   0.011882     0.012987     0.012442
   1947        4   0.007690     0.006894     0.007284
   1947        5   0.003998     0.005279     0.004650
   1947        6   0.003631     0.003939     0.003788
   1947        7   0.002947     0.004410     0.003690
   1947        8   0.002298     0.003173     0.002740
   1947        9   0.002020     0.002633     0.002330
   1947       10   0.001675     0.001522     0.001597
   1947       11   0.001457     0.002180     0.001822
   1947       12   0.001486     0.002113     0.001797
   1947       13   0.001648     0.001541     0.001595
   1947       14   0.002168     0.001649     0.001916
   1947       15   0.002805     0.002493     0.002655
   1947       16   0.003541     0.002740     0.003162
   1947       17   0.002976     0.004786     0.003826
   1947       18   0.004495     0.006419     0.005401
   1947       19   0.007529     0.007050     0.007301
   1947       20   0.006754     0.009388     0.008015
   1947       21   0.007991     0.009145     0.008542
   1947       22   0.007708     0.010446     0.008996
   1947       23   0.008329     0.008650     0.008474
   1947       24   0.008551     0.008764     0.008643
   1947       25   0.007784     0.009529     0.008531
   1947       26   0.008464     0.011020     0.009556
   1947       27   0.008258     0.009881     0.008957
   1947       28   0.008353     0.009612     0.008904
   1947       29   0.008834     0.010059     0.009372
   1947       30   0.009518     0.010994     0.010174
   1947       31   0.006879     0.008162     0.007461
   1947       32   0.008167     0.009083     0.008590
   1947       33   0.005472     0.008576     0.006923
   1947       34   0.008183     0.006846     0.007561
   1947       35   0.007517     0.008634     0.008033
   1947       36   0.007150     0.009170     0.008084
   1947       37   0.006958     0.009751     0.008248
   1947       38   0.007413     0.009548     0.008423
   1947       39   0.007306     0.009389     0.008314
   1947       40   0.006503     0.009342     0.007920
   1947       41   0.010326     0.010209     0.010267
   1947       42   0.007803     0.009207     0.008500
   1947       43   0.007042     0.010061     0.008542
   1947       44   0.006957     0.010638     0.008760
   1947       45   0.009309     0.010855     0.010069
   1947       46   0.009786     0.011801     0.010786
   1947       47   0.008960     0.011710     0.010349
   1947       48   0.009705     0.012645     0.011204
   1947       49   0.010745     0.015702     0.013275
   1947       50   0.008868     0.012602     0.010790
   1947       51   0.011865     0.018624     0.015350
   1947       52   0.010334     0.015570     0.013026
   1947       53   0.014056     0.018867     0.016514
   1947       54   0.014581     0.018263     0.016448
   1947       55   0.013264     0.020296     0.016841
   1947       56   0.013635     0.021716     0.017734
