47.Okinawa.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1973        0   0.013057     0.016683     0.014915
   1973        1   0.002129     0.002479     0.002308
   1973        2   0.000469     0.001265     0.000875
   1973        3   0.001139     0.001002     0.001069
   1973        4   0.000281     0.000628     0.000458
   1973        5   0.000654     0.000544     0.000598
   1973        6   0.000699     0.000386     0.000540
   1973        7   0.000000     0.000205     0.000104
   1973        8   0.000188     0.000275     0.000232
   1973        9   0.000288     0.000278     0.000283
   1973       10   0.000468     0.000454     0.000461
   1973       11   0.000092     0.000536     0.000318
   1973       12   0.000458     0.000266     0.000361
   1973       13   0.000550     0.000448     0.000498
   1973       14   0.000178     0.001052     0.000619
   1973       15   0.000488     0.000479     0.000483
   1973       16   0.000796     0.000647     0.000720
   1973       17   0.001116     0.001951     0.001550
   1973       18   0.001601     0.001500     0.001549
   1973       19   0.000238     0.002243     0.001270
   1973       20   0.000903     0.001727     0.001325
   1973       21   0.001535     0.002504     0.002033
   1973       22   0.001457     0.002747     0.002122
   1973       23   0.000733     0.001467     0.001114
   1973       24   0.000755     0.000898     0.000829
   1973       25   0.000784     0.002434     0.001637
   1973       26   0.001034     0.001540     0.001294
   1973       27   0.000649     0.002701     0.001699
   1973       28   0.000760     0.001307     0.001037
   1973       29   0.000937     0.003236     0.002095
   1973       30   0.000446     0.001784     0.001121
   1973       31   0.001284     0.001412     0.001349
   1973       32   0.001234     0.001927     0.001582
   1973       33   0.001117     0.001965     0.001543
   1973       34   0.000709     0.002120     0.001422
   1973       35   0.000824     0.002218     0.001528
   1973       36   0.001369     0.001779     0.001576
   1973       37   0.001116     0.002039     0.001588
   1973       38   0.001426     0.002332     0.001893
   1973       39   0.001470     0.002665     0.002085
   1973       40   0.001491     0.001868     0.001685
   1973       41   0.002237     0.002315     0.002277
   1973       42   0.002126     0.002731     0.002433
   1973       43   0.001966     0.003798     0.002885
   1973       44   0.002182     0.003954     0.003045
   1973       45   0.003670     0.005229     0.004402
   1973       46   0.002775     0.004431     0.003514
   1973       47   0.004322     0.007573     0.005724
   1973       48   0.003562     0.005954     0.004586
   1973       49   0.003814     0.008521     0.005836
   1973       50   0.003946     0.005421     0.004590
   1973       51   0.003614     0.008208     0.005635
   1973       52   0.004948     0.006687     0.005712
   1973       53   0.005930     0.009190     0.007336
   1973       54   0.003884     0.010593     0.006734
   1973       55   0.005104     0.012927     0.008431
   1973       56   0.005860     0.009244     0.007305
   1973       57   0.004496     0.015540     0.009242
   1973       58   0.005747     0.012384     0.008577
   1973       59   0.007024     0.012199     0.009206
   1973       60   0.006826     0.014790     0.010204
   1973       61   0.008834     0.015890     0.011875
   1973       62   0.009984     0.016419     0.012739
   1973       63   0.011869     0.021025     0.015690
   1973       64   0.012008     0.021233     0.015814
   1973       65   0.009579     0.018987     0.013447
   1973       66   0.012717     0.029033     0.019448
   1973       67   0.015591     0.030012     0.021434
   1973       68   0.014572     0.034246     0.022517
   1973       69   0.020739     0.037195     0.027309
   1973       70   0.015701     0.039257     0.024546
   1973       71   0.022669     0.034390     0.027014
   1973       72   0.023186     0.035833     0.027866
   1973       73   0.028825     0.048080     0.035816
   1973       74   0.028243     0.045331     0.034732
   1973       75   0.032589     0.058288     0.042539
   1973       76   0.041170     0.061485     0.048889
   1973       77   0.043302     0.059722     0.049425
   1973       78   0.046049     0.084186     0.059761
   1973       79   0.050011     0.071098     0.057297
   1973       80   0.056296     0.100995     0.071147
   1973       81   0.075141     0.137176     0.095275
   1973       82   0.070620     0.097988     0.079271
   1973       83   0.086569     0.082028     0.085179
   1973       84   0.105518     0.139881     0.115817
   1973       85   0.088441     0.123063     0.098137
   1973       86   0.124735     0.187665     0.141275
   1973       87   0.112117     0.150673     0.122283
   1973       88   0.124460     0.156876     0.133152
   1973       89   0.164876     0.165673     0.165089
   1973       90   0.155286     0.190693     0.164202
   1973       91   0.152918     0.151958     0.152687
   1973       92   0.205304     0.430245     0.255452
   1973       93   0.279989     0.268318     0.277105
   1973       94   0.279481     0.232213     0.267390
   1973       95   0.233675     0.162118     0.217663
   1973       96   0.165593     0.171282     0.166699
   1973       97   0.245485     0.515853     0.286456
   1973       98   0.496791     0.400000     0.475910
   1973       99   0.648649     0.214286     0.529412
   1973      100   0.000000     0.000000     0.000000
   1973      101   0.240000     0.000000     0.176471
   1973      102   0.750000     6.000000     1.333333
   1973      103   0.000000     0.000000     0.000000
   1973      104   1.200000     0.000000     0.545455
   1973      105   0.000000     6.000000     1.500000
   1973      106          .            .            .
   1973      107          .            .            .
   1973      108          .            .            .
   1973      109          .            .            .
   1973      110+         .            .            .
   1974        0   0.010568     0.014894     0.012782
   1974        1   0.001435     0.002138     0.001795
   1974        2   0.000185     0.000709     0.000453
   1974        3   0.000751     0.000452     0.000599
   1974        4   0.000190     0.000455     0.000325
   1974        5   0.000187     0.000359     0.000275
   1974        6   0.000187     0.000726     0.000460
   1974        7   0.000200     0.000772     0.000491
   1974        8   0.000000     0.000616     0.000313
   1974        9   0.000563     0.000092     0.000324
   1974       10   0.000384     0.000278     0.000330
   1974       11   0.000187     0.000272     0.000230
   1974       12   0.000368     0.000447     0.000408
   1974       13   0.000092     0.000178     0.000135
   1974       14   0.000183     0.000537     0.000362
   1974       15   0.000624     0.000439     0.000531
   1974       16   0.000684     0.000670     0.000677
   1974       17   0.000455     0.001188     0.000831
   1974       18   0.000497     0.001380     0.000956
   1974       19   0.000618     0.001503     0.001076
   1974       20   0.001078     0.002141     0.001625
   1974       21   0.001357     0.002583     0.001985
   1974       22   0.000662     0.001986     0.001342
   1974       23   0.000831     0.001175     0.001008
   1974       24   0.000628     0.001562     0.001112
   1974       25   0.000431     0.001314     0.000890
   1974       26   0.000894     0.001363     0.001136
   1974       27   0.001627     0.000982     0.001295
   1974       28   0.000649     0.001879     0.001279
   1974       29   0.001709     0.001870     0.001791
   1974       30   0.001256     0.001248     0.001252
   1974       31   0.000593     0.001183     0.000890
   1974       32   0.000568     0.001565     0.001070
   1974       33   0.001782     0.002481     0.002133
   1974       34   0.000980     0.002671     0.001829
   1974       35   0.001418     0.001558     0.001489
   1974       36   0.001377     0.002061     0.001722
   1974       37   0.001923     0.001639     0.001780
   1974       38   0.001399     0.002438     0.001931
   1974       39   0.000856     0.002336     0.001618
   1974       40   0.001330     0.002130     0.001741
   1974       41   0.002243     0.002873     0.002567
   1974       42   0.001120     0.004045     0.002615
   1974       43   0.003614     0.002904     0.003253
   1974       44   0.002638     0.003990     0.003316
   1974       45   0.003538     0.002537     0.003051
   1974       46   0.003857     0.004006     0.003927
   1974       47   0.004269     0.003278     0.003827
   1974       48   0.003155     0.004217     0.003612
   1974       49   0.003997     0.005975     0.004843
   1974       50   0.004247     0.005184     0.004649
   1974       51   0.003965     0.007360     0.005446
   1974       52   0.005120     0.009071     0.006855
   1974       53   0.005438     0.006746     0.006011
   1974       54   0.004463     0.008259     0.006096
   1974       55   0.002604     0.008197     0.004971
   1974       56   0.005603     0.010355     0.007618
   1974       57   0.004662     0.008678     0.006369
   1974       58   0.007184     0.010713     0.008695
   1974       59   0.005788     0.013598     0.009107
   1974       60   0.007589     0.010902     0.008981
   1974       61   0.009179     0.016916     0.012449
   1974       62   0.007021     0.016182     0.010949
   1974       63   0.011073     0.022384     0.015893
   1974       64   0.009794     0.021471     0.014635
   1974       65   0.012456     0.019835     0.015480
   1974       66   0.009682     0.024254     0.015629
   1974       67   0.010654     0.025021     0.016527
   1974       68   0.017301     0.032633     0.023448
   1974       69   0.013269     0.031413     0.020514
   1974       70   0.021901     0.035365     0.027225
   1974       71   0.020849     0.043453     0.029247
   1974       72   0.023560     0.048665     0.032761
   1974       73   0.029961     0.045840     0.035770
   1974       74   0.027158     0.046016     0.033918
   1974       75   0.031718     0.047752     0.037722
   1974       76   0.037091     0.048325     0.041397
   1974       77   0.042764     0.066402     0.051613
   1974       78   0.051011     0.084760     0.063399
   1974       79   0.047905     0.086945     0.061662
   1974       80   0.070975     0.098870     0.080381
   1974       81   0.079134     0.107971     0.088438
   1974       82   0.075475     0.070000     0.073731
   1974       83   0.069509     0.121953     0.085978
   1974       84   0.083646     0.140166     0.100374
   1974       85   0.097322     0.166946     0.117404
   1974       86   0.091831     0.139746     0.104749
   1974       87   0.128313     0.160079     0.136439
   1974       88   0.163519     0.221677     0.178484
   1974       89   0.172794     0.179244     0.174494
   1974       90   0.161086     0.238563     0.181206
   1974       91   0.176815     0.105183     0.158487
   1974       92   0.190881     0.151558     0.181659
   1974       93   0.264609     0.258765     0.263325
   1974       94   0.313497     0.494093     0.355866
   1974       95   0.265463     0.276859     0.268622
   1974       96   0.282686     0.348716     0.297510
   1974       97   0.297097     0.499688     0.333111
   1974       98   0.324324     0.000000     0.284024
   1974       99   0.081081     0.545455     0.187500
   1974      100   0.461538     1.125000     0.617647
   1974      101   0.452830     0.000000     0.352941
   1974      102   0.000000     0.000000     0.000000
   1974      103   1.500000            .     1.500000
   1974      104   0.000000     0.000000     0.000000
   1974      105   3.000000     6.000000     4.000000
   1974      106          .            .            .
   1974      107          .            .            .
   1974      108          .            .            .
   1974      109          .            .            .
   1974      110+         .            .            .
   1975        0   0.010239     0.013747     0.012038
   1975        1   0.001765     0.001941     0.001855
   1975        2   0.000718     0.001285     0.001008
   1975        3   0.000555     0.000533     0.000544
   1975        4   0.000282     0.000905     0.000600
   1975        5   0.000475     0.000820     0.000651
   1975        6   0.000000     0.000720     0.000367
