27.Osaka.fu, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.083774     0.092384     0.088207
   1947        1   0.035435     0.036818     0.036144
   1947        2   0.016563     0.015395     0.015970
   1947        3   0.010928     0.010826     0.010877
   1947        4   0.007144     0.006855     0.006998
   1947        5   0.005014     0.005240     0.005128
   1947        6   0.003684     0.003541     0.003612
   1947        7   0.002577     0.003155     0.002869
   1947        8   0.002581     0.002425     0.002502
   1947        9   0.002031     0.002576     0.002308
   1947       10   0.002107     0.001888     0.001996
   1947       11   0.001975     0.001709     0.001840
   1947       12   0.001692     0.001607     0.001649
   1947       13   0.002169     0.001738     0.001953
   1947       14   0.002600     0.001665     0.002133
   1947       15   0.002645     0.002583     0.002614
   1947       16   0.003546     0.003193     0.003367
   1947       17   0.004852     0.003860     0.004350
   1947       18   0.005967     0.006702     0.006337
   1947       19   0.007229     0.006916     0.007072
   1947       20   0.007480     0.008878     0.008181
   1947       21   0.007837     0.008584     0.008204
   1947       22   0.007398     0.009435     0.008373
   1947       23   0.008082     0.009039     0.008527
   1947       24   0.007137     0.009802     0.008328
   1947       25   0.006588     0.010095     0.008119
   1947       26   0.006874     0.008812     0.007719
   1947       27   0.006812     0.008406     0.007514
   1947       28   0.006366     0.008396     0.007269
   1947       29   0.006411     0.008276     0.007251
   1947       30   0.006639     0.008787     0.007620
   1947       31   0.006682     0.007339     0.006985
   1947       32   0.006144     0.009561     0.007738
   1947       33   0.006620     0.007177     0.006883
   1947       34   0.006808     0.008363     0.007546
   1947       35   0.006788     0.009582     0.008123
   1947       36   0.007113     0.008758     0.007909
   1947       37   0.006722     0.009732     0.008184
   1947       38   0.006437     0.010315     0.008326
   1947       39   0.007826     0.010141     0.008962
   1947       40   0.007783     0.011433     0.009635
   1947       41   0.008951     0.011276     0.010141
   1947       42   0.008573     0.011466     0.010033
   1947       43   0.007698     0.012628     0.010236
   1947       44   0.008612     0.013135     0.010948
   1947       45   0.007901     0.012721     0.010390
   1947       46   0.008156     0.014828     0.011589
   1947       47   0.010255     0.015931     0.013195
   1947       48   0.010710     0.015530     0.013238
   1947       49   0.009617     0.016008     0.012966
   1947       50   0.012347     0.018444     0.015549
   1947       51   0.013259     0.020049     0.016822
   1947       52   0.013195     0.023125     0.018414
   1947       53   0.013082     0.021899     0.017706
   1947       54   0.014160     0.022190     0.018325
   1947       55   0.012305     0.023660     0.018137
   1947       56   0.015662     0.027826     0.021837
   1947       57   0.018415     0.030727     0.024604
   1947       58   0.019043     0.032847     0.026002
   1947       59   0.024440     0.032807     0.028643
   1947       60   0.026123     0.042317     0.034041
   1947       61   0.026041     0.046370     0.035656
   1947       62   0.025251     0.048125     0.035870
   1947       63   0.029742     0.051022     0.039378
   1947       64   0.030673     0.058727     0.043055
   1947       65   0.034806     0.060210     0.045938
   1947       66   0.045922     0.065557     0.054389
   1947       67   0.040745     0.068139     0.052109
   1947       68   0.045540     0.073082     0.056801
   1947       69   0.050574     0.079903     0.062263
   1947       70   0.060788     0.089045     0.071798
   1947       71   0.063063     0.094641     0.075229
   1947       72   0.068428     0.103913     0.081605
   1947       73   0.073911     0.116209     0.089132
   1947       74   0.083212     0.107499     0.091787
   1947       75   0.102756     0.127102     0.111199
   1947       76   0.108167     0.129588     0.115441
   1947       77   0.118287     0.144447     0.126591
   1947       78   0.109448     0.172746     0.127975
   1947       79   0.147689     0.198761     0.162563
   1947       80   0.148092     0.190163     0.159788
   1947       81   0.139233     0.226498     0.161843
   1947       82   0.163524     0.284446     0.192594
   1947       83   0.212424     0.293149     0.231338
   1947       84   0.186564     0.204827     0.190639
   1947       85   0.199659     0.268881     0.213400
   1947       86   0.249938     0.327273     0.265139
   1947       87   0.235091     0.262268     0.240764
   1947       88   0.278195     0.191913     0.259270
   1947       89   0.296287     0.256901     0.288660
   1947       90   0.411240     0.231212     0.377307
   1947       91   0.473843     0.580794     0.493632
   1947       92   0.550196     0.242754     0.474837
   1947       93   0.441063     0.557984     0.479765
   1947       94   0.396313     0.000000     0.267199
   1947       95   0.363783     0.232739     0.318894
   1947       96   0.261324     0.000000     0.159447
   1947       97   0.000000     0.000000     0.000000
   1947       98   0.000000     0.000000     0.000000
   1947       99   0.000000     0.000000     0.000000
   1947      100   0.000000            .     0.000000
   1947      101   0.000000            .     0.000000
   1947      102   0.000000            .     0.000000
   1947      103   0.000000            .     0.000000
   1947      104          .            .            .
   1947      105   0.000000            .     0.000000
   1947      106   0.000000            .     0.000000
   1947      107          .            .            .
   1947      108          .            .            .
   1947      109          .            .            .
   1947      110+  2.830189     3.000000     2.912621
   1948        0   0.047906     0.056115     0.052113
   1948        1   0.014183     0.014972     0.014589
   1948        2   0.007466     0.007669     0.007570
   1948        3   0.006348     0.004961     0.005644
   1948        4   0.004158     0.004541     0.004352
   1948        5   0.002685     0.003065     0.002877
   1948        6   0.002055     0.002820     0.002441
   1948        7   0.001517     0.001888     0.001705
   1948        8   0.001426     0.002086     0.001759
   1948        9   0.001590     0.001715     0.001653
   1948       10   0.001095     0.001213     0.001155
   1948       11   0.001084     0.001144     0.001114
   1948       12   0.001129     0.001846     0.001492
   1948       13   0.001338     0.001635     0.001488
   1948       14   0.001642     0.001870     0.001756
   1948       15   0.002182     0.001914     0.002048
   1948       16   0.002919     0.002390     0.002654
   1948       17   0.003606     0.002727     0.003161
   1948       18   0.004663     0.004626     0.004644
   1948       19   0.004688     0.006073     0.005385
   1948       20   0.005978     0.006668     0.006324
   1948       21   0.006638     0.007113     0.006876
   1948       22   0.005980     0.007121     0.006541
   1948       23   0.006009     0.008342     0.007124
   1948       24   0.005370     0.008091     0.006634
   1948       25   0.006215     0.006818     0.006484
   1948       26   0.006408     0.007082     0.006702
   1948       27   0.006354     0.006308     0.006334
   1948       28   0.006157     0.007997     0.006967
   1948       29   0.006107     0.007994     0.006947
   1948       30   0.005601     0.007705     0.006547
   1948       31   0.005424     0.006799     0.006052
   1948       32   0.006140     0.006122     0.006132
   1948       33   0.005283     0.008024     0.006560
   1948       34   0.005294     0.007182     0.006184
   1948       35   0.005840     0.007306     0.006536
   1948       36   0.006175     0.007631     0.006870
   1948       37   0.005343     0.006802     0.006048
   1948       38   0.005753     0.007215     0.006462
   1948       39   0.006751     0.007793     0.007258
   1948       40   0.006249     0.008405     0.007306
   1948       41   0.006556     0.009314     0.007953
   1948       42   0.006868     0.009090     0.008004
   1948       43   0.006901     0.009532     0.008227
   1948       44   0.006961     0.009999     0.008522
   1948       45   0.007466     0.010687     0.009127
   1948       46   0.007905     0.011571     0.009794
   1948       47   0.008889     0.011178     0.010064
   1948       48   0.009612     0.013183     0.011458
   1948       49   0.008572     0.012581     0.010670
   1948       50   0.009577     0.012840     0.011283
   1948       51   0.009633     0.015723     0.012823
   1948       52   0.010833     0.017230     0.014179
   1948       53   0.011737     0.019445     0.015773
   1948       54   0.013977     0.021030     0.017664
   1948       55   0.014571     0.020738     0.017756
   1948       56   0.013519     0.023505     0.018625
   1948       57   0.018037     0.025975     0.022046
   1948       58   0.016974     0.027909     0.022439
   1948       59   0.017473     0.029915     0.023710
   1948       60   0.020751     0.030446     0.025596
   1948       61   0.020960     0.033505     0.027046
   1948       62   0.019181     0.034869     0.026530
   1948       63   0.023845     0.041967     0.032163
   1948       64   0.028891     0.039632     0.033707
   1948       65   0.031606     0.047017     0.038335
   1948       66   0.034304     0.048616     0.040510
   1948       67   0.035099     0.058074     0.044895
   1948       68   0.042660     0.055744     0.048037
   1948       69   0.045476     0.058525     0.050737
   1948       70   0.039483     0.067323     0.050420
   1948       71   0.047874     0.073693     0.057768
   1948       72   0.050338     0.078324     0.060937
   1948       73   0.056100     0.082469     0.065697
   1948       74   0.054635     0.098037     0.069934
   1948       75   0.070296     0.084841     0.075339
   1948       76   0.074467     0.120655     0.090201
   1948       77   0.076258     0.109829     0.087419
   1948       78   0.083997     0.114239     0.093338
   1948       79   0.096144     0.110080     0.100112
   1948       80   0.103902     0.132115     0.111990
   1948       81   0.110142     0.170213     0.126200
   1948       82   0.087782     0.156570     0.104763
   1948       83   0.154766     0.204223     0.165960
   1948       84   0.178302     0.258137     0.196116
   1948       85   0.125587     0.131483     0.126876
   1948       86   0.202324     0.240673     0.209687
   1948       87   0.192871     0.109051     0.177309
   1948       88   0.325159     0.354437     0.331433
   1948       89   0.227503     0.135216     0.208148
   1948       90   0.295394     0.183730     0.271816
   1948       91   0.310728     0.435809     0.334715
   1948       92   0.396986     0.377358     0.393577
   1948       93   0.247627     0.981391     0.423834
   1948       94   0.303644     0.194049     0.272826
   1948       95   0.570433     1.286938     0.790739
   1948       96   1.053371     2.037351     1.341282
   1948       97   0.401070     0.562324     0.468201
   1948       98   0.000000     3.133159     0.797342
   1948       99   0.000000     0.000000     0.000000
   1948      100   0.000000     0.000000     0.000000
   1948      101   0.000000            .     0.000000
   1948      102   0.000000            .     0.000000
   1948      103   0.000000            .     0.000000
   1948      104   0.000000            .     0.000000
   1948      105          .            .            .
