41.Saga.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.109298     0.126281     0.117990
   1947        1   0.043430     0.040958     0.042175
   1947        2   0.023067     0.024496     0.023786
   1947        3   0.014334     0.014273     0.014303
   1947        4   0.008788     0.007799     0.008293
   1947        5   0.006297     0.006828     0.006564
   1947        6   0.004832     0.004488     0.004658
   1947        7   0.002466     0.003921     0.003199
   1947        8   0.002552     0.001921     0.002235
   1947        9   0.001278     0.003054     0.002179
   1947       10   0.001627     0.001565     0.001595
   1947       11   0.001359     0.001692     0.001528
   1947       12   0.002640     0.001734     0.002183
   1947       13   0.001489     0.001798     0.001643
   1947       14   0.003282     0.002359     0.002825
   1947       15   0.003879     0.004554     0.004210
   1947       16   0.003403     0.002844     0.003133
   1947       17   0.005975     0.006015     0.005994
   1947       18   0.005573     0.006383     0.005955
   1947       19   0.006832     0.007589     0.007191
   1947       20   0.008529     0.009136     0.008820
   1947       21   0.009724     0.011609     0.010627
   1947       22   0.006021     0.011491     0.008606
   1947       23   0.009313     0.009493     0.009396
   1947       24   0.009776     0.011197     0.010403
   1947       25   0.009541     0.013658     0.011323
   1947       26   0.008891     0.011692     0.010101
   1947       27   0.008885     0.010060     0.009398
   1947       28   0.008715     0.008502     0.008620
   1947       29   0.009817     0.011623     0.010629
   1947       30   0.010337     0.010600     0.010454
   1947       31   0.006925     0.008742     0.007739
   1947       32   0.009087     0.009473     0.009261
   1947       33   0.008626     0.013089     0.010643
   1947       34   0.007427     0.010058     0.008613
   1947       35   0.010700     0.014498     0.012422
   1947       36   0.008853     0.011765     0.010209
   1947       37   0.008806     0.011046     0.009864
   1947       38   0.009321     0.013089     0.011111
   1947       39   0.005742     0.009838     0.007697
   1947       40   0.008908     0.013800     0.011306
   1947       41   0.007754     0.014473     0.011089
   1947       42   0.009474     0.013266     0.011335
   1947       43   0.010165     0.010036     0.010101
   1947       44   0.008578     0.012787     0.010656
   1947       45   0.010189     0.015160     0.012668
   1947       46   0.010346     0.013299     0.011818
   1947       47   0.011094     0.013707     0.012398
   1947       48   0.011350     0.013617     0.012478
   1947       49   0.009894     0.018917     0.014371
   1947       50   0.010953     0.020167     0.015538
   1947       51   0.011893     0.015611     0.013743
   1947       52   0.011623     0.019875     0.015660
   1947       53   0.010345     0.022138     0.016084
   1947       54   0.015124     0.025467     0.020222
   1947       55   0.012609     0.023497     0.018005
   1947       56   0.017345     0.026753     0.021958
   1947       57   0.018608     0.023087     0.020757
   1947       58   0.022382     0.036325     0.029033
   1947       59   0.019904     0.032334     0.025729
   1947       60   0.020132     0.037488     0.028242
   1947       61   0.024849     0.037518     0.030760
   1947       62   0.035214     0.046984     0.040574
   1947       63   0.024097     0.055584     0.038294
   1947       64   0.036814     0.048218     0.041920
   1947       65   0.034917     0.051264     0.042266
   1947       66   0.043554     0.064144     0.052796
   1947       67   0.043723     0.072288     0.056431
   1947       68   0.042248     0.081566     0.059484
   1947       69   0.055297     0.080035     0.065819
   1947       70   0.053574     0.078823     0.064026
   1947       71   0.062419     0.102466     0.079157
   1947       72   0.063062     0.116095     0.084705
   1947       73   0.072605     0.128702     0.094293
   1947       74   0.079299     0.130771     0.099177
   1947       75   0.081014     0.132010     0.101088
   1947       76   0.096008     0.153219     0.118518
   1947       77   0.095999     0.164482     0.121830
   1947       78   0.114744     0.193775     0.143761
   1947       79   0.137037     0.205068     0.161940
   1947       80   0.121740     0.269584     0.174362
   1947       81   0.150171     0.155787     0.152124
   1947       82   0.182859     0.247317     0.205590
   1947       83   0.225046     0.211335     0.220138
   1947       84   0.186033     0.330968     0.236322
   1947       85   0.219308     0.406592     0.280387
   1947       86   0.178476     0.500938     0.278672
   1947       87   0.228402     0.363774     0.264168
   1947       88   0.225315     0.598137     0.331971
   1947       89   0.340545     0.355351     0.345536
   1947       90   0.450608     0.545785     0.482184
