11.Saitama.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.083647     0.097594     0.090768
   1947        1   0.033179     0.031347     0.032246
   1947        2   0.018988     0.019598     0.019297
   1947        3   0.013350     0.015113     0.014241
   1947        4   0.008314     0.009007     0.008664
   1947        5   0.006707     0.006536     0.006621
   1947        6   0.003835     0.003904     0.003870
   1947        7   0.003147     0.003378     0.003264
   1947        8   0.002446     0.002487     0.002467
   1947        9   0.002187     0.002282     0.002235
   1947       10   0.001496     0.001938     0.001719
   1947       11   0.001912     0.001394     0.001652
   1947       12   0.001397     0.001575     0.001485
   1947       13   0.001546     0.001672     0.001608
   1947       14   0.002116     0.002202     0.002158
   1947       15   0.002592     0.003034     0.002809
   1947       16   0.004292     0.003582     0.003944
   1947       17   0.004855     0.004045     0.004458
   1947       18   0.005999     0.004973     0.005498
   1947       19   0.006256     0.005885     0.006074
   1947       20   0.006583     0.007918     0.007240
   1947       21   0.007070     0.008482     0.007758
   1947       22   0.008124     0.008959     0.008520
   1947       23   0.008169     0.008715     0.008417
   1947       24   0.006431     0.007418     0.006864
   1947       25   0.007763     0.008695     0.008167
   1947       26   0.006863     0.007990     0.007355
   1947       27   0.006999     0.008551     0.007691
   1947       28   0.006987     0.008974     0.007886
   1947       29   0.006208     0.009528     0.007712
   1947       30   0.007417     0.006217     0.006870
   1947       31   0.006716     0.005935     0.006357
   1947       32   0.007106     0.007474     0.007278
   1947       33   0.007513     0.006675     0.007119
   1947       34   0.007102     0.007423     0.007253
   1947       35   0.007068     0.006733     0.006910
   1947       36   0.007048     0.007597     0.007312
   1947       37   0.007146     0.006260     0.006714
   1947       38   0.007352     0.005399     0.006387
   1947       39   0.007046     0.008317     0.007679
   1947       40   0.008757     0.007984     0.008364
   1947       41   0.007704     0.006771     0.007226
   1947       42   0.007965     0.008622     0.008298
   1947       43   0.007546     0.009126     0.008359
   1947       44   0.008122     0.008943     0.008545
   1947       45   0.008237     0.009129     0.008697
   1947       46   0.011068     0.010205     0.010625
   1947       47   0.010968     0.010116     0.010529
   1947       48   0.011582     0.012188     0.011896
   1947       49   0.010056     0.014376     0.012273
   1947       50   0.013786     0.011901     0.012822
   1947       51   0.010686     0.015152     0.012947
   1947       52   0.013954     0.015298     0.014633
   1947       53   0.013662     0.017103     0.015405
   1947       54   0.017051     0.018754     0.017907
   1947       55   0.013573     0.019417     0.016514
   1947       56   0.015551     0.020886     0.018216
   1947       57   0.017272     0.020596     0.018914
   1947       58   0.017628     0.027373     0.022450
   1947       59   0.021068     0.031761     0.026321
   1947       60   0.024087     0.033363     0.028571
   1947       61   0.023445     0.035811     0.029325
   1947       62   0.029147     0.045051     0.036611
   1947       63   0.030477     0.039751     0.034764
   1947       64   0.033146     0.047272     0.039601
   1947       65   0.035682     0.056196     0.045078
   1947       66   0.042486     0.060642     0.050776
   1947       67   0.040615     0.063245     0.050760
   1947       68   0.048541     0.070247     0.058120
   1947       69   0.049636     0.074354     0.060456
   1947       70   0.052835     0.084093     0.066132
   1947       71   0.066727     0.083174     0.073577
   1947       72   0.072094     0.092627     0.080639
   1947       73   0.077977     0.097525     0.085940
   1947       74   0.092898     0.126918     0.106311
   1947       75   0.090424     0.125790     0.104382
   1947       76   0.100290     0.140553     0.116086
   1947       77   0.110977     0.168727     0.132690
   1947       78   0.123886     0.146826     0.132313
   1947       79   0.132592     0.167863     0.145133
   1947       80   0.151266     0.173756     0.159112
   1947       81   0.158728     0.198550     0.172052
   1947       82   0.177803     0.253772     0.202633
   1947       83   0.207550     0.183329     0.199604
   1947       84   0.211735     0.253747     0.225069
   1947       85   0.192636     0.270462     0.215232
   1947       86   0.276193     0.333524     0.292812
   1947       87   0.384919     0.373056     0.380997
   1947       88   0.244042     0.469607     0.316323
   1947       89   0.314597     0.395713     0.337690
   1947       90   0.399511     0.392922     0.398008
   1947       91   0.391181     0.538010     0.421009
   1947       92   0.522589     0.588753     0.539123
   1947       93   0.657061     0.194868     0.548775
   1947       94   0.469555     0.000000     0.356444
   1947       95   0.337886     0.652884     0.384100
   1947       96   0.551133     0.722892     0.585938
   1947       97   1.053556            .     1.053556
   1947       98   2.406417            .     2.406417
   1947       99   0.000000            .     0.000000
   1947      100   0.000000            .     0.000000
   1947      101   0.000000            .     0.000000
   1947      102   0.000000     0.000000     0.000000
   1947      103   0.000000     0.000000     0.000000
   1947      104          .            .            .
   1947      105          .            .            .
   1947      106          .            .            .
   1947      107          .            .            .
   1947      108          .            .            .
   1947      109          .            .            .
   1947      110+         .            .            .
   1948        0   0.057259     0.066546     0.062006
   1948        1   0.014984     0.016314     0.015662
   1948        2   0.008529     0.009673     0.009112
   1948        3   0.006688     0.006951     0.006821
   1948        4   0.005492     0.004720     0.005102
   1948        5   0.003548     0.003927     0.003740
   1948        6   0.003132     0.002957     0.003043
   1948        7   0.001743     0.002519     0.002135
   1948        8   0.001969     0.002484     0.002229
   1948        9   0.001318     0.001522     0.001421
   1948       10   0.001072     0.001845     0.001462
   1948       11   0.001539     0.001644     0.001592
   1948       12   0.001488     0.001225     0.001356
   1948       13   0.001266     0.001350     0.001307
   1948       14   0.001820     0.001674     0.001749
   1948       15   0.002208     0.001877     0.002046
   1948       16   0.002870     0.001947     0.002418
   1948       17   0.003831     0.003788     0.003810
   1948       18   0.003888     0.003081     0.003493
   1948       19   0.005974     0.005468     0.005727
   1948       20   0.006235     0.006290     0.006262
   1948       21   0.006463     0.007006     0.006730
   1948       22   0.007008     0.007208     0.007105
   1948       23   0.006674     0.008904     0.007730
   1948       24   0.006503     0.005413     0.006007
   1948       25   0.007057     0.007469     0.007238
   1948       26   0.006950     0.007626     0.007244
   1948       27   0.007206     0.007178     0.007194
   1948       28   0.005886     0.005978     0.005927
   1948       29   0.005700     0.006246     0.005947
   1948       30   0.006172     0.006024     0.006105
   1948       31   0.006271     0.005330     0.005842
   1948       32   0.005639     0.006786     0.006167
   1948       33   0.006184     0.006731     0.006438
   1948       34   0.005105     0.006951     0.005973
   1948       35   0.006556     0.005196     0.005916
   1948       36   0.006809     0.007859     0.007305
   1948       37   0.005909     0.006707     0.006293
   1948       38   0.006457     0.006889     0.006667
   1948       39   0.007563     0.008278     0.007916
   1948       40   0.005619     0.007062     0.006338
   1948       41   0.006683     0.007100     0.006895
   1948       42   0.007751     0.007496     0.007620
   1948       43   0.006532     0.008786     0.007674
   1948       44   0.007795     0.007089     0.007432
   1948       45   0.007587     0.010597     0.009136
   1948       46   0.007100     0.007988     0.007558
   1948       47   0.008133     0.010196     0.009192
   1948       48   0.008406     0.010941     0.009712
   1948       49   0.008137     0.011800     0.010030
   1948       50   0.010262     0.013434     0.011888
   1948       51   0.008060     0.013809     0.010997
   1948       52   0.010781     0.013004     0.011905
   1948       53   0.009239     0.015652     0.012474
   1948       54   0.011378     0.015251     0.013336
   1948       55   0.013448     0.020577     0.017027
   1948       56   0.014308     0.019079     0.016701
   1948       57   0.015782     0.019386     0.017579
   1948       58   0.015489     0.025975     0.020649
   1948       59   0.020014     0.026554     0.023233
   1948       60   0.019378     0.026180     0.022709
   1948       61   0.023025     0.037569     0.030012
   1948       62   0.022042     0.035935     0.028598
   1948       63   0.028897     0.037767     0.033036
   1948       64   0.024988     0.041570     0.032602
   1948       65   0.030694     0.042973     0.036259
   1948       66   0.030412     0.049137     0.038904
   1948       67   0.039595     0.057040     0.047478
   1948       68   0.041720     0.065291     0.052166
   1948       69   0.046282     0.077138     0.059728
   1948       70   0.052715     0.073831     0.061811
   1948       71   0.053088     0.076450     0.062891
   1948       72   0.063592     0.093726     0.075989
   1948       73   0.069353     0.087256     0.076716
   1948       74   0.077321     0.108340     0.089744
   1948       75   0.084750     0.088820     0.086331
   1948       76   0.090834     0.117372     0.101130
   1948       77   0.089531     0.130106     0.105090
   1948       78   0.099392     0.125459     0.109028
   1948       79   0.110609     0.127694     0.116750
   1948       80   0.126695     0.169469     0.141545
   1948       81   0.140804     0.168702     0.150278
   1948       82   0.133671     0.158718     0.141802
   1948       83   0.163279     0.178631     0.168187
   1948       84   0.227541     0.264566     0.239638
   1948       85   0.230489     0.216163     0.226086
   1948       86   0.257936     0.417710     0.301653
   1948       87   0.266306     0.358017     0.291561
   1948       88   0.225385     0.292968     0.245917
   1948       89   0.316627     0.284819     0.306724
   1948       90   0.355358     0.662829     0.438653
   1948       91   0.292701     0.158479     0.267551
   1948       92   0.281522     0.220872     0.269212
   1948       93   0.328440     0.595238     0.392327
   1948       94   0.204988     0.275356     0.224076
   1948       95   1.116972     1.295896     1.156905
   1948       96   0.407747     0.834492     0.491535
   1948       97   0.000000     0.000000     0.000000
   1948       98   2.510460            .     2.510460
   1948       99   0.000000            .     0.000000
   1948      100   0.000000            .     0.000000
   1948      101   0.000000            .     0.000000
   1948      102   0.000000            .     0.000000
   1948      103   0.000000     0.000000     0.000000
   1948      104   0.000000     6.000000     5.084746
   1948      105          .            .            .
   1948      106          .            .            .
   1948      107          .            .            .
   1948      108          .            .            .
   1948      109          .            .            .
   1948      110+         .            .            .
   1949        0   0.063121     0.071290     0.067302
   1949        1   0.017029     0.019488     0.018284
   1949        2   0.013128     0.014935     0.014048
   1949        3   0.008878     0.009188     0.009036
   1949        4   0.005459     0.005154     0.005304
   1949        5   0.003457     0.004621     0.004045
   1949        6   0.002906     0.003261     0.003086
   1949        7   0.002672     0.002164     0.002415
   1949        8   0.001546     0.001357     0.001450
   1949        9   0.001007     0.001328     0.001169
   1949       10   0.001223     0.001061     0.001141
   1949       11   0.001117     0.001230     0.001174
   1949       12   0.001411     0.000969     0.001189
   1949       13   0.001190     0.001225     0.001208
   1949       14   0.001485     0.001575     0.001529
   1949       15   0.001775     0.001434     0.001609
   1949       16   0.002934     0.002300     0.002623
   1949       17   0.002511     0.003376     0.002935
   1949       18   0.003603     0.003154     0.003383
   1949       19   0.004445     0.003706     0.004083
   1949       20   0.004336     0.004591     0.004461
   1949       21   0.004876     0.005302     0.005085
   1949       22   0.005092     0.007631     0.006340
   1949       23   0.006040     0.007143     0.006577
   1949       24   0.005814     0.006715     0.006240
   1949       25   0.006309     0.006959     0.006604
   1949       26   0.006090     0.006297     0.006181
   1949       27   0.005380     0.006781     0.005988
   1949       28   0.005892     0.006503     0.006159
   1949       29   0.005141     0.006887     0.005918
   1949       30   0.005448     0.006702     0.006014
   1949       31   0.005354     0.006051     0.005669
   1949       32   0.004970     0.004597     0.004800
   1949       33   0.004686     0.005749     0.005175
   1949       34   0.006212     0.004692     0.005506
   1949       35   0.004849     0.005235     0.005030
   1949       36   0.006228     0.005547     0.005908
   1949       37   0.005415     0.005799     0.005596
   1949       38   0.006654     0.004264     0.005503
   1949       39   0.004462     0.006155     0.005287
   1949       40   0.006334     0.005373     0.005860
   1949       41   0.007388     0.007274     0.007331
   1949       42   0.007016     0.006574     0.006791
   1949       43   0.006977     0.006855     0.006915
   1949       44   0.006376     0.007970     0.007183
   1949       45   0.006517     0.007718     0.007134
   1949       46   0.007240     0.007487     0.007367
   1949       47   0.007849     0.009943     0.008928
   1949       48   0.007768     0.008283     0.008032
   1949       49   0.008804     0.011356     0.010118
   1949       50   0.010977     0.011057     0.011019
   1949       51   0.008592     0.011797     0.010233
   1949       52   0.011449     0.013488     0.012489
   1949       53   0.012279     0.015164     0.013735
   1949       54   0.012305     0.016124     0.014227
   1949       55   0.012749     0.019150     0.015977
   1949       56   0.012789     0.018596     0.015696
   1949       57   0.015657     0.021584     0.018623
   1949       58   0.016472     0.025753     0.021087
   1949       59   0.016700     0.029299     0.022860
   1949       60   0.019103     0.024407     0.021705
   1949       61   0.018657     0.030458     0.024405
   1949       62   0.023355     0.034455     0.028650
   1949       63   0.024958     0.035702     0.029999
   1949       64   0.026501     0.048827     0.036845
   1949       65   0.031780     0.051287     0.040642
   1949       66   0.039820     0.050793     0.044752
   1949       67   0.041858     0.056842     0.048598
   1949       68   0.037715     0.067149     0.050846
   1949       69   0.041646     0.068516     0.053382
   1949       70   0.050222     0.072070     0.059617
   1949       71   0.052887     0.082354     0.065404
   1949       72   0.064960     0.084996     0.073234
