25.Shiga.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.101997     0.113771     0.108012
   1947        1   0.046724     0.051440     0.049118
   1947        2   0.021260     0.021190     0.021225
   1947        3   0.013794     0.013494     0.013642
   1947        4   0.007254     0.006603     0.006923
   1947        5   0.004557     0.004997     0.004781
   1947        6   0.004751     0.003883     0.004310
   1947        7   0.003060     0.004211     0.003645
   1947        8   0.001771     0.002310     0.002046
   1947        9   0.003202     0.002099     0.002641
   1947       10   0.001178     0.001353     0.001267
   1947       11   0.001373     0.002024     0.001697
   1947       12   0.002489     0.001922     0.002217
   1947       13   0.001061     0.001662     0.001345
   1947       14   0.002662     0.002633     0.002648
   1947       15   0.002719     0.002845     0.002781
   1947       16   0.003211     0.003817     0.003508
   1947       17   0.004627     0.004609     0.004618
   1947       18   0.007794     0.005570     0.006712
   1947       19   0.009444     0.007208     0.008346
   1947       20   0.009087     0.008602     0.008847
   1947       21   0.006913     0.008793     0.007830
   1947       22   0.008898     0.009307     0.009093
   1947       23   0.009484     0.010698     0.010025
   1947       24   0.012110     0.010829     0.011593
   1947       25   0.008263     0.011056     0.009362
   1947       26   0.009111     0.010374     0.009625
   1947       27   0.006833     0.009930     0.008147
   1947       28   0.007539     0.009651     0.008453
   1947       29   0.009705     0.009060     0.009428
   1947       30   0.008054     0.010425     0.009075
   1947       31   0.009549     0.009676     0.009605
   1947       32   0.007812     0.009090     0.008382
   1947       33   0.008525     0.008996     0.008734
   1947       34   0.007849     0.008338     0.008066
   1947       35   0.006406     0.012300     0.009056
   1947       36   0.008647     0.008975     0.008798
   1947       37   0.010973     0.013564     0.012182
   1947       38   0.009580     0.010144     0.009846
   1947       39   0.008696     0.010113     0.009366
   1947       40   0.008082     0.011802     0.009899
   1947       41   0.008997     0.008116     0.008563
   1947       42   0.008510     0.010093     0.009282
   1947       43   0.008570     0.012759     0.010645
   1947       44   0.010326     0.012277     0.011292
   1947       45   0.012166     0.012515     0.012339
   1947       46   0.010215     0.013487     0.011845
   1947       47   0.010948     0.011965     0.011461
   1947       48   0.012158     0.012984     0.012577
   1947       49   0.011728     0.015099     0.013425
   1947       50   0.012361     0.014485     0.013424
   1947       51   0.010930     0.019886     0.015416
   1947       52   0.010525     0.022438     0.016519
   1947       53   0.014923     0.024528     0.019759
   1947       54   0.017317     0.026371     0.021798
   1947       55   0.018918     0.019194     0.019053
   1947       56   0.017331     0.025247     0.021175
   1947       57   0.017147     0.030515     0.023567
   1947       58   0.018161     0.031881     0.024745
   1947       59   0.022985     0.039882     0.031158
   1947       60   0.027896     0.043982     0.035690
   1947       61   0.030007     0.040597     0.035015
   1947       62   0.031304     0.041526     0.036056
   1947       63   0.036577     0.058932     0.046764
   1947       64   0.036693     0.066782     0.050131
   1947       65   0.039951     0.056017     0.047089
   1947       66   0.041065     0.060092     0.049483
   1947       67   0.049426     0.074174     0.060272
   1947       68   0.051887     0.076344     0.062416
   1947       69   0.061164     0.082336     0.070087
   1947       70   0.059166     0.097701     0.075352
   1947       71   0.075466     0.112302     0.090767
   1947       72   0.074768     0.100071     0.084923
   1947       73   0.098546     0.114128     0.104712
   1947       74   0.099798     0.136745     0.114094
   1947       75   0.095743     0.149942     0.116384
   1947       76   0.118594     0.154177     0.131728
   1947       77   0.108153     0.146597     0.121247
   1947       78   0.123275     0.184961     0.143303
   1947       79   0.132848     0.180101     0.147850
   1947       80   0.172021     0.195203     0.179373
   1947       81   0.188924     0.229561     0.200771
   1947       82   0.205790     0.273683     0.224182
   1947       83   0.202801     0.241018     0.212722
   1947       84   0.208431     0.378936     0.249212
   1947       85   0.236833     0.351386     0.265713
   1947       86   0.210581     0.521326     0.282059
   1947       87   0.386424     0.308189     0.369988
   1947       88   0.303390     0.549249     0.356598
   1947       89   0.381425     0.286944     0.366347
   1947       90   0.361530     0.269119     0.345702
   1947       91   0.237004     0.528053     0.313899
   1947       92   0.285510     0.220183     0.269518
   1947       93   1.235839     0.000000     1.003974
   1947       94   0.952633     0.000000     0.790687
   1947       95   0.639318     0.000000     0.539326
   1947       96   1.134216     0.000000     0.718563
   1947       97   0.870827     6.000000     1.217862
   1947       98   0.000000     0.000000     0.000000
   1947       99   1.405152     6.000000     2.870813
   1947      100   0.000000            .     0.000000
   1947      101   0.000000            .     0.000000
   1947      102   0.000000            .     0.000000
   1947      103   0.000000            .     0.000000
   1947      104          .            .            .
   1947      105          .            .            .
   1947      106          .            .            .
   1947      107          .            .            .
   1947      108          .            .            .
   1947      109          .            .            .
   1947      110+  0.000000            .     0.000000
   1948        0   0.070241     0.076021     0.073192
   1948        1   0.022487     0.025618     0.024083
   1948        2   0.011819     0.011722     0.011770
   1948        3   0.006547     0.007035     0.006794
   1948        4   0.004918     0.004360     0.004635
   1948        5   0.002811     0.004622     0.003732
   1948        6   0.002806     0.002407     0.002603
   1948        7   0.002011     0.003075     0.002552
   1948        8   0.002005     0.002396     0.002204
   1948        9   0.000634     0.002070     0.001366
   1948       10   0.001604     0.001659     0.001632
   1948       11   0.001501     0.000938     0.001216
   1948       12   0.001270     0.001706     0.001487
   1948       13   0.001870     0.001925     0.001896
   1948       14   0.002445     0.002023     0.002246
   1948       15   0.001708     0.001948     0.001824
   1948       16   0.002507     0.002282     0.002397
   1948       17   0.003567     0.002990     0.003284
   1948       18   0.003814     0.003626     0.003722
   1948       19   0.006759     0.004449     0.005634
   1948       20   0.006265     0.005956     0.006113
   1948       21   0.006929     0.004929     0.005938
   1948       22   0.008164     0.006604     0.007403
   1948       23   0.006835     0.009226     0.007975
   1948       24   0.007507     0.009159     0.008243
   1948       25   0.009055     0.007364     0.008372
   1948       26   0.005814     0.007519     0.006485
   1948       27   0.007306     0.007279     0.007295
   1948       28   0.006384     0.007113     0.006693
   1948       29   0.006508     0.009490     0.007798
   1948       30   0.006153     0.008659     0.007229
   1948       31   0.004831     0.006857     0.005702
   1948       32   0.005397     0.008452     0.006734
   1948       33   0.008373     0.008748     0.008540
   1948       34   0.005220     0.006112     0.005616
   1948       35   0.004806     0.008628     0.006499
   1948       36   0.006448     0.008987     0.007588
   1948       37   0.006579     0.007375     0.006943
   1948       38   0.007259     0.006632     0.006966
   1948       39   0.008727     0.008559     0.008648
   1948       40   0.008193     0.007226     0.007736
   1948       41   0.006429     0.007633     0.007017
   1948       42   0.005436     0.007474     0.006439
   1948       43   0.005496     0.008571     0.006993
   1948       44   0.006420     0.008814     0.007605
   1948       45   0.006940     0.009530     0.008221
   1948       46   0.008769     0.009536     0.009150
   1948       47   0.008702     0.012953     0.010817
   1948       48   0.008106     0.010160     0.009141
   1948       49   0.012278     0.010957     0.011608
   1948       50   0.007726     0.015799     0.011784
