32.Shimane.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.089586     0.105657     0.097858
   1947        1   0.032151     0.029321     0.030706
   1947        2   0.015136     0.015761     0.015453
   1947        3   0.012133     0.011549     0.011837
   1947        4   0.006479     0.007956     0.007232
   1947        5   0.005373     0.004732     0.005047
   1947        6   0.003628     0.005064     0.004356
   1947        7   0.002516     0.003300     0.002913
   1947        8   0.002525     0.002015     0.002267
   1947        9   0.003046     0.001543     0.002286
   1947       10   0.001392     0.002052     0.001725
   1947       11   0.002505     0.002596     0.002552
   1947       12   0.002061     0.001879     0.001966
   1947       13   0.002726     0.001977     0.002329
   1947       14   0.002669     0.002528     0.002595
   1947       15   0.004868     0.002199     0.003500
   1947       16   0.005654     0.004475     0.005063
   1947       17   0.005410     0.008057     0.006695
   1947       18   0.008331     0.006791     0.007597
   1947       19   0.007728     0.009197     0.008428
   1947       20   0.010034     0.010442     0.010227
   1947       21   0.008457     0.008378     0.008420
   1947       22   0.010716     0.010734     0.010724
   1947       23   0.009005     0.010746     0.009799
   1947       24   0.009910     0.009237     0.009609
   1947       25   0.009532     0.009591     0.009558
   1947       26   0.007422     0.010910     0.008958
   1947       27   0.008549     0.010001     0.009198
   1947       28   0.007823     0.010293     0.008940
   1947       29   0.009379     0.009006     0.009212
   1947       30   0.007408     0.009958     0.008538
   1947       31   0.008473     0.010259     0.009263
   1947       32   0.007860     0.007518     0.007708
   1947       33   0.008810     0.009670     0.009194
   1947       34   0.009949     0.009604     0.009795
   1947       35   0.010529     0.010713     0.010612
   1947       36   0.008495     0.007471     0.008027
   1947       37   0.008030     0.011131     0.009445
   1947       38   0.009292     0.010657     0.009914
   1947       39   0.007431     0.010094     0.008654
   1947       40   0.009266     0.011586     0.010372
   1947       41   0.010201     0.010453     0.010324
   1947       42   0.008975     0.012093     0.010506
   1947       43   0.007218     0.007915     0.007566
   1947       44   0.008217     0.011437     0.009844
   1947       45   0.007769     0.011028     0.009436
   1947       46   0.010398     0.010715     0.010559
   1947       47   0.010339     0.012237     0.011305
   1947       48   0.009097     0.010284     0.009705
   1947       49   0.010454     0.014376     0.012446
   1947       50   0.016383     0.013836     0.015094
   1947       51   0.012479     0.017385     0.014956
   1947       52   0.012672     0.013731     0.013206
   1947       53   0.011974     0.018853     0.015462
   1947       54   0.011412     0.018709     0.015109
   1947       55   0.014862     0.018833     0.016879
   1947       56   0.014179     0.022299     0.018254
   1947       57   0.015757     0.023951     0.019827
   1947       58   0.019574     0.027451     0.023521
   1947       59   0.016374     0.028750     0.022561
   1947       60   0.018001     0.034278     0.025912
   1947       61   0.017996     0.033065     0.025152
   1947       62   0.027255     0.041370     0.033898
   1947       63   0.027987     0.034720     0.031118
   1947       64   0.029867     0.042090     0.035495
   1947       65   0.037532     0.052962     0.044654
   1947       66   0.030586     0.052611     0.040695
   1947       67   0.040483     0.053438     0.046344
   1947       68   0.037123     0.063825     0.049156
   1947       69   0.043159     0.063475     0.052148
   1947       70   0.056869     0.072594     0.063778
   1947       71   0.061970     0.073308     0.067085
   1947       72   0.056055     0.088734     0.070504
