22.Shizuoka.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.077728     0.084972     0.081437
   1947        1   0.029478     0.028754     0.029109
   1947        2   0.015239     0.015015     0.015125
   1947        3   0.009319     0.011644     0.010497
   1947        4   0.006982     0.006863     0.006922
   1947        5   0.004629     0.005112     0.004873
   1947        6   0.003011     0.003642     0.003330
   1947        7   0.002845     0.003182     0.003015
   1947        8   0.001732     0.002506     0.002125
   1947        9   0.001516     0.002035     0.001779
   1947       10   0.001357     0.002005     0.001685
   1947       11   0.001373     0.001450     0.001412
   1947       12   0.001377     0.001553     0.001465
   1947       13   0.001537     0.001548     0.001543
   1947       14   0.002060     0.001848     0.001954
   1947       15   0.001848     0.002191     0.002018
   1947       16   0.002813     0.002451     0.002635
   1947       17   0.003837     0.003871     0.003854
   1947       18   0.003796     0.004632     0.004200
   1947       19   0.005643     0.007246     0.006421
   1947       20   0.005822     0.007084     0.006437
   1947       21   0.005714     0.007599     0.006627
   1947       22   0.006663     0.007332     0.006982
   1947       23   0.006087     0.009285     0.007552
   1947       24   0.006297     0.009982     0.007905
   1947       25   0.007711     0.008937     0.008232
   1947       26   0.005909     0.008957     0.007191
   1947       27   0.008203     0.007936     0.008088
   1947       28   0.005531     0.007111     0.006235
   1947       29   0.006728     0.008662     0.007608
   1947       30   0.006182     0.008018     0.007017
   1947       31   0.006408     0.007774     0.007029
   1947       32   0.006269     0.006884     0.006550
   1947       33   0.005497     0.006377     0.005902
   1947       34   0.006262     0.006115     0.006194
   1947       35   0.005393     0.007217     0.006240
   1947       36   0.006231     0.007731     0.006947
   1947       37   0.006980     0.008109     0.007527
   1947       38   0.005235     0.007430     0.006303
   1947       39   0.006181     0.007566     0.006858
   1947       40   0.007235     0.007786     0.007513
   1947       41   0.005649     0.008389     0.007034
   1947       42   0.006247     0.009288     0.007757
   1947       43   0.006375     0.010712     0.008556
   1947       44   0.008009     0.009177     0.008597
   1947       45   0.007797     0.010000     0.008913
   1947       46   0.008312     0.010039     0.009187
   1947       47   0.008832     0.010979     0.009926
   1947       48   0.010521     0.011814     0.011185
   1947       49   0.008331     0.011976     0.010182
   1947       50   0.009273     0.013089     0.011203
   1947       51   0.009211     0.014785     0.012009
   1947       52   0.010512     0.016123     0.013321
   1947       53   0.012670     0.017957     0.015345
   1947       54   0.011882     0.015161     0.013540
   1947       55   0.013907     0.020194     0.017070
   1947       56   0.014089     0.017909     0.016003
   1947       57   0.014113     0.024107     0.019073
   1947       58   0.017297     0.025326     0.021282
   1947       59   0.017545     0.027235     0.022333
   1947       60   0.022996     0.028739     0.025793
   1947       61   0.022278     0.031616     0.026801
   1947       62   0.024735     0.042607     0.033320
   1947       63   0.027700     0.040986     0.033925
   1947       64   0.031734     0.043458     0.037139
   1947       65   0.030022     0.050854     0.039621
   1947       66   0.034386     0.053380     0.043199
   1947       67   0.037040     0.054562     0.045187
   1947       68   0.039828     0.067265     0.052436
