09.Tochigi.ken, Death Rates (period 5x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947     0      0.079234     0.091937     0.085733
   1947     1-4    0.017695     0.018805     0.018257
   1947     5-9    0.003693     0.003939     0.003818
   1947    10-14   0.001853     0.001835     0.001844
   1947    15-19   0.004390     0.003961     0.004184
   1947    20-24   0.007882     0.008393     0.008121
   1947    25-29   0.007830     0.007875     0.007850
   1947    30-34   0.007614     0.007572     0.007595
   1947    35-39   0.007814     0.008219     0.008010
   1947    40-44   0.008237     0.008243     0.008240
   1947    45-49   0.009302     0.012303     0.010810
   1947    50-54   0.011790     0.016759     0.014267
   1947    55-59   0.016931     0.025470     0.021115
   1947    60-64   0.025596     0.040532     0.032528
   1947    65-69   0.038854     0.064955     0.050183
   1947    70-74   0.065836     0.097525     0.078829
   1947    75-79   0.095668     0.125845     0.106839
   1947    80-84   0.169566     0.202622     0.180173
   1947    85-89   0.252652     0.332413     0.273008
   1947    90-94   0.361860     0.593512     0.421496
   1947    95-99   0.306592     0.983607     0.423071
   1947   100-104  0.655022            .     0.655022
   1947   105-109  0.000000            .     0.000000
   1947   110+     0.000000            .     0.000000
   1948     0      0.048286     0.059450     0.054003
   1948     1-4    0.009413     0.009904     0.009662
   1948     5-9    0.002240     0.002247     0.002244
   1948    10-14   0.001269     0.001328     0.001299
   1948    15-19   0.002669     0.003039     0.002849
   1948    20-24   0.006531     0.008160     0.007302
   1948    25-29   0.006309     0.007751     0.006931
   1948    30-34   0.006056     0.006781     0.006385
   1948    35-39   0.006823     0.006697     0.006762
   1948    40-44   0.007127     0.008342     0.007737
   1948    45-49   0.007684     0.010268     0.008980
   1948    50-54   0.012109     0.014965     0.013533
   1948    55-59   0.016163     0.022956     0.019498
   1948    60-64   0.022912     0.036824     0.029406
   1948    65-69   0.038139     0.056450     0.046095
   1948    70-74   0.060366     0.082400     0.069385
   1948    75-79   0.090233     0.111546     0.098225
   1948    80-84   0.161349     0.195771     0.172513
   1948    85-89   0.249197     0.247708     0.248809
   1948    90-94   0.361666     0.202402     0.321515
   1948    95-99   0.663717     1.297765     0.735595
   1948   100-104  0.000000     0.000000     0.000000
   1948   105-109  0.000000            .     0.000000
   1948   110+     0.000000            .     0.000000
   1949     0      0.053761     0.063493     0.058728
   1949     1-4    0.011458     0.012299     0.011886
   1949     5-9    0.002131     0.002408     0.002271
   1949    10-14   0.001268     0.001044     0.001155
   1949    15-19   0.002553     0.002358     0.002458
   1949    20-24   0.005544     0.005534     0.005539
   1949    25-29   0.006430     0.006701     0.006547
   1949    30-34   0.005730     0.006094     0.005894
   1949    35-39   0.006472     0.006226     0.006356
   1949    40-44   0.006295     0.007429     0.006861
   1949    45-49   0.007153     0.009880     0.008519
   1949    50-54   0.010687     0.014534     0.012604
   1949    55-59   0.014536     0.022101     0.018259
   1949    60-64   0.023326     0.034736     0.028686
   1949    65-69   0.037914     0.056786     0.046165
   1949    70-74   0.056991     0.089730     0.070336
   1949    75-79   0.084410     0.124997     0.099732
   1949    80-84   0.157704     0.209572     0.174478
   1949    85-89   0.214177     0.311230     0.239914
   1949    90-94   0.328111     0.442004     0.355736
   1949    95-99   0.381992     0.326442     0.374036
   1949   100-104  1.015228     0.000000     0.977995
   1949   105-109  0.000000            .     0.000000
   1949   110+     0.000000            .     0.000000
   1950     0      0.052765     0.059623     0.056268
   1950     1-4    0.012928     0.013257     0.013096
   1950     5-9    0.002657     0.002662     0.002659
   1950    10-14   0.001101     0.001256     0.001179
   1950    15-19   0.002183     0.002269     0.002225
   1950    20-24   0.004740     0.005597     0.005149
   1950    25-29   0.005356     0.005817     0.005560
   1950    30-34   0.005245     0.005456     0.005339
   1950    35-39   0.005500     0.006236     0.005845
   1950    40-44   0.007118     0.006838     0.006979
   1950    45-49   0.009051     0.009759     0.009405
   1950    50-54   0.011969     0.013644     0.012805
   1950    55-59   0.015576     0.022375     0.018924
   1950    60-64   0.023032     0.035344     0.028844
   1950    65-69   0.040818     0.060493     0.049488
   1950    70-74   0.066753     0.088985     0.075763
   1950    75-79   0.100273     0.122168     0.108547
   1950    80-84   0.172717     0.197060     0.180635
   1950    85-89   0.244480     0.305860     0.260944
   1950    90-94   0.261296     0.548446     0.321393
   1950    95-99   0.353625     0.336795     0.349741
   1950   100-104  0.000000     0.000000     0.000000
   1950   105-109  0.000000            .     0.000000
   1950   110+     0.000000            .     0.000000
   1951     0      0.050666     0.057163     0.053988
   1951     1-4    0.010514     0.010898     0.010710
   1951     5-9    0.002416     0.002426     0.002421
   1951    10-14   0.000971     0.000905     0.000938
   1951    15-19   0.001566     0.001598     0.001582
   1951    20-24   0.002823     0.003440     0.003118
   1951    25-29   0.004140     0.004463     0.004287
   1951    30-34   0.004000     0.004162     0.004071
   1951    35-39   0.004502     0.005035     0.004748
   1951    40-44   0.005608     0.005793     0.005699
   1951    45-49   0.007069     0.009330     0.008202
   1951    50-54   0.009589     0.013363     0.011475
   1951    55-59   0.013539     0.021422     0.017416
   1951    60-64   0.022202     0.033423     0.027540
   1951    65-69   0.037160     0.056497     0.045729
   1951    70-74   0.063522     0.088032     0.073435
   1951    75-79   0.094613     0.127185     0.106924
   1951    80-84   0.148650     0.242729     0.178844
   1951    85-89   0.232169     0.281866     0.245658
   1951    90-94   0.326296     0.428212     0.344143
   1951    95-99   0.581283     0.245742     0.472794
   1951   100-104  0.352941     0.000000     0.322457
   1951   105-109  0.666667            .     0.666667
   1951   110+     0.428571            .     0.428571
   1952     0      0.046552     0.052059     0.049354
   1952     1-4    0.008830     0.008524     0.008674
   1952     5-9    0.002055     0.001848     0.001950
   1952    10-14   0.000945     0.001125     0.001035
   1952    15-19   0.001359     0.001410     0.001384
   1952    20-24   0.002293     0.002722     0.002500
   1952    25-29   0.003187     0.004061     0.003597
   1952    30-34   0.003957     0.003358     0.003697
   1952    35-39   0.003934     0.004053     0.003988
   1952    40-44   0.005199     0.005059     0.005131
   1952    45-49   0.006773     0.007508     0.007142
   1952    50-54   0.009774     0.013890     0.011831
   1952    55-59   0.014342     0.020066     0.017163
   1952    60-64   0.019270     0.031097     0.024938
   1952    65-69   0.034516     0.053812     0.043100
   1952    70-74   0.056162     0.082014     0.066648
   1952    75-79   0.089709     0.117477     0.100184
   1952    80-84   0.160539     0.184399     0.168206
   1952    85-89   0.220690     0.293472     0.240454
   1952    90-94   0.357606     0.396114     0.364779
   1952    95-99   0.435369     0.471817     0.447932
   1952   100-104  0.834347     0.000000     0.741391
   1952   105-109  0.947368            .     0.947368
   1952   110+     3.000000            .     3.000000
   1953     0      0.046511     0.052519     0.049562
   1953     1-4    0.006958     0.006953     0.006955
   1953     5-9    0.001978     0.001778     0.001876
   1953    10-14   0.000859     0.000971     0.000915
   1953    15-19   0.001384     0.001301     0.001344
   1953    20-24   0.002348     0.002454     0.002399
   1953    25-29   0.002806     0.003249     0.003018
   1953    30-34   0.003384     0.003428     0.003403
   1953    35-39   0.003786     0.003588     0.003696
   1953    40-44   0.004910     0.005237     0.005067
   1953    45-49   0.007087     0.007786     0.007438
   1953    50-54   0.008812     0.011859     0.010334
   1953    55-59   0.013224     0.020327     0.016730
   1953    60-64   0.021472     0.035860     0.028382
   1953    65-69   0.035537     0.057361     0.045325
   1953    70-74   0.059603     0.092233     0.072875
   1953    75-79   0.095170     0.146223     0.114206
   1953    80-84   0.163245     0.191722     0.172649
   1953    85-89   0.262031     0.336561     0.281899
   1953    90-94   0.391114     0.362957     0.385584
   1953    95-99   0.452361     0.396325     0.435487
