36.Tokushima.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.102031     0.121398     0.111909
   1947        1   0.037526     0.033972     0.035710
   1947        2   0.016415     0.017416     0.016922
   1947        3   0.012665     0.011535     0.012099
   1947        4   0.008181     0.007287     0.007730
   1947        5   0.004795     0.005389     0.005096
   1947        6   0.003628     0.004313     0.003974
   1947        7   0.003643     0.002663     0.003149
   1947        8   0.002869     0.002808     0.002838
   1947        9   0.001738     0.002004     0.001872
   1947       10   0.002535     0.002681     0.002608
   1947       11   0.001426     0.002478     0.001959
   1947       12   0.002682     0.001866     0.002267
   1947       13   0.002870     0.002268     0.002566
   1947       14   0.003070     0.002581     0.002824
   1947       15   0.003914     0.003435     0.003674
   1947       16   0.005927     0.003389     0.004681
   1947       17   0.005465     0.005769     0.005611
   1947       18   0.006110     0.005891     0.006006
   1947       19   0.008672     0.008276     0.008482
   1947       20   0.008420     0.008737     0.008573
   1947       21   0.009904     0.009604     0.009760
   1947       22   0.008762     0.009672     0.009191
   1947       23   0.010672     0.012098     0.011331
   1947       24   0.009043     0.011353     0.010077
   1947       25   0.008600     0.012081     0.010125
   1947       26   0.009690     0.010482     0.010038
   1947       27   0.010224     0.009905     0.010082
   1947       28   0.008189     0.013163     0.010415
   1947       29   0.010411     0.010884     0.010621
   1947       30   0.007213     0.009414     0.008181
   1947       31   0.008949     0.009607     0.009234
   1947       32   0.009117     0.007971     0.008613
   1947       33   0.010196     0.010051     0.010131
   1947       34   0.007805     0.007418     0.007631
   1947       35   0.008265     0.007184     0.007784
   1947       36   0.007745     0.008871     0.008256
   1947       37   0.008613     0.009280     0.008923
   1947       38   0.009746     0.010137     0.009929
   1947       39   0.008680     0.010128     0.009373
   1947       40   0.009171     0.009771     0.009465
   1947       41   0.010295     0.009034     0.009678
   1947       42   0.012540     0.008404     0.010525
   1947       43   0.009034     0.010707     0.009869
   1947       44   0.008278     0.010935     0.009622
   1947       45   0.010111     0.013054     0.011611
   1947       46   0.012303     0.010039     0.011154
   1947       47   0.010040     0.013263     0.011695
   1947       48   0.010318     0.013986     0.012221
   1947       49   0.008552     0.017688     0.013279
   1947       50   0.015856     0.014736     0.015281
   1947       51   0.011609     0.015391     0.013518
   1947       52   0.009474     0.023324     0.016430
   1947       53   0.013806     0.018076     0.015986
   1947       54   0.014902     0.021020     0.018019
   1947       55   0.021250     0.018871     0.020054
   1947       56   0.012623     0.019498     0.016090
   1947       57   0.016864     0.034625     0.025711
   1947       58   0.018144     0.031926     0.024955
   1947       59   0.013579     0.025673     0.019512
   1947       60   0.026500     0.031058     0.028715
   1947       61   0.023771     0.029294     0.026457
   1947       62   0.033668     0.040102     0.036807
   1947       63   0.026628     0.042248     0.034121
   1947       64   0.030800     0.050503     0.040023
   1947       65   0.045408     0.051576     0.048309
   1947       66   0.038594     0.065469     0.051206
   1947       67   0.049370     0.048274     0.048858
   1947       68   0.040391     0.055823     0.047549
   1947       69   0.039482     0.072364     0.054459
   1947       70   0.054002     0.051632     0.052947
   1947       71   0.058071     0.069274     0.063133
   1947       72   0.053018     0.090957     0.070038
   1947       73   0.060546     0.089172     0.072894
   1947       74   0.085017     0.108581     0.094981
   1947       75   0.087979     0.112175     0.098314
   1947       76   0.091638     0.092877     0.092164
   1947       77   0.086499     0.101473     0.092741
   1947       78   0.108752     0.141564     0.122223
   1947       79   0.141547     0.152090     0.145795
   1947       80   0.127671     0.170451     0.144656
   1947       81   0.154648     0.198845     0.171871
   1947       82   0.168139     0.227839     0.190564
   1947       83   0.195237     0.307151     0.237418
   1947       84   0.202850     0.218427     0.208660
   1947       85   0.226486     0.215044     0.222448
   1947       86   0.204556     0.255992     0.223246
   1947       87   0.243247     0.323014     0.269910
   1947       88   0.264837     0.299368     0.275953
   1947       89   0.289679     0.225357     0.270034
   1947       90   0.358401     0.361495     0.359298
   1947       91   0.362520     0.375891     0.366596
   1947       92   0.341278     0.213624     0.306951
   1947       93   0.223777     0.424128     0.271879
   1947       94   0.258111     0.126289     0.204801
   1947       95   0.340780     0.310639     0.328048
   1947       96   0.511180     0.000000     0.350272
   1947       97   0.182371     0.000000     0.161725
   1947       98   1.050000     0.000000     0.843925
   1947       99   0.000000     0.000000     0.000000
   1947      100   0.000000     0.000000     0.000000
   1947      101   0.000000            .     0.000000
   1947      102   0.000000            .     0.000000
   1947      103   0.000000            .     0.000000
   1947      104   0.000000            .     0.000000
   1947      105   0.000000            .     0.000000
   1947      106   0.000000            .     0.000000
   1947      107   0.000000            .     0.000000
   1947      108          .            .            .
   1947      109          .            .            .
   1947      110+  2.830189            .     2.830189
   1948        0   0.065224     0.080104     0.072840
   1948        1   0.020984     0.020973     0.020978
   1948        2   0.011802     0.008734     0.010233
   1948        3   0.007390     0.008761     0.008084
   1948        4   0.006232     0.006010     0.006121
   1948        5   0.002513     0.004566     0.003548
   1948        6   0.002544     0.003394     0.002975
   1948        7   0.001913     0.002538     0.002228
   1948        8   0.001667     0.001642     0.001654
   1948        9   0.001213     0.001298     0.001256
   1948       10   0.001329     0.002208     0.001773
   1948       11   0.001951     0.001919     0.001935
   1948       12   0.001834     0.001489     0.001659
   1948       13   0.002472     0.001869     0.002166
   1948       14   0.002320     0.001190     0.001749
   1948       15   0.002748     0.002264     0.002503
   1948       16   0.003578     0.003675     0.003627
   1948       17   0.003279     0.003907     0.003587
   1948       18   0.004144     0.004742     0.004432
   1948       19   0.004173     0.005387     0.004752
   1948       20   0.006157     0.005835     0.006003
   1948       21   0.008870     0.005588     0.007284
   1948       22   0.009721     0.006499     0.008175
   1948       23   0.005977     0.007034     0.006475
   1948       24   0.007808     0.007741     0.007777
   1948       25   0.007562     0.010703     0.008966
   1948       26   0.008171     0.008842     0.008465
   1948       27   0.008948     0.009958     0.009392
   1948       28   0.007154     0.007613     0.007358
   1948       29   0.005945     0.007363     0.006579
   1948       30   0.007677     0.005600     0.006752
   1948       31   0.005810     0.008336     0.006921
   1948       32   0.007569     0.006377     0.007053
   1948       33   0.005939     0.008723     0.007163
   1948       34   0.006302     0.009261     0.007633
   1948       35   0.006248     0.009673     0.007783
   1948       36   0.008681     0.005883     0.007437
   1948       37   0.007415     0.008025     0.007691
   1948       38   0.008681     0.006683     0.007753
   1948       39   0.008053     0.010004     0.008968
   1948       40   0.008546     0.010006     0.009244
   1948       41   0.007889     0.007516     0.007706
   1948       42   0.007315     0.007872     0.007588
   1948       43   0.008974     0.010422     0.009680
   1948       44   0.005129     0.009417     0.007264
   1948       45   0.007439     0.008613     0.008033
   1948       46   0.008805     0.009609     0.009215
   1948       47   0.010679     0.010153     0.010412
   1948       48   0.009325     0.008103     0.008698
   1948       49   0.008275     0.016414     0.012490
   1948       50   0.010244     0.011121     0.010697
   1948       51   0.010311     0.010051     0.010177
   1948       52   0.012593     0.012721     0.012657
   1948       53   0.015143     0.012627     0.013883
   1948       54   0.011939     0.019027     0.015554
   1948       55   0.014418     0.018360     0.016423
   1948       56   0.015702     0.017070     0.016388
   1948       57   0.015361     0.021410     0.018399
   1948       58   0.011946     0.022397     0.017122
   1948       59   0.018106     0.030785     0.024339
   1948       60   0.018071     0.024882     0.021398
   1948       61   0.017903     0.024199     0.020948
   1948       62   0.024306     0.026683     0.025457
   1948       63   0.025992     0.037876     0.031759
   1948       64   0.020786     0.033143     0.026676
   1948       65   0.023632     0.039737     0.031114
   1948       66   0.021615     0.043006     0.031588
   1948       67   0.026924     0.040358     0.033183
   1948       68   0.032830     0.042633     0.037383
   1948       69   0.033224     0.049689     0.040801
   1948       70   0.041873     0.044295     0.042966
   1948       71   0.040211     0.057249     0.047796
   1948       72   0.044723     0.058439     0.050859
   1948       73   0.052917     0.071637     0.061198
   1948       74   0.055931     0.061830     0.058449
   1948       75   0.057976     0.083046     0.068489
   1948       76   0.081028     0.066564     0.074886
   1948       77   0.087231     0.121655     0.101702
   1948       78   0.092850     0.093448     0.093096
   1948       79   0.093250     0.107305     0.098979
   1948       80   0.102144     0.148735     0.120564
   1948       81   0.105045     0.149130     0.122087
   1948       82   0.105942     0.155573     0.124541
   1948       83   0.153999     0.169888     0.159829
   1948       84   0.164306     0.160290     0.162814
   1948       85   0.165627     0.198378     0.177514
   1948       86   0.155863     0.300713     0.205331
   1948       87   0.152440     0.221179     0.176266
   1948       88   0.195761     0.284134     0.224242
   1948       89   0.218718     0.283266     0.238996
   1948       90   0.213628     0.231676     0.219141
   1948       91   0.194435     0.403814     0.251943
   1948       92   0.199512     0.474669     0.281004
   1948       93   0.260855     0.341588     0.283164
   1948       94   0.257262     0.000000     0.192416
   1948       95   0.545852     0.155804     0.385150
   1948       96   0.584036     0.391773     0.488202
   1948       97   0.514801     0.000000     0.328407
   1948       98   0.355661     0.000000     0.284765
   1948       99   0.454890     0.000000     0.345026
   1948      100   0.000000     0.000000     0.000000
   1948      101   0.000000     0.000000     0.000000
   1948      102   0.000000            .     0.000000
   1948      103   0.000000            .     0.000000
   1948      104   0.000000            .     0.000000
   1948      105   0.000000            .     0.000000
   1948      106   0.000000            .     0.000000
   1948      107   0.000000            .     0.000000
   1948      108   0.000000            .     0.000000
   1948      109          .            .            .
   1948      110+  0.000000            .     0.000000
   1949        0   0.059273     0.071781     0.065665
   1949        1   0.014024     0.013512     0.013763
   1949        2   0.011318     0.009573     0.010428
   1949        3   0.007123     0.007287     0.007207
   1949        4   0.005033     0.004795     0.004913
   1949        5   0.003874     0.004156     0.004015
   1949        6   0.002616     0.002385     0.002500
   1949        7   0.001414     0.003218     0.002328
   1949        8   0.002107     0.001601     0.001852
   1949        9   0.001879     0.002055     0.001967
   1949       10   0.001547     0.001190     0.001367
   1949       11   0.002254     0.001909     0.002080
   1949       12   0.000976     0.000672     0.000823
   1949       13   0.001632     0.001390     0.001509
   1949       14   0.001399     0.001974     0.001692
   1949       15   0.002326     0.001624     0.001971
   1949       16   0.004300     0.003024     0.003656
   1949       17   0.002778     0.004030     0.003406
   1949       18   0.003778     0.002908     0.003351
   1949       19   0.006121     0.004628     0.005403
   1949       20   0.004933     0.004731     0.004837
   1949       21   0.004649     0.006701     0.005635
   1949       22   0.007360     0.006465     0.006928
   1949       23   0.008317     0.008284     0.008301
   1949       24   0.006740     0.005629     0.006217
   1949       25   0.009803     0.010401     0.010079
   1949       26   0.006379     0.009646     0.007837
   1949       27   0.006583     0.006579     0.006581
   1949       28   0.006390     0.008148     0.007163
   1949       29   0.007026     0.008107     0.007507
   1949       30   0.006368     0.009322     0.007688
   1949       31   0.005656     0.007757     0.006591
   1949       32   0.005113     0.008861     0.006759
   1949       33   0.005981     0.005701     0.005860
   1949       34   0.004887     0.006938     0.005788
   1949       35   0.006160     0.007776     0.006886
   1949       36   0.006294     0.007975     0.007047
   1949       37   0.006734     0.007517     0.007082
   1949       38   0.006510     0.006002     0.006280
   1949       39   0.006605     0.008073     0.007286
   1949       40   0.007722     0.008521     0.008097
   1949       41   0.006966     0.006049     0.006528
   1949       42   0.007267     0.009697     0.008457
   1949       43   0.008808     0.009930     0.009357
   1949       44   0.005789     0.009782     0.007731
   1949       45   0.007036     0.010210     0.008614
   1949       46   0.009779     0.008687     0.009228
   1949       47   0.009349     0.009697     0.009526
   1949       48   0.007777     0.008531     0.008159
