13.Tokyo.to, Death Rates (period 5x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947     0      0.058971     0.066375     0.062767
   1947     1-4    0.013863     0.014179     0.014023
   1947     5-9    0.002522     0.003069     0.002798
   1947    10-14   0.001369     0.001347     0.001357
   1947    15-19   0.003722     0.003712     0.003717
   1947    20-24   0.005596     0.006357     0.005975
   1947    25-29   0.005081     0.005981     0.005492
   1947    30-34   0.005000     0.006183     0.005579
   1947    35-39   0.005250     0.006622     0.005937
   1947    40-44   0.005964     0.008313     0.007188
   1947    45-49   0.007582     0.010843     0.009302
   1947    50-54   0.010191     0.015341     0.012925
   1947    55-59   0.014122     0.022858     0.018612
   1947    60-64   0.021757     0.036333     0.028751
   1947    65-69   0.034333     0.056290     0.043799
   1947    70-74   0.054406     0.082333     0.065332
   1947    75-79   0.085344     0.117109     0.096482
   1947    80-84   0.137985     0.171640     0.147849
   1947    85-89   0.214597     0.268747     0.227863
   1947    90-94   0.260134     0.378187     0.289115
   1947    95-99   0.509857     1.065719     0.633831
   1947   100-104  0.000000     0.000000     0.000000
   1947   105-109  0.000000            .     0.000000
   1947   110+     0.000000            .     0.000000
   1948     0      0.038397     0.046298     0.042446
   1948     1-4    0.006105     0.006567     0.006340
   1948     5-9    0.001734     0.002154     0.001947
   1948    10-14   0.001396     0.001383     0.001389
   1948    15-19   0.003519     0.003171     0.003333
   1948    20-24   0.005644     0.006203     0.005930
   1948    25-29   0.005090     0.006003     0.005505
   1948    30-34   0.004991     0.005701     0.005335
   1948    35-39   0.004972     0.006283     0.005626
   1948    40-44   0.005800     0.007799     0.006834
   1948    45-49   0.007577     0.009951     0.008823
   1948    50-54   0.009803     0.014674     0.012388
   1948    55-59   0.014225     0.022745     0.018619
   1948    60-64   0.021064     0.033275     0.027009
   1948    65-69   0.033818     0.050712     0.041167
   1948    70-74   0.048569     0.073252     0.058293
   1948    75-79   0.076398     0.105179     0.086558
   1948    80-84   0.126334     0.143924     0.131574
   1948    85-89   0.170525     0.207484     0.179628
   1948    90-94   0.278730     0.269052     0.276471
   1948    95-99   0.458759     0.177672     0.390173
   1948   100-104  0.000000     0.000000     0.000000
   1948   105-109  0.000000            .     0.000000
   1948   110+     0.000000            .     0.000000
   1949     0      0.042160     0.047739     0.045011
   1949     1-4    0.008005     0.008599     0.008309
   1949     5-9    0.001604     0.002080     0.001845
   1949    10-14   0.001273     0.001133     0.001202
   1949    15-19   0.003229     0.002722     0.002959
   1949    20-24   0.004952     0.005522     0.005250
   1949    25-29   0.004898     0.005853     0.005336
   1949    30-34   0.004655     0.004900     0.004772
   1949    35-39   0.005127     0.005876     0.005499
   1949    40-44   0.005875     0.007071     0.006489
   1949    45-49   0.007080     0.009799     0.008501
   1949    50-54   0.010454     0.013384     0.012008
   1949    55-59   0.014139     0.021681     0.018047
   1949    60-64   0.022225     0.032363     0.027218
   1949    65-69   0.033234     0.051579     0.041312
   1949    70-74   0.052166     0.073885     0.060788
   1949    75-79   0.081109     0.102335     0.088660
   1949    80-84   0.122042     0.152276     0.131101
   1949    85-89   0.187332     0.242668     0.201381
   1949    90-94   0.263214     0.326367     0.277458
   1949    95-99   0.410241     0.474308     0.428031
   1949   100-104  0.000000     0.000000     0.000000
   1949   105-109  0.000000            .     0.000000
   1949   110+     0.000000            .     0.000000
   1950     0      0.036966     0.042926     0.040013
   1950     1-4    0.006668     0.006909     0.006791
   1950     5-9    0.001596     0.001983     0.001792
   1950    10-14   0.001077     0.001099     0.001088
   1950    15-19   0.002395     0.002514     0.002458
   1950    20-24   0.004163     0.004391     0.004284
   1950    25-29   0.004257     0.004898     0.004557
   1950    30-34   0.004260     0.004244     0.004252
   1950    35-39   0.004502     0.005366     0.004930
   1950    40-44   0.005389     0.006382     0.005895
   1950    45-49   0.007077     0.008884     0.008017
   1950    50-54   0.009752     0.013296     0.011624
   1950    55-59   0.013830     0.021476     0.017813
   1950    60-64   0.021837     0.033110     0.027430
   1950    65-69   0.036986     0.053673     0.044430
   1950    70-74   0.059728     0.080196     0.067913
   1950    75-79   0.094507     0.126274     0.105854
   1950    80-84   0.139910     0.179924     0.151924
   1950    85-89   0.205754     0.265557     0.220967
   1950    90-94   0.372840     0.326962     0.362948
   1950    95-99   0.404381     0.552588     0.439012
   1950   100-104  0.700525     0.000000     0.665557
   1950   105-109  0.000000            .     0.000000
   1950   110+     0.000000            .     0.000000
   1951     0      0.036866     0.044075     0.040553
   1951     1-4    0.005410     0.005741     0.005579
   1951     5-9    0.001290     0.001570     0.001432
   1951    10-14   0.000872     0.000769     0.000819
   1951    15-19   0.001715     0.001819     0.001771
   1951    20-24   0.002824     0.003009     0.002923
   1951    25-29   0.003062     0.003483     0.003264
   1951    30-34   0.003381     0.003339     0.003362
   1951    35-39   0.003753     0.004088     0.003918
   1951    40-44   0.004665     0.005482     0.005076
   1951    45-49   0.006385     0.007951     0.007198
   1951    50-54   0.009237     0.012313     0.010852
   1951    55-59   0.013536     0.020160     0.016993
