31.Tottori.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.092902     0.102565     0.097871
   1947        1   0.033872     0.033467     0.033666
   1947        2   0.015592     0.014271     0.014917
   1947        3   0.010859     0.013062     0.011982
   1947        4   0.006925     0.004542     0.005717
   1947        5   0.003067     0.004805     0.003951
   1947        6   0.004144     0.004483     0.004316
   1947        7   0.002809     0.004103     0.003459
   1947        8   0.001375     0.002223     0.001800
   1947        9   0.001099     0.001399     0.001249
   1947       10   0.003145     0.002499     0.002819
   1947       11   0.002487     0.001951     0.002214
   1947       12   0.001988     0.002049     0.002019
   1947       13   0.001753     0.001460     0.001601
   1947       14   0.002248     0.002522     0.002391
   1947       15   0.004629     0.002801     0.003697
   1947       16   0.003705     0.003611     0.003659
   1947       17   0.004838     0.003619     0.004247
   1947       18   0.005977     0.007099     0.006514
   1947       19   0.006264     0.005626     0.005959
   1947       20   0.007573     0.008216     0.007881
   1947       21   0.009431     0.007524     0.008523
   1947       22   0.007821     0.008536     0.008159
   1947       23   0.007569     0.010270     0.008798
   1947       24   0.007843     0.008989     0.008337
   1947       25   0.009420     0.010059     0.009689
   1947       26   0.008382     0.012701     0.010175
   1947       27   0.009618     0.010055     0.009802
   1947       28   0.011677     0.014155     0.012743
   1947       29   0.009409     0.007317     0.008493
   1947       30   0.009995     0.007881     0.009039
   1947       31   0.007858     0.007814     0.007838
   1947       32   0.007600     0.007177     0.007406
   1947       33   0.008982     0.010014     0.009455
   1947       34   0.008229     0.008678     0.008433
   1947       35   0.004340     0.010977     0.007366
   1947       36   0.007646     0.010050     0.008762
   1947       37   0.007581     0.011224     0.009299
   1947       38   0.008620     0.012685     0.010569
   1947       39   0.008236     0.008612     0.008416
   1947       40   0.006735     0.011391     0.009013
   1947       41   0.008640     0.013241     0.010901
   1947       42   0.009100     0.009869     0.009476
   1947       43   0.010726     0.010829     0.010778
   1947       44   0.008809     0.011755     0.010261
   1947       45   0.009007     0.009118     0.009062
   1947       46   0.006906     0.015260     0.011066
   1947       47   0.014801     0.016782     0.015773
   1947       48   0.005433     0.011951     0.008643
   1947       49   0.009718     0.018512     0.014047
   1947       50   0.007677     0.015610     0.011564
   1947       51   0.010250     0.014630     0.012385
   1947       52   0.014196     0.013976     0.014088
   1947       53   0.016794     0.020935     0.018835
   1947       54   0.011766     0.017745     0.014710
   1947       55   0.022190     0.023622     0.022899
   1947       56   0.013861     0.019287     0.016528
   1947       57   0.011419     0.018660     0.014952
   1947       58   0.016351     0.024037     0.020150
   1947       59   0.015613     0.028954     0.022063
   1947       60   0.020790     0.031675     0.025887
   1947       61   0.023907     0.037721     0.030268
   1947       62   0.024994     0.035420     0.029709
   1947       63   0.034850     0.045661     0.039748
   1947       64   0.029057     0.041800     0.034789
   1947       65   0.032344     0.043678     0.037437
   1947       66   0.035017     0.058360     0.045466
   1947       67   0.036244     0.062023     0.047693
   1947       68   0.048803     0.078460     0.061683
   1947       69   0.046881     0.073975     0.058457
   1947       70   0.039395     0.076306     0.055229
   1947       71   0.059223     0.075494     0.066111
   1947       72   0.061701     0.073559     0.066511
   1947       73   0.071124     0.110510     0.086662
   1947       74   0.069246     0.104343     0.083134
   1947       75   0.066699     0.087357     0.074514
   1947       76   0.091548     0.122625     0.102887
   1947       77   0.081775     0.141422     0.103908
   1947       78   0.110179     0.140499     0.121108
   1947       79   0.142372     0.172277     0.152514
   1947       80   0.150891     0.198386     0.166945
   1947       81   0.161606     0.189211     0.170705
   1947       82   0.149000     0.233028     0.174990
   1947       83   0.186842     0.195576     0.189531
   1947       84   0.148689     0.156059     0.150881
   1947       85   0.207918     0.310401     0.236792
   1947       86   0.201034     0.198732     0.200342
   1947       87   0.194149     0.390242     0.248877
   1947       88   0.226514     0.218376     0.224302
   1947       89   0.377834     0.580700     0.433846
   1947       90   0.228898     0.374032     0.267079
   1947       91   0.383054     0.188976     0.339475
   1947       92   0.182177     0.152944     0.175469
   1947       93   0.358102     0.363416     0.359856
   1947       94   0.705550     0.606061     0.664636
   1947       95   0.224383     0.000000     0.153218
   1947       96   0.000000     0.000000     0.000000
   1947       97   0.894188     0.000000     0.556070
   1947       98   0.000000     3.614458     1.029160
   1947       99   0.000000     0.000000     0.000000
   1947      100   0.000000     0.000000     0.000000
   1947      101   0.000000            .     0.000000
   1947      102   0.000000            .     0.000000
   1947      103   0.000000            .     0.000000
   1947      104   0.000000            .     0.000000
   1947      105   0.000000            .     0.000000
   1947      106   0.000000            .     0.000000
   1947      107   0.000000            .     0.000000
   1947      108          .            .            .
   1947      109          .            .            .
   1947      110+         .            .            .
   1948        0   0.069098     0.072941     0.071071
   1948        1   0.025645     0.019555     0.022520
   1948        2   0.009143     0.008260     0.008693
   1948        3   0.007463     0.006811     0.007129
   1948        4   0.005166     0.004381     0.004766
   1948        5   0.002871     0.005149     0.004026
   1948        6   0.003224     0.002697     0.002956
   1948        7   0.001930     0.002030     0.001981
   1948        8   0.001490     0.001645     0.001568
   1948        9   0.001204     0.001027     0.001116
   1948       10   0.000629     0.001245     0.000939
   1948       11   0.001951     0.001767     0.001858
   1948       12   0.001402     0.001804     0.001606
   1948       13   0.001328     0.001579     0.001457
   1948       14   0.002812     0.002113     0.002449
   1948       15   0.002602     0.002844     0.002729
   1948       16   0.003269     0.002975     0.003119
   1948       17   0.004607     0.002896     0.003761
   1948       18   0.004140     0.004207     0.004173
   1948       19   0.005466     0.004162     0.004841
   1948       20   0.005933     0.006675     0.006288
   1948       21   0.008004     0.007266     0.007650
   1948       22   0.006521     0.007992     0.007222
   1948       23   0.007685     0.009477     0.008530
   1948       24   0.008435     0.007958     0.008219
   1948       25   0.007078     0.008788     0.007815
   1948       26   0.006754     0.006961     0.006841
   1948       27   0.007182     0.008646     0.007789
   1948       28   0.009018     0.009209     0.009099
   1948       29   0.007019     0.007974     0.007429
   1948       30   0.008249     0.007369     0.007864
   1948       31   0.006290     0.006711     0.006480
   1948       32   0.005361     0.008779     0.006925
   1948       33   0.008683     0.005721     0.007324
   1948       34   0.006730     0.007030     0.006868
   1948       35   0.006210     0.007814     0.006937
   1948       36   0.008221     0.006455     0.007417
   1948       37   0.009574     0.008596     0.009120
   1948       38   0.006278     0.010417     0.008228
   1948       39   0.008968     0.008842     0.008908
   1948       40   0.004865     0.009311     0.006998
   1948       41   0.007104     0.012541     0.009757
   1948       42   0.006270     0.010134     0.008165
   1948       43   0.008154     0.008528     0.008336
   1948       44   0.010141     0.003169     0.006667
   1948       45   0.006914     0.011849     0.009348
   1948       46   0.006481     0.009879     0.008166
   1948       47   0.006966     0.009749     0.008348
   1948       48   0.008825     0.010962     0.009872
   1948       49   0.005845     0.011347     0.008548
   1948       50   0.006398     0.012907     0.009590
   1948       51   0.007742     0.012730     0.010180
   1948       52   0.011847     0.015230     0.013493
   1948       53   0.012384     0.022198     0.017176
   1948       54   0.013906     0.015788     0.014831
   1948       55   0.015632     0.019993     0.017775
   1948       56   0.013419     0.016721     0.015049
   1948       57   0.012589     0.017624     0.015058
   1948       58   0.017609     0.026293     0.021835
   1948       59   0.017043     0.033121     0.024939
   1948       60   0.019187     0.027321     0.023096
   1948       61   0.022710     0.022095     0.022423
   1948       62   0.021159     0.030044     0.025230
   1948       63   0.021287     0.031946     0.026083
   1948       64   0.022648     0.047641     0.033860
   1948       65   0.024077     0.044287     0.033084
   1948       66   0.029874     0.045185     0.036672
   1948       67   0.035700     0.048540     0.041399
   1948       68   0.028235     0.047126     0.036547
   1948       69   0.036317     0.051128     0.042661
   1948       70   0.048741     0.047959     0.048410
   1948       71   0.049738     0.068368     0.057653
   1948       72   0.050448     0.070858     0.059017
   1948       73   0.055869     0.092255     0.070369
   1948       74   0.072681     0.091306     0.079928
   1948       75   0.072347     0.081053     0.075749
   1948       76   0.080041     0.089702     0.083646
   1948       77   0.072251     0.062519     0.068735
   1948       78   0.074875     0.069925     0.073045
   1948       79   0.099060     0.162560     0.121472
   1948       80   0.125658     0.113291     0.121554
   1948       81   0.119355     0.165567     0.134743
   1948       82   0.129262     0.157122     0.138141
   1948       83   0.108877     0.208310     0.138601
   1948       84   0.187437     0.128459     0.169480
   1948       85   0.158980     0.160566     0.159459
   1948       86   0.213801     0.159536     0.198459
   1948       87   0.206411     0.279807     0.227201
   1948       88   0.304291     0.259822     0.292072
   1948       89   0.241347     0.285239     0.252446
   1948       90   0.264302     0.248653     0.260208
   1948       91   0.221720     0.486731     0.291050
   1948       92   0.301188     0.000000     0.242381
   1948       93   0.506650     0.425080     0.487924
   1948       94   0.685323     1.042572     0.827016
   1948       95   0.266430     0.000000     0.161204
   1948       96   0.275989     0.525394     0.361882
   1948       97   0.000000     0.000000     0.000000
   1948       98   0.000000     0.000000     0.000000
   1948       99   0.000000     0.000000     0.000000
   1948      100   0.000000     0.000000     0.000000
   1948      101   0.000000     0.000000     0.000000
   1948      102   0.000000            .     0.000000
   1948      103   0.000000            .     0.000000
   1948      104   0.000000            .     0.000000
   1948      105   0.000000            .     0.000000
   1948      106   0.000000            .     0.000000
   1948      107   0.000000            .     0.000000
   1948      108   0.000000            .     0.000000
   1948      109          .            .            .
   1948      110+         .            .            .
   1949        0   0.059460     0.069176     0.064427
   1949        1   0.015801     0.016432     0.016125
   1949        2   0.008376     0.009160     0.008778
   1949        3   0.005344     0.005670     0.005510
   1949        4   0.003924     0.004073     0.004000
   1949        5   0.002744     0.001905     0.002316
   1949        6   0.002728     0.002508     0.002617
   1949        7   0.001763     0.001422     0.001590
   1949        8   0.001190     0.001598     0.001396
   1949        9   0.001823     0.001318     0.001570
   1949       10   0.000344     0.001372     0.000859
