16.Toyama.ken, Death Rates (period 5x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947     0      0.118997     0.132432     0.125895
   1947     1-4    0.021595     0.021253     0.021422
   1947     5-9    0.003541     0.003153     0.003345
   1947    10-14   0.001678     0.002100     0.001887
   1947    15-19   0.004508     0.004937     0.004712
   1947    20-24   0.009469     0.008275     0.008907
   1947    25-29   0.007950     0.007291     0.007648
   1947    30-34   0.006747     0.006735     0.006742
   1947    35-39   0.006524     0.009396     0.007882
   1947    40-44   0.007887     0.010048     0.008953
   1947    45-49   0.009739     0.013610     0.011686
   1947    50-54   0.011955     0.019054     0.015483
   1947    55-59   0.016935     0.027606     0.022110
   1947    60-64   0.029491     0.043074     0.035677
   1947    65-69   0.039061     0.069188     0.052112
   1947    70-74   0.069568     0.085447     0.075962
   1947    75-79   0.114212     0.131490     0.120457
   1947    80-84   0.193088     0.201665     0.195736
   1947    85-89   0.308703     0.330513     0.315881
   1947    90-94   0.394425     0.351558     0.378378
   1947    95-99   0.685088     0.363489     0.514414
   1947   100-104         .     2.790698     2.790698
   1947   105-109         .     3.000000     3.000000
   1947   110+            .            .            .
   1948     0      0.082739     0.093000     0.087985
   1948     1-4    0.015121     0.015494     0.015311
   1948     5-9    0.002295     0.003192     0.002750
   1948    10-14   0.001771     0.001608     0.001690
   1948    15-19   0.003939     0.004450     0.004182
   1948    20-24   0.008111     0.007632     0.007883
   1948    25-29   0.007192     0.007909     0.007519
   1948    30-34   0.005728     0.006412     0.006046
   1948    35-39   0.006443     0.008205     0.007274
   1948    40-44   0.007360     0.008636     0.007983
   1948    45-49   0.008484     0.011919     0.010205
   1948    50-54   0.011524     0.016064     0.013780
   1948    55-59   0.016959     0.026151     0.021420
   1948    60-64   0.026482     0.036962     0.031313
   1948    65-69   0.037593     0.057342     0.046121
   1948    70-74   0.060726     0.087936     0.071652
   1948    75-79   0.090198     0.123943     0.102568
   1948    80-84   0.157648     0.171100     0.161871
   1948    85-89   0.210387     0.233786     0.217764
   1948    90-94   0.239149     0.348521     0.277910
   1948    95-99   0.455466     0.000000     0.183861
   1948   100-104         .     0.000000     0.000000
