30.Wakayama.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.091292     0.093515     0.092433
   1947        1   0.026995     0.025839     0.026407
   1947        2   0.012429     0.012575     0.012503
   1947        3   0.007456     0.009668     0.008575
   1947        4   0.005860     0.005249     0.005550
   1947        5   0.003991     0.004381     0.004189
   1947        6   0.002845     0.004285     0.003575
   1947        7   0.002595     0.003319     0.002963
   1947        8   0.002400     0.002536     0.002469
   1947        9   0.002287     0.001941     0.002112
   1947       10   0.002737     0.001660     0.002192
   1947       11   0.002592     0.001598     0.002089
   1947       12   0.001882     0.000985     0.001432
   1947       13   0.002549     0.001524     0.002035
   1947       14   0.002411     0.001682     0.002043
   1947       15   0.002069     0.002467     0.002268
   1947       16   0.004677     0.002298     0.003490
   1947       17   0.005521     0.005558     0.005539
   1947       18   0.005124     0.006530     0.005810
   1947       19   0.005187     0.009629     0.007354
   1947       20   0.007306     0.007834     0.007563
   1947       21   0.007555     0.007516     0.007537
   1947       22   0.006877     0.009120     0.007923
   1947       23   0.007006     0.009605     0.008177
   1947       24   0.009766     0.009682     0.009730
   1947       25   0.007694     0.007592     0.007650
   1947       26   0.007208     0.009427     0.008150
   1947       27   0.005917     0.008831     0.007181
   1947       28   0.006721     0.008758     0.007617
   1947       29   0.007810     0.010458     0.008967
   1947       30   0.007529     0.010063     0.008638
   1947       31   0.006944     0.008387     0.007574
   1947       32   0.006570     0.008345     0.007352
   1947       33   0.006364     0.007702     0.006962
   1947       34   0.006785     0.007110     0.006930
   1947       35   0.006730     0.011255     0.008769
   1947       36   0.005628     0.008480     0.006933
   1947       37   0.007162     0.010296     0.008611
   1947       38   0.006182     0.010682     0.008274
   1947       39   0.008356     0.010679     0.009449
   1947       40   0.009426     0.009543     0.009483
   1947       41   0.007346     0.007513     0.007428
   1947       42   0.008824     0.008917     0.008870
   1947       43   0.007552     0.008170     0.007861
   1947       44   0.007106     0.010725     0.008918
   1947       45   0.009434     0.013991     0.011734
   1947       46   0.008467     0.012825     0.010644
   1947       47   0.008260     0.014274     0.011281
   1947       48   0.009334     0.013894     0.011667
   1947       49   0.008971     0.013680     0.011372
   1947       50   0.013672     0.014856     0.014273
   1947       51   0.010716     0.016085     0.013450
   1947       52   0.011454     0.017076     0.014334
   1947       53   0.012850     0.019581     0.016281
   1947       54   0.011003     0.023925     0.017533
   1947       55   0.013975     0.022251     0.018114
