06.Yamagata.ken, Death Rates (period 5x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947     0      0.105381     0.121901     0.113877
   1947     1-4    0.018316     0.018603     0.018462
   1947     5-9    0.003076     0.003740     0.003411
   1947    10-14   0.001916     0.002273     0.002097
   1947    15-19   0.003894     0.004033     0.003962
   1947    20-24   0.007452     0.008249     0.007820
   1947    25-29   0.008160     0.008000     0.008089
   1947    30-34   0.008699     0.008851     0.008771
   1947    35-39   0.008751     0.008298     0.008536
   1947    40-44   0.009506     0.011007     0.010244
   1947    45-49   0.011385     0.014352     0.012869
   1947    50-54   0.015076     0.020459     0.017779
   1947    55-59   0.022369     0.032040     0.027055
   1947    60-64   0.035794     0.050305     0.042416
   1947    65-69   0.049038     0.080163     0.062291
   1947    70-74   0.087951     0.121547     0.101154
   1947    75-79   0.141588     0.172759     0.152531
   1947    80-84   0.195368     0.249115     0.211726
   1947    85-89   0.294791     0.335761     0.305105
   1947    90-94   0.512383     0.604064     0.532591
   1947    95-99   0.999445     0.517241     0.810537
   1947   100-104  0.000000            .     0.000000
   1947   105-109         .            .            .
   1947   110+     0.000000            .     0.000000
   1948     0      0.083610     0.089035     0.086403
   1948     1-4    0.013217     0.012843     0.013026
   1948     5-9    0.002351     0.002865     0.002610
   1948    10-14   0.001891     0.001556     0.001722
   1948    15-19   0.003203     0.003213     0.003208
   1948    20-24   0.006833     0.006445     0.006651
   1948    25-29   0.008164     0.007251     0.007760
   1948    30-34   0.007736     0.008358     0.008026
   1948    35-39   0.008048     0.007336     0.007711
   1948    40-44   0.008929     0.008767     0.008850
   1948    45-49   0.010205     0.013646     0.011918
   1948    50-54   0.013948     0.019766     0.016866
   1948    55-59   0.019080     0.028842     0.023830
   1948    60-64   0.030677     0.047671     0.038504
   1948    65-69   0.051477     0.070107     0.059377
   1948    70-74   0.079645     0.101265     0.088141
   1948    75-79   0.113203     0.143194     0.123931
   1948    80-84   0.175998     0.224566     0.190649
   1948    85-89   0.241326     0.272212     0.249191
   1948    90-94   0.400033     0.105079     0.328996
   1948    95-99   0.242620     0.706714     0.431551
   1948   100-104  0.000000            .     0.000000
   1948   105-109         .            .            .
   1948   110+     0.000000            .     0.000000
   1949     0      0.084672     0.095528     0.090244
   1949     1-4    0.014474     0.014222     0.014345
   1949     5-9    0.002279     0.002269     0.002274
   1949    10-14   0.001406     0.001155     0.001279
   1949    15-19   0.002898     0.002473     0.002686
   1949    20-24   0.005292     0.005887     0.005575
   1949    25-29   0.006865     0.006772     0.006824
   1949    30-34   0.006202     0.006471     0.006327
   1949    35-39   0.006378     0.006752     0.006555
   1949    40-44   0.006851     0.008558     0.007680
   1949    45-49   0.009337     0.009605     0.009470
   1949    50-54   0.012925     0.018502     0.015717
   1949    55-59   0.018731     0.027265     0.022906
   1949    60-64   0.029924     0.044758     0.036807
   1949    65-69   0.043719     0.066785     0.053513
   1949    70-74   0.070628     0.096099     0.080643
   1949    75-79   0.108313     0.138762     0.119347
   1949    80-84   0.183864     0.227182     0.196737
   1949    85-89   0.262549     0.292083     0.270434
   1949    90-94   0.300079     0.313082     0.303472
   1949    95-99   0.697472     0.379027     0.597134
   1949   100-104  0.000000            .     0.000000
   1949   105-109  0.000000            .     0.000000
   1949   110+     0.000000            .     0.000000
   1950     0      0.064090     0.077852     0.071132
   1950     1-4    0.009359     0.010198     0.009789
   1950     5-9    0.001778     0.002119     0.001951
   1950    10-14   0.001510     0.001238     0.001373
   1950    15-19   0.002264     0.002159     0.002212
   1950    20-24   0.004168     0.004330     0.004246
   1950    25-29   0.005124     0.004735     0.004951
   1950    30-34   0.005453     0.005479     0.005465
   1950    35-39   0.005972     0.006196     0.006078
   1950    40-44   0.006997     0.007539     0.007259
   1950    45-49   0.008595     0.009717     0.009148
   1950    50-54   0.010911     0.016046     0.013476
   1950    55-59   0.017043     0.026974     0.021914
   1950    60-64   0.027587     0.040436     0.033584
   1950    65-69   0.042426     0.063619     0.051466
   1950    70-74   0.073027     0.093395     0.081065
   1950    75-79   0.096433     0.143148     0.113238
   1950    80-84   0.169945     0.208559     0.181413
   1950    85-89   0.201998     0.315704     0.231907
   1950    90-94   0.472499     0.420374     0.458950
   1950    95-99   0.270697     0.685323     0.388098
   1950   100-104  0.000000            .     0.000000
   1950   105-109  0.000000            .     0.000000
   1950   110+     0.000000            .     0.000000
   1951     0      0.067583     0.073181     0.070460
   1951     1-4    0.009316     0.009495     0.009407
   1951     5-9    0.001745     0.002109     0.001930
   1951    10-14   0.001330     0.000887     0.001107
