35.Yamaguchi.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.078320     0.089579     0.084059
   1947        1   0.031729     0.036274     0.034041
   1947        2   0.017005     0.014812     0.015889
   1947        3   0.010835     0.011412     0.011129
   1947        4   0.006786     0.007107     0.006949
   1947        5   0.005475     0.004476     0.004967
   1947        6   0.004229     0.005221     0.004733
   1947        7   0.003047     0.003153     0.003101
   1947        8   0.002516     0.002099     0.002305
   1947        9   0.002478     0.002014     0.002242
   1947       10   0.001859     0.002034     0.001948
   1947       11   0.002217     0.001994     0.002103
   1947       12   0.002016     0.001467     0.001734
   1947       13   0.002078     0.002412     0.002250
   1947       14   0.002963     0.001834     0.002380
   1947       15   0.004603     0.003056     0.003806
   1947       16   0.004627     0.004015     0.004311
   1947       17   0.005414     0.005280     0.005346
   1947       18   0.006838     0.006321     0.006578
   1947       19   0.007843     0.007986     0.007915
   1947       20   0.009506     0.010633     0.010065
   1947       21   0.010368     0.009804     0.010094
   1947       22   0.009885     0.009991     0.009935
   1947       23   0.011383     0.009704     0.010598
   1947       24   0.010222     0.011590     0.010849
   1947       25   0.008890     0.010907     0.009801
   1947       26   0.009765     0.009438     0.009618
   1947       27   0.008807     0.010749     0.009692
   1947       28   0.008904     0.010473     0.009625
   1947       29   0.008920     0.010137     0.009483
   1947       30   0.008139     0.010574     0.009260
   1947       31   0.007448     0.010333     0.008777
   1947       32   0.007448     0.009823     0.008544
   1947       33   0.009053     0.008652     0.008867
   1947       34   0.006559     0.008967     0.007690
   1947       35   0.006946     0.008709     0.007776
   1947       36   0.007592     0.008148     0.007856
   1947       37   0.007385     0.009180     0.008241
   1947       38   0.008414     0.011706     0.009989
   1947       39   0.008248     0.011566     0.009843
   1947       40   0.006785     0.009243     0.007998
   1947       41   0.008176     0.009844     0.009000
   1947       42   0.011404     0.009752     0.010592
   1947       43   0.008782     0.011422     0.010113
   1947       44   0.008430     0.011654     0.010070
   1947       45   0.008634     0.011621     0.010173
   1947       46   0.010273     0.012578     0.011459
   1947       47   0.010077     0.017155     0.013712
   1947       48   0.012122     0.017363     0.014829
   1947       49   0.012457     0.018264     0.015451
   1947       50   0.012481     0.017752     0.015203
   1947       51   0.013726     0.018751     0.016321
   1947       52   0.013204     0.017260     0.015291
   1947       53   0.014115     0.022926     0.018661
   1947       54   0.013549     0.024418     0.019101
   1947       55   0.014636     0.023802     0.019299
   1947       56   0.012152     0.022698     0.017496
   1947       57   0.018878     0.030214     0.024504
   1947       58   0.020360     0.030899     0.025591
   1947       59   0.022630     0.031494     0.027057
