19.Yamanashi.ken, Death Rates (period 1x1)     Last modified:2023-12-05, ver.004_004 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.073569     0.086487     0.080150
   1947        1   0.025583     0.028578     0.027109
   1947        2   0.014583     0.016314     0.015458
   1947        3   0.011081     0.009749     0.010408
   1947        4   0.006299     0.006927     0.006618
   1947        5   0.005959     0.005451     0.005701
   1947        6   0.003999     0.003965     0.003982
   1947        7   0.001963     0.003439     0.002708
   1947        8   0.002375     0.002253     0.002314
   1947        9   0.001340     0.001228     0.001284
   1947       10   0.001130     0.001906     0.001522
   1947       11   0.001928     0.001860     0.001893
   1947       12   0.001353     0.001967     0.001665
   1947       13   0.001917     0.001513     0.001712
   1947       14   0.001432     0.001865     0.001651
   1947       15   0.001961     0.001471     0.001716
   1947       16   0.001913     0.003928     0.002907
   1947       17   0.002347     0.005386     0.003822
   1947       18   0.004713     0.004036     0.004391
   1947       19   0.004494     0.004729     0.004605
   1947       20   0.006219     0.007162     0.006667
   1947       21   0.007174     0.008909     0.007997
   1947       22   0.006113     0.009561     0.007720
   1947       23   0.006703     0.007330     0.006987
   1947       24   0.007237     0.008027     0.007583
   1947       25   0.006503     0.011068     0.008469
   1947       26   0.008509     0.006898     0.007811
   1947       27   0.006895     0.006337     0.006647
   1947       28   0.006819     0.007150     0.006968
   1947       29   0.006368     0.009435     0.007747
   1947       30   0.007254     0.006017     0.006695
   1947       31   0.007579     0.007226     0.007419
   1947       32   0.008268     0.008892     0.008553
   1947       33   0.008279     0.005395     0.006949
   1947       34   0.006333     0.008347     0.007260
   1947       35   0.006148     0.006460     0.006289
   1947       36   0.008506     0.006868     0.007751
   1947       37   0.009024     0.008307     0.008687
   1947       38   0.006687     0.008634     0.007607
   1947       39   0.009147     0.005748     0.007529
   1947       40   0.007407     0.008616     0.008004
   1947       41   0.008312     0.008473     0.008392
   1947       42   0.012945     0.008332     0.010706
   1947       43   0.008407     0.011596     0.009974
   1947       44   0.007611     0.010115     0.008859
   1947       45   0.008187     0.010152     0.009170
   1947       46   0.007817     0.012885     0.010339
   1947       47   0.008359     0.013209     0.010788
   1947       48   0.007741     0.012473     0.010097
   1947       49   0.011038     0.011795     0.011414
   1947       50   0.010443     0.016516     0.013473
   1947       51   0.015264     0.017841     0.016553
   1947       52   0.008769     0.018639     0.013690
   1947       53   0.016134     0.015869     0.016003
   1947       54   0.014995     0.015375     0.015180
   1947       55   0.013512     0.023827     0.018509
   1947       56   0.015660     0.021704     0.018605
   1947       57   0.016768     0.023317     0.019924
   1947       58   0.021000     0.027698     0.024194
   1947       59   0.024166     0.027743     0.025870
   1947       60   0.022002     0.034306     0.027804
